match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_fouls,player_sofascoreId,stat_challengeLost,stat_wonTackle,stat_unsuccessfulTouch,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_keyPass,stat_dispossessed,stat_totalContest,stat_wonContest,stat_goalAssist,stat_blockedScoringAttempt,stat_totalOffside,stat_onTargetScoringAttempt,stat_goals
10406687,home,SV Zulte Waregem,Sammy Bossut,,,sammy-bossut,S. Bossut,G,38,187,36,M,18827,EUR,492566400,G,1,1,False,True,36.0,20.0,25.0,9.0,13.0,16.0,7.0,20.0,1.0,1.0,15.0,1.0,1.0,1.0,2.0,1.0,90.0,45.0,6.8,16.0,0,,,,,,,,,,,,,,,,,,,,,,,,,
10406687,home,SV Zulte Waregem,Karol Fila,,,karol-fila,K. Fila,D,4,183,357,M,871041,EUR,897696000,D,19,19,False,,55.0,38.0,8.0,1.0,29.0,32.0,9.0,24.0,7.0,2.0,12.0,1.0,,,,,90.0,74.0,7.0,21.0,0,1.0,3.0,4.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
10406687,home,SV Zulte Waregem,Timothy Derijck,,,timothy-derijck,T. Derijck,D,,185,23,M,10084,EUR,548899200,D,4,4,False,,47.0,37.0,9.0,5.0,27.0,32.0,10.0,15.0,3.0,5.0,10.0,,,,,,90.0,57.0,6.8,10.0,0,,3.0,2.0,7.0,,3.0,1.0,4.0,,,,,,,,,,,,,,,,,
10406687,home,SV Zulte Waregem,Novatus Miroshi,,,novatus-miroshi,N. Miroshi,M,20,185,3868,M,1103597,EUR,1030924800,D,26,26,False,,31.0,16.0,10.0,5.0,9.0,14.0,7.0,18.0,4.0,2.0,6.0,,,,,,67.0,61.0,6.8,29.0,0,1.0,2.0,2.0,5.0,,4.0,2.0,,novatus_40,3.0,1.0,1.0,,,,,,,,,,,,,
10406687,home,SV Zulte Waregem,Alessandro Ciranni,,,alessandro-ciranni,A. Ciranni,D,2,172,38,M,845968,EUR,835920000,M,14,14,False,,23.0,14.0,7.0,3.0,6.0,7.0,9.0,21.0,3.0,,2.0,2.0,,,,,87.0,41.0,6.7,15.0,2,5.0,1.0,,2.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,
10406687,home,SV Zulte Waregem,Ruud Vormer,,,ruud-vormer,R. Vormer,M,25,178,203,M,18995,EUR,579312000,M,25,25,False,,4.0,,1.0,,,2.0,,2.0,,,,,,,,,18.0,4.0,6.4,4.0,0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
10406687,home,SV Zulte Waregem,Abdoulaye Sissako,,,abdoulaye-sissako,A. Sissako,M,8,186,79,M,846330,EUR,896140800,M,6,6,False,,41.0,26.0,2.0,1.0,6.0,9.0,20.0,34.0,10.0,2.0,8.0,1.0,,,,,90.0,61.0,7.2,20.0,0,2.0,2.0,5.0,3.0,,2.0,3.0,,,,,2.0,,,,,,1.0,1.0,1.0,,,,,
10406687,home,SV Zulte Waregem,Alieu Fadera,,,fadera-alieu,A. Fadera,M,20,181,1184,M,1031548,EUR,1004745600,M,7,7,False,,25.0,12.0,3.0,,3.0,8.0,12.0,25.0,27.0,1.0,10.0,6.0,,,,,90.0,80.0,8.2,32.0,0,8.0,1.0,1.0,14.0,,3.0,15.0,2.0,,3.0,11.0,5.0,3.0,1.0,,,3.0,,13.0,5.0,,,,,
10406687,home,SV Zulte Waregem,Christian Brüls,,,christian-bruls,C. Brüls,M,22,179,64,M,43432,EUR,591580800,F,12,12,False,,31.0,21.0,4.0,3.0,1.0,4.0,21.0,38.0,11.0,1.0,12.0,3.0,,,,,90.0,69.0,7.5,28.0,1,11.0,1.0,3.0,7.0,,2.0,3.0,2.0,,1.0,3.0,4.0,1.0,,,1.0,1.0,2.0,3.0,2.0,,,,,
10406687,home,SV Zulte Waregem,Jelle Vossen,,,jelle-vossen,J. Vossen,F,9,180,294,M,45946,EUR,606528000,F,9,9,False,,25.0,14.0,1.0,1.0,1.0,3.0,13.0,22.0,7.0,1.0,3.0,1.0,,,,,90.0,41.0,7.4,15.0,1,,4.0,4.0,6.0,,,1.0,1.0,,,,3.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,
