match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_goalAssist,stat_dispossessed,captain,stat_outfielderBlock,stat_bigChanceMissed,stat_onTargetScoringAttempt,player_firstName,player_lastName,stat_hitWoodwork,stat_totalOffside,stat_goals,stat_wonContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_goodHighClaim,player_sofascoreId
10408286,home,Getafe,David Soria,david-soria,D. Soria,G,13,192,676,M,604258,EUR,733881600,G,13,13,False,39.0,14.0,35.0,10.0,4.0,7.0,10.0,32.0,11.0,1.0,1.0,1.0,1.0,90.0,44.0,6.4,26.0,0.0,0.0,0.00555323,0,-0.2959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408286,home,Getafe,Damián Suárez,damian-suarez,D. Suárez,D,22,172,368,M,36982,EUR,578102400,D,22,22,False,28.0,20.0,3.0,1.0,9.0,11.0,12.0,21.0,9.0,,,,,90.0,58.0,6.7,21.0,0.0255,0.0,0.0930058,1,,4.0,1.0,2.0,6.0,6.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
10408286,home,Getafe,Stefan Mitrović,stefan-mitrovic,S. Mitrović,D,23,189,417,M,108736,EUR,643334400,D,23,23,False,49.0,38.0,10.0,3.0,27.0,29.0,11.0,20.0,5.0,,,,,90.0,55.0,6.8,11.0,0.0,0.0,0.00970278,0,,,,4.0,2.0,5.0,,,,1.0,2.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,
10408286,home,Getafe,Omar Alderete,omar-alderete,O. Alderete,D,15,187,5163,M,805137,EUR,851558400,D,15,15,False,61.0,39.0,23.0,11.0,22.0,27.0,17.0,34.0,12.0,,,,,90.0,71.0,6.6,24.0,0.0,0.0,0.0250796,0,,,,,4.0,1.0,1.0,,,4.0,1.0,1.0,1.0,2.0,,1.0,,2.0,,,,,,,,,,,,,,,,
10408286,home,Getafe,Gastón Álvarez,gaston-alvarez,G. Álvarez,D,17,184,491,M,980578,EUR,953856000,D,4,4,False,35.0,23.0,1.0,1.0,6.0,8.0,17.0,30.0,2.0,,,,,90.0,56.0,6.9,19.0,0.0,0.0,0.0325197,0,,3.0,,3.0,1.0,5.0,,,,,3.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
10408286,home,Getafe,Luis Milla,luis-milla,L. Milla,M,5,175,1429,M,811629,EUR,781488000,M,5,5,False,23.0,17.0,3.0,,4.0,4.0,15.0,22.0,4.0,,,,,77.0,32.0,7.1,8.0,0.0788,0.0,0.0868367,1,,3.0,2.0,1.0,3.0,2.0,,,1.0,,2.0,1.0,,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,
10408286,home,Getafe,Djené,djene,Djené,D,2,178,2527,M,307702,EUR,694137600,M,2,2,False,45.0,36.0,4.0,2.0,16.0,20.0,20.0,26.0,10.0,,,,,90.0,58.0,6.8,13.0,0.0,0.0,0.078118,0,,1.0,,3.0,5.0,4.0,1.0,,,,2.0,1.0,1.0,,,3.0,1.0,1.0,,,True,1.0,,,,,,,,,,,,
10408286,home,Getafe,Nemanja Maksimović,nemanja-maksimovic,N. Maksimović,M,88,184,1287,M,331449,EUR,791078400,M,20,20,False,37.0,32.0,3.0,3.0,17.0,18.0,16.0,20.0,6.0,,,,,88.0,58.0,7.5,7.0,0.6003,1.1838,0.103028,4,,1.0,1.0,3.0,3.0,7.0,,1.0,2.0,2.0,4.0,4.0,3.0,,,1.0,,,,1.0,,,1.0,2.0,,,,,,,,,,
10408286,home,Getafe,Portu,portu,Portu,F,8,167,868,M,218616,EUR,706406400,F,9,9,False,15.0,10.0,,,4.0,7.0,7.0,11.0,5.0,,,,,77.0,25.0,6.4,10.0,0.6668,0.0,0.2205,1,,3.0,1.0,1.0,4.0,1.0,1.0,,1.0,,,,,3.0,,1.0,2.0,2.0,,,,,1.0,,,,1.0,2.0,,,,,,
10408286,home,Getafe,Juanmi Latasa,juanmi-latasa,J. Latasa,F,9,191,1993,M,966679,EUR,985305600,F,14,14,False,28.0,17.0,,,7.0,7.0,10.0,22.0,4.0,,,,,88.0,55.0,7.4,23.0,0.1197,0.4272,0.0710864,3,,1.0,,7.0,16.0,10.0,,,2.0,,,1.0,1.0,10.0,2.0,2.0,1.0,13.0,,1.0,,,,1.0,,,,1.0,1.0,,,,,
10408286,home,Getafe,Jaime Mata,jaime-mata,J. Mata,F,17,185,448,M,351140,EUR,593654400,F,7,7,False,26.0,13.0,,,4.0,8.0,11.0,22.0,8.0,,,,,90.0,50.0,7.8,21.0,0.8804,1.4054,0.463347,4,,4.0,2.0,3.0,10.0,10.0,3.0,2.0,1.0,,,3.0,2.0,2.0,2.0,1.0,2.0,4.0,,2.0,,,1.0,3.0,,,,,1.0,2.0,1.0,,,
10408286,home,Getafe,Gonzalo Villar,gonzalo-villar,G. Villar,M,12,181,1019,M,914765,EUR,890611200,M,24,24,True,7.0,3.0,,,,2.0,3.0,5.0,3.0,,,,,13.0,8.0,6.7,4.0,0.0,0.0,0.00237267,0,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
