match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,captain,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_challengeLost,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_wasFouled,stat_shotOffTarget,stat_aerialLost,stat_totalContest,stat_wonContest,player_sofascoreId,stat_totalOffside,stat_clearanceOffLine,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_bigChanceCreated
10434004,home,Hatayspor,Erce Kardeşler,erce-kardesler,E. Kardeşler,G,31,186,93,M,758606,EUR,763603200,G,1,1,False,34.0,26.0,13.0,6.0,24.0,28.0,2.0,6.0,9.0,2.0,3.0,90.0,47.0,7.6,9.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10434004,home,Hatayspor,Kamil Ahmet Çörekçi,kamil-ahmet-corekci,K. A. Çörekçi,D,22,173,57,M,124728,EUR,696902400,D,12,12,False,51.0,37.0,14.0,9.0,17.0,19.0,21.0,38.0,4.0,,,90.0,83.0,7.4,23.0,0,,,True,6.0,1.0,3.0,2.0,5.0,2.0,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,
10434004,home,Hatayspor,Ognjen Vranješ,ognjen-vranjes,O. Vranješ,D,,183,137,M,44310,EUR,625190400,D,5,5,False,60.0,52.0,13.0,9.0,38.0,39.0,14.0,21.0,7.0,,,90.0,70.0,7.4,9.0,1,,,,,,1.0,4.0,2.0,1.0,2.0,1.0,1.0,,,1.0,1.0,1.0,4.0,2.0,,,,,,,,,,,
10434004,home,Hatayspor,Recep Burak Yılmaz,recep-burak-yilmaz,R. B. Yılmaz,D,15,185,31,M,904172,EUR,817430400,D,15,15,False,54.0,52.0,4.0,3.0,45.0,45.0,7.0,9.0,1.0,,,90.0,62.0,7.2,2.0,0,,,,,,2.0,1.0,4.0,,6.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,
10434004,home,Hatayspor,Sam Adekugbe,sam-adekugbe,S. Adekugbe,D,3,175,284,M,362042,EUR,790214400,D,23,23,False,61.0,52.0,6.0,3.0,36.0,40.0,16.0,22.0,7.0,,,90.0,78.0,7.6,11.0,1,,,,1.0,,2.0,,4.0,,2.0,2.0,2.0,1.0,,,,1.0,5.0,,,1.0,,,,,,,,,
10434004,home,Hatayspor,Mehdi Boudjemaa,mehdi-boudjemaa,M. Boudjemaa,M,4,182,595,M,960088,EUR,891907200,M,8,8,False,37.0,31.0,3.0,3.0,14.0,18.0,17.0,19.0,12.0,,,88.0,51.0,6.7,13.0,1,,,,,,,7.0,4.0,2.0,,2.0,1.0,3.0,1.0,,,1.0,,3.0,1.0,1.0,1.0,2.0,1.0,,,,,,
10434004,home,Hatayspor,Rayane Aabid,rayane-aabid,R. Aabid,M,14,178,224,M,297510,EUR,695779200,M,10,10,False,34.0,31.0,7.0,5.0,19.0,21.0,13.0,15.0,4.0,,,68.0,41.0,6.7,7.0,0,,,,2.0,1.0,,3.0,1.0,1.0,,1.0,1.0,2.0,,,,,,2.0,,,,,,,,,,,
10434004,home,Hatayspor,Ayoub El Kaabi,ayoub-el-kaabi,A. E. Kaabi,F,9,182,27969,M,919793,EUR,740966400,M,25,25,False,27.0,17.0,,,6.0,11.0,11.0,16.0,1.0,,,90.0,37.0,7.0,10.0,3,,,,,,2.0,4.0,3.0,,1.0,,,,,2.0,1.0,1.0,3.0,,1.0,2.0,2.0,,,ayoub_elkaabii,1.0,,,,
10434004,home,Hatayspor,Rúben Ribeiro,ruben-ribeiro,R. Ribeiro,F,,175,55,M,44653,EUR,554774400,M,7,7,False,66.0,59.0,4.0,4.0,33.0,36.0,27.0,32.0,6.0,,,90.0,76.0,7.3,10.0,0,,,,2.0,1.0,,2.0,3.0,,,2.0,2.0,2.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,1.0,,,,
10434004,home,Hatayspor,Saba Lobjanidze,saba-lobjanidze,S. Lobjanidze,M,9,175,886,M,286923,EUR,787708800,M,11,11,False,18.0,15.0,,,7.0,8.0,8.0,12.0,2.0,,,68.0,26.0,6.9,7.0,1,,,,2.0,,,,1.0,,,,,2.0,1.0,,1.0,,,,,,,1.0,1.0,,,,,,
