match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialWon,player_firstName,player_lastName,stat_dispossessed,stat_shotOffTarget,stat_outfielderBlock,stat_expectedGoals,stat_aerialLost,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_errorLeadToAGoal,stat_expectedGoalsOnTarget,stat_wonContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_wasFouled,stat_bigChanceMissed,stat_goals,stat_errorLeadToAShot,player_sofascoreId
12117310,home,Red Bull Bragantino,Cleiton,cleiton,Cleiton,G,1,190,551,M,844576,EUR,871948800,G,1,1,False,True,20.0,16.0,5.0,1.0,0.0,16.0,19.0,1.0,3.0,1.0,1.0,90.0,22.0,6.6,4.0,2.122e-05,0,0.1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117310,home,Red Bull Bragantino,José Andrés Hurtado,andres-hurtado,J. A. Hurtado,D,34,178,537,M,987589,EUR,1009065600,D,34,34,False,,29.0,25.0,3.0,2.0,0.0,8.0,9.0,23.0,7.0,,,90.0,52.0,6.4,11.0,0.0903009,0,,18.0,3.0,1.0,9.0,2.0,3.0,3.0,6.0,2.0,2.0,1.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,
12117310,home,Red Bull Bragantino,Pedro Henrique,pedro-henrique,P. Henrique,D,14,188,417,M,551774,EUR,812592000,D,14,14,False,,41.0,33.0,5.0,1.0,0.0,19.0,21.0,20.0,5.0,,,90.0,44.0,6.5,8.0,0.010478,0,,14.0,,,1.0,2.0,,,2.0,1.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,
12117310,home,Red Bull Bragantino,Eduardo Santos,eduardo-santos,Eduardo,D,3,196,161,M,925189,EUR,880675200,D,3,3,False,,38.0,34.0,3.0,2.0,0.0,25.0,26.0,12.0,2.0,,,90.0,54.0,7.2,5.0,0.00452073,1,,9.0,,,1.0,6.0,,,5.0,,5.0,2.0,,,,1.0,,,1.0,1.0,2.0,0.0339,,,,,,,,,,,,,
12117310,home,Red Bull Bragantino,Juninho Capixaba,juninho-capixaba,J. Capixaba,D,29,176,909,M,870556,EUR,868147200,D,29,29,False,,35.0,26.0,9.0,3.0,0.0,14.0,15.0,23.0,3.0,,,90.0,60.0,6.2,16.0,0.0201807,2,,12.0,3.0,,9.0,7.0,4.0,1.0,1.0,2.0,4.0,2.0,,2.0,,3.0,,,1.0,1.0,,0.0532,2.0,1.0,1.0,1.0,0.1139,,,,,,,,
12117310,home,Red Bull Bragantino,Matheus Fernandes,matheus-fernandes,M. Fernandes,M,35,183,759,M,840150,EUR,899164800,M,35,35,False,,26.0,19.0,,,0.0,10.0,11.0,15.0,3.0,,,57.0,33.0,6.5,9.0,0.0118287,0,,9.0,,,4.0,3.0,,1.0,1.0,,1.0,1.0,1.0,3.0,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,
12117310,home,Red Bull Bragantino,Lucas Evangelista,lucas-evangelista,L. Evangelista,M,30,181,3216,M,331397,EUR,799718400,M,8,8,False,,32.0,29.0,1.0,,0.0,3.0,4.0,29.0,4.0,,,83.0,49.0,8.1,4.0,0.346743,1,,27.0,1.0,1.0,2.0,8.0,,2.0,1.0,2.0,3.0,3.0,,1.0,3.0,,,,1.0,,,0.0659,,,,,,2.0,1.0,1.0,3.0,,,,
12117310,home,Red Bull Bragantino,Lincoln,lincoln,Lincoln,M,18,177,846,M,794928,EUR,910396800,M,10,10,False,,11.0,10.0,1.0,1.0,0.0,1.0,1.0,13.0,1.0,,,70.0,26.0,7.2,5.0,0.0760682,3,,9.0,3.0,,1.0,3.0,,,1.0,,2.0,1.0,1.0,1.0,1.0,,,,,3.0,1.0,0.3836,,,,,,,,,1.0,,,,
12117310,home,Red Bull Bragantino,Jhon Jhon,jhon-jhon,Jhon Jhon,M,10,178,2841,M,1167069,EUR,1031529600,M,6,6,False,,15.0,11.0,1.0,,1.0,2.0,3.0,12.0,3.0,,,57.0,22.0,7.3,7.0,0.391071,2,,9.0,,,3.0,2.0,,2.0,,,,,1.0,,3.0,1.0,Jhon Jhon,,,1.0,,0.2585,1.0,1.0,,,0.0672,,2.0,,1.0,1.0,,,
12117310,home,Red Bull Bragantino,Vinicinho,vinicinho,Vinicinho,F,17,174,339,M,1587965,EUR,1077235200,M,54,54,False,,17.0,13.0,1.0,,0.0,3.0,3.0,17.0,6.0,,,90.0,45.0,7.2,16.0,0.0656993,4,,10.0,3.0,,11.0,8.0,,6.0,,,3.0,2.0,3.0,3.0,3.0,,Vinicius,Mendonça Pereira,3.0,2.0,,0.1419,3.0,1.0,,,0.0492,4.0,,1.0,1.0,,,,
12117310,home,Red Bull Bragantino,Eduardo Sasha,eduardo-sasha,E. Sasha,F,8,173,1446,M,143846,EUR,698889600,F,19,19,False,,18.0,14.0,2.0,2.0,0.0,3.0,4.0,14.0,,,,83.0,30.0,7.5,6.0,0.0546519,3,,11.0,,,3.0,7.0,,,1.0,,1.0,,2.0,,1.0,3.0,,,,2.0,,0.7562,3.0,1.0,,,0.5022,,,,3.0,1.0,1.0,,
12117310,home,Red Bull Bragantino,Jadsom,jadsom,Jadsom,M,25,176,193,M,964127,EUR,990316800,M,5,5,True,,21.0,16.0,3.0,,0.0,12.0,12.0,9.0,3.0,,,33.0,31.0,6.6,9.0,0.00754168,0,,4.0,,,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,
12117310,home,Red Bull Bragantino,Henry Mosquera,henry-mosquera,H. Mosquera,F,30,175,705,M,1170680,EUR,1005782400,F,30,30,True,,9.0,8.0,,,0.0,2.0,2.0,10.0,1.0,,,33.0,19.0,7.0,5.0,0.0262615,2,,8.0,3.0,2.0,1.0,2.0,,1.0,,,,,2.0,,1.0,1.0,Henry Mosquera,,1.0,1.0,,0.062,,1.0,,,0.0501,1.0,,,,,,,
12117310,home,Red Bull Bragantino,Gustavo Neves,gustavo-neves,G. Neves,M,22,176,308,M,1463904,EUR,1082678400,M,22,22,True,,14.0,11.0,,,0.0,5.0,5.0,9.0,,,,20.0,17.0,6.2,5.0,0.00290407,0,,6.0,,,4.0,,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
12117310,home,Red Bull Bragantino,Raul,raul,Raul,M,31,180,175,M,870760,EUR,837043200,M,23,23,True,,13.0,10.0,2.0,1.0,0.0,6.0,7.0,6.0,2.0,,,13.0,15.0,6.4,4.0,0.00200469,0,,4.0,,,3.0,,,,1.0,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,
12117310,home,Red Bull Bragantino,Arthur Sousa,arthur-sousa,A. Sousa,F,39,183,412,M,1170780,EUR,1047427200,F,27,27,True,,1.0,1.0,,,0.0,1.0,1.0,,1.0,,,13.0,1.0,6.5,,1.254e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117310,home,Red Bull Bragantino,Lucão,lucao,Lucão,G,40,190,225,M,981586,EUR,983145600,G,40,40,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
