match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalContest,stat_wonContest,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,player_firstName,player_lastName,captain,stat_totalOffside,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_goals,stat_bigChanceCreated,stat_hitWoodwork,player_sofascoreId,stat_punches,stat_errorLeadToAShot
13472901,home,Mirassol,Walter,walter,Walter,G,22,188,774,M,329055,EUR,564192000,G,22,22,False,17.0,15.0,3.0,1.0,0.0,15.0,15.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,90.0,23.0,6.8,2.0,3.943e-05,0,-0.0281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472901,home,Mirassol,Lucas Ramon,lucas-ramon,L. Ramon,D,19,178,617,M,797225,EUR,762998400,D,19,19,False,29.0,17.0,1.0,1.0,0.0,4.0,8.0,21.0,7.0,1.0,,6.0,,,,90.0,67.0,6.8,25.0,0.141181,2,,13.0,7.0,1.0,4.0,4.0,10.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0962,1.0,,,,,,,,,,,,,
13472901,home,Mirassol,Gabriel,gabriel,Gabriel,D,44,185,190,M,1465498,EUR,1066435200,D,44,44,False,25.0,21.0,2.0,1.0,0.0,13.0,14.0,11.0,4.0,,,2.0,,,,90.0,41.0,7.1,5.0,0.0042509,0,,8.0,,,,2.0,,,,,,10.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
13472901,home,Mirassol,Jemmes,ribeiro-da-silva-jemmes-bruno,Jemmes,D,3,187,583,M,1527129,EUR,955238400,D,3,3,False,29.0,28.0,,,0.0,24.0,25.0,4.0,4.0,,,7.0,,,,90.0,40.0,6.4,3.0,0.00326005,1,,4.0,,,1.0,1.0,2.0,,,1.0,,2.0,,2.0,3.0,3.0,2.0,,1.0,0.0171,,Jemmes Ribeiro,,,,,,,,,,,,
13472901,home,Mirassol,Reinaldo,reinaldo,Reinaldo,D,6,178,2574,M,243109,EUR,622944000,D,6,6,False,43.0,26.0,8.0,1.0,0.0,9.0,14.0,29.0,3.0,3.0,1.0,5.0,,,,90.0,82.0,6.7,29.0,0.098074,2,,17.0,7.0,1.0,1.0,,5.0,,,,2.0,3.0,,1.0,2.0,2.0,1.0,,3.0,0.046,3.0,,,,,,,,,,,,,
13472901,home,Mirassol,Danielzinho,danielzinho,Danielzinho,M,94,166,1169,M,356514,EUR,783907200,M,8,8,False,45.0,38.0,4.0,1.0,1.0,14.0,15.0,30.0,4.0,3.0,1.0,5.0,,,,90.0,66.0,7.4,17.0,0.455492,1,,24.0,8.0,3.0,3.0,1.0,6.0,,1.0,1.0,,2.0,,1.0,,,2.0,2.0,,0.0369,4.0,,,True,1.0,,,,,,,,,
13472901,home,Mirassol,Neto Moura,neto-moura,N. Moura,M,25,176,363,M,559034,EUR,839289600,M,25,25,False,36.0,29.0,3.0,1.0,0.0,10.0,10.0,26.0,5.0,,,4.0,,,,77.0,46.0,6.9,9.0,0.0149989,0,,19.0,,,2.0,,6.0,2.0,,,,,,2.0,4.0,4.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
13472901,home,Mirassol,José Aldo,jose-aldo,J. Aldo,M,21,174,317,M,988851,EUR,901324800,M,21,21,False,38.0,33.0,2.0,2.0,0.0,9.0,10.0,28.0,5.0,3.0,1.0,8.0,,,,70.0,58.0,6.8,13.0,0.03681,1,,24.0,2.0,,2.0,1.0,8.0,,2.0,,,,,,3.0,2.0,2.0,,2.0,0.0183,,,,,,1.0,0.0568,,,,,,,
13472901,home,Mirassol,Carlos Eduardo,carlos-eduardo,Carlos Eduardo,F,96,173,354,M,795295,EUR,844905600,F,96,96,False,10.0,9.0,1.0,1.0,0.0,,,10.0,3.0,3.0,,,,,,58.0,29.0,6.1,10.0,0.0398406,3,,9.0,2.0,1.0,1.0,,9.0,2.0,1.0,1.0,1.0,,,1.0,,,4.0,3.0,2.0,0.2872,,,,,1.0,1.0,0.1846,1.0,,,,,,
13472901,home,Mirassol,Chico da Costa,francisco-da-costa,Chico da Costa,F,19,184,2258,M,866847,EUR,799545600,F,91,91,False,11.0,8.0,,,0.0,2.0,2.0,9.0,1.0,,,2.0,,,,77.0,16.0,6.7,6.0,0.0288271,1,,6.0,1.0,,1.0,,1.0,,,1.0,,,,,,,2.0,1.0,,0.0117,1.0,,,,,,,,,,,,,
13472901,home,Mirassol,Edson Carioca,edson-carioca,E. Carioca,F,95,180,201,M,1048612,EUR,896918400,F,95,95,False,12.0,8.0,,,0.0,1.0,2.0,10.0,6.0,,,1.0,,,,70.0,29.0,6.9,11.0,0.0115998,4,,7.0,4.0,,,2.0,5.0,2.0,1.0,2.0,2.0,,,,2.0,1.0,2.0,2.0,2.0,0.1192,,,,,,,,,,,,,,
