match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_shotOffTarget,stat_interceptionWon,stat_outfielderBlock,captain,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_goalAssist,stat_onTargetScoringAttempt,stat_goals,stat_dispossessed,stat_bigChanceMissed,stat_totalOffside,stat_punches,stat_lastManTackle,stat_hitWoodwork,player_sofascoreId
10382283,home,SC Cambuur,Björn Johnsen,,,bjorn-johnsen,B. Johnsen,F,195.0,238,M,258739,EUR,689385600,F,9,9,False,19.0,5.0,,,1.0,1.0,4.0,18.0,4.0,,,,,,90.0,41.0,6.0,21.0,5,28,7.0,3.0,13.0,6.0,3.0,2.0,1.0,,2.0,,5.0,,1.0,4.0,,,,,,,1.0,,1.0,,1.0,2.0,2.0,,,,
10382283,home,SC Cambuur,Remco Balk,,,remco-balk,R. Balk,F,176.0,183,M,1023004,EUR,983491200,F,30,30,True,3.0,2.0,,,1.0,1.0,1.0,3.0,,2.0,,,,,24.0,10.0,6.6,4.0,0,7,1.0,1.0,2.0,4.0,,,,,1.0,,1.0,2.0,,,,,,1.0,,,,,,,1.0,,,,,,
10382283,home,SC Cambuur,Jamie Jacobs,,,jamie-jacobs,J. Jacobs,M,182.0,92,M,893744,EUR,881107200,M,8,8,True,,,,,,,,,,,,,,,11.0,,6.3,,0,23,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
10382283,home,SC Cambuur,Milan Smit,Milan Smit,,milan-smit,M. Smit,F,191.0,546,M,1199214,EUR,1045094400,F,39,39,True,1.0,1.0,,,,,1.0,1.0,,,,,,,11.0,2.0,6.4,1.0,0,49,1.0,,2.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
10382283,home,SC Cambuur,Bret Minnema,,,bret-minnema,B. Minnema,G,192.0,13,M,981601,EUR,1010275200,G,31,31,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382283,home,SC Cambuur,João Virgínia,João,Virgínia,joao-virginia,J. Virgínia,G,191.0,817,M,930666,EUR,939513600,G,1,1,True,,,,,,,,,,,,,,,,,,,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382283,home,SC Cambuur,Sekou Sylla,,,sekou-sylla,S. Sylla,D,180.0,1147,M,948720,EUR,915840000,D,27,27,True,,,,,,,,,,,,,,,,,,,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382283,home,SC Cambuur,Calvin Mac-Intosh,Calvin,Mac-Intosh,calvin-mac-intosh,C. Mac-Intosh,D,180.0,21,M,73801,EUR,618624000,D,3,3,True,,,,,,,,,,,,,,,,,,,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382283,home,SC Cambuur,Sai Van Wermeskerken,,,wermeskerken-sai-van,S. V. Wermeskerken,D,178.0,82,M,795221,EUR,772761600,D,24,24,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382283,home,SC Cambuur,Leon Bergsma,,,leon-bergsma,L. Bergsma,D,185.0,33,M,795134,EUR,854150400,D,4,4,True,,,,,,,,,,,,,,,,,,,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382283,home,SC Cambuur,David Sambissa,,,david-sambissa,D. Sambissa,M,177.0,220,M,280459,EUR,821318400,F,18,18,True,,,,,,,,,,,,,,,,,,,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382283,home,SC Cambuur,Ben Rienstra,,,ben-rienstra,B. Rienstra,M,182.0,17,,123879,EUR,644544000,M,17,17,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382283,away,FC Emmen,Mickey van der Hart,,,mickey-van-der-hart,M. v. d. Hart,G,188.0,97,M,242313,EUR,771465600,G,32,32,False,38.0,16.0,27.0,6.0,13.0,18.0,3.0,20.0,1.0,4.0,,1.0,,,90.0,42.0,6.5,23.0,0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
10382283,away,FC Emmen,Mike te Wierik,,,mike-te-wierik,M. t. Wierik,D,191.0,47,M,127554,EUR,707961600,D,17,17,False,30.0,19.0,5.0,1.0,11.0,15.0,8.0,16.0,1.0,6.0,,,,,90.0,47.0,6.6,16.0,0,23,,3.0,2.0,4.0,,,,,1.0,1.0,1.0,,2.0,,2.0,,,1.0,,,,,,,,,,,,,
10382283,away,FC Emmen,Miguel Araujo,,,miguel-araujo,M. Araujo,D,178.0,883,M,370226,EUR,782956800,D,5,5,False,50.0,34.0,13.0,4.0,21.0,26.0,13.0,24.0,4.0,5.0,,,,,90.0,70.0,6.8,21.0,0,20,1.0,,4.0,4.0,,,,,4.0,2.0,2.0,,,,1.0,,,,,,1.0,,,,3.0,,,,1.0,,
10382283,away,FC Emmen,Jeroen Veldmate,,,jeroen-veldmate,J. Veldmate,D,187.0,9,,28111,EUR,594950400,D,4,4,False,43.0,35.0,9.0,3.0,28.0,30.0,7.0,13.0,4.0,8.0,,,,,90.0,53.0,7.6,9.0,1,,1.0,5.0,1.0,5.0,,,,,,,,,,,1.0,1.0,True,,,,,,1.0,1.0,,,,,,,
10382283,away,FC Emmen,Lorenzo Burnet,Lorenzo,Burnet,lorenzo-burnet,L. Burnet,D,170.0,12,M,100384,EUR,663552000,D,18,18,False,24.0,20.0,2.0,1.0,11.0,12.0,9.0,14.0,5.0,2.0,,,,,77.0,52.0,6.7,10.0,0,18,2.0,4.0,4.0,5.0,,1.0,,,1.0,,3.0,,1.0,,1.0,,,2.0,,,,,,,,,,,,,
10382283,away,FC Emmen,Ahmed El Messaoudi,,,ahmed-el-messaoudi,A. E. Messaoudi,M,182.0,170,M,369798,EUR,807408000,M,23,23,False,48.0,39.0,6.0,4.0,17.0,21.0,23.0,28.0,2.0,5.0,,,,,90.0,72.0,7.9,14.0,1,10,1.0,6.0,7.0,16.0,,5.0,5.0,,,,1.0,5.0,2.0,,1.0,,,1.0,1.0,,3.0,,1.0,1.0,4.0,,1.0,,,,
10382283,away,FC Emmen,Keziah Veendorp,,,keziah-veendorp,K. Veendorp,D,183.0,41,M,361778,EUR,856137600,M,2,2,False,45.0,41.0,2.0,1.0,24.0,26.0,17.0,19.0,1.0,8.0,,,,,90.0,56.0,6.6,6.0,1,,1.0,1.0,5.0,2.0,3.0,,,,,,,1.0,,1.0,3.0,,,,,,,,,,1.0,,,,,1.0,
10382283,away,FC Emmen,Ole Romeny,,,ole-romeny,O. Romeny,F,185.0,13950,M,921948,EUR,961459200,M,77,77,False,23.0,19.0,,,6.0,6.0,13.0,20.0,,6.0,,,,,84.0,45.0,5.7,17.0,3,11,,,6.0,6.0,,5.0,2.0,,,,5.0,4.0,2.0,1.0,,,,3.0,,,,,2.0,,2.0,2.0,2.0,,,,oleromeny
10382283,away,FC Emmen,Mark Diemers,,,mark-diemers,M. Diemers,M,175.0,198,M,252123,EUR,750297600,M,10,10,False,36.0,30.0,5.0,4.0,11.0,13.0,26.0,38.0,1.0,9.0,,,,,90.0,68.0,8.0,20.0,1,10,,,3.0,5.0,,3.0,2.0,1.0,,,4.0,3.0,1.0,,,,,15.0,7.0,1.0,6.0,1.0,,,1.0,,,,,,
