match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,captain,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_outfielderBlock,stat_unsuccessfulTouch,stat_wasFouled,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_wonContest,stat_keyPass,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,player_sofascoreId,stat_bigChanceMissed,stat_goals,stat_blockedScoringAttempt,stat_penaltyWon,stat_totalOffside,stat_bigChanceCreated,stat_savedShotsFromInsideTheBox,stat_saves,stat_goalsPrevented,stat_errorLeadToAGoal,stat_penaltyFaced,stat_penaltyConceded
11406730,home,Atalanta,Marco Carnesecchi,marco-carnesecchi,M. Carnesecchi,G,29,192,3101,M,865646,EUR,962409600,G,29,29,False,26.0,18.0,10.0,2.0,0.0,16.0,18.0,2.0,8.0,2.0,7.0,1.0,1.0,86.0,35.0,6.7,8.0,0.00128542,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406730,home,Atalanta,Rafael Tolói,rafael-toloi,R. Tolói,D,2,185,2015,M,82943,EUR,655516800,D,2,2,False,29.0,22.0,4.0,,0.0,12.0,15.0,10.0,14.0,5.0,4.0,,,90.0,45.0,6.9,9.0,0.00725703,0,True,3.0,2.0,9.0,6.0,3.0,1.0,1.0,3.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11406730,home,Atalanta,Berat Djimsiti,berat-djimsiti,B. Djimsiti,D,19,190,2156,M,151003,EUR,730080000,D,19,19,False,30.0,24.0,2.0,,0.0,19.0,23.0,5.0,7.0,1.0,5.0,,,62.0,39.0,7.0,7.0,0.00350604,0,,,3.0,1.0,5.0,1.0,,,2.0,2.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11406730,home,Atalanta,Giorgio Scalvini,giorgio-scalvini,G. Scalvini,D,42,194,3375,M,1012176,EUR,1071100800,D,42,42,False,37.0,34.0,1.0,1.0,0.0,19.0,21.0,16.0,17.0,2.0,2.0,,,90.0,49.0,7.2,5.0,0.128404,0,,1.0,1.0,4.0,4.0,,,2.0,3.0,1.0,,2.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
11406730,home,Atalanta,Emil Holm,emil-holm,E. Holm,D,2,191,1648,M,965264,EUR,958176000,M,3,3,False,12.0,9.0,,,0.0,2.0,4.0,7.0,8.0,3.0,3.0,,,63.0,30.0,7.6,4.0,0.0172119,4,,,4.0,1.0,9.0,,,,,2.0,1.0,1.0,,1.0,3.0,,,,,,,3.0,1.0,0.1942,0.4049,,,,,,,,,,,,,
11406730,home,Atalanta,Mario Pašalić,mario-pasalic,M. Pašalić,M,20,189,7385,M,190437,EUR,792288000,M,8,8,False,40.0,35.0,2.0,2.0,0.0,18.0,20.0,17.0,20.0,2.0,3.0,,,90.0,52.0,7.7,5.0,0.0246365,4,,,,4.0,3.0,2.0,,1.0,,2.0,2.0,2.0,,,,,,,,1.0,2.0,1.0,3.0,1.2551,1.503,pasalicmario,1.0,1.0,,,,,,,,,,
11406730,home,Atalanta,Teun Koopmeiners,teun-koopmeiners,T. Koopmeiners,M,8,183,6981,M,803033,EUR,888624000,M,7,7,False,52.0,45.0,3.0,,0.0,23.0,23.0,23.0,32.0,2.0,9.0,,,90.0,66.0,7.2,11.0,0.184513,1,,,,3.0,4.0,,,2.0,1.0,3.0,2.0,3.0,,1.0,,,,3.0,1.0,1.0,2.0,,,0.0589,,teunkoopmeiners,,,1.0,,,,,,,,,
11406730,home,Atalanta,Davide Zappacosta,davide-zappacosta,D. Zappacosta,M,77,182,2125,M,132318,EUR,708220800,M,77,77,False,34.0,33.0,2.0,2.0,0.0,10.0,10.0,24.0,26.0,,5.0,,,90.0,50.0,7.2,6.0,0.0505994,1,,,,2.0,2.0,1.0,,,,2.0,1.0,1.0,1.0,2.0,,,,2.0,1.0,,1.0,1.0,,0.0451,,,,,,,,,,,,,,
11406730,home,Atalanta,Ademola Lookman,ademola-lookman,A. Lookman,F,22,174,80703,M,824200,EUR,877305600,F,11,11,False,30.0,23.0,3.0,3.0,0.0,9.0,11.0,15.0,21.0,,3.0,,,90.0,46.0,8.1,11.0,0.207159,4,,,1.0,3.0,3.0,,1.0,1.0,,1.0,,2.0,,1.0,1.0,,,2.0,1.0,,2.0,2.0,1.0,0.9079,0.9775,molalookman,,1.0,1.0,1.0,1.0,,,,,,,
11406730,home,Atalanta,Charles De Ketelaere,charles-de-ketelaere,C. De Ketelaere,F,17,192,14835,M,960441,EUR,984182400,F,17,17,False,24.0,21.0,,,1.0,3.0,3.0,18.0,23.0,,4.0,,,73.0,40.0,7.6,13.0,0.331812,3,,,,2.0,1.0,,1.0,1.0,,,,,,5.0,1.0,,,2.0,,,3.0,1.0,1.0,0.2942,0.1221,cdk,,,1.0,,,1.0,,,,,,
