match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_onTargetScoringAttempt,stat_totalClearance,stat_unsuccessfulTouch,stat_fouls,stat_bigChanceMissed,stat_shotOffTarget,stat_hitWoodwork,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_totalCross,stat_accurateCross,stat_totalContest,stat_wonContest,stat_keyPass,captain,stat_goals,stat_dispossessed,stat_blockedScoringAttempt,stat_wasFouled,stat_bigChanceCreated,stat_totalOffside,stat_penaltyWon,stat_wonTackle,player_sofascoreId,stat_penaltyFaced,stat_punches,stat_penaltyConceded
12726864,home,Monza,Semuel Pizzignacco,,,semuel-pizzignacco,S. Pizzignacco,G,1,185.0,175,M,923820,EUR,999302400,G,21,21,False,29.0,24.0,6.0,1.0,0.0,23.0,27.0,1.0,2.0,1.0,1.0,9.0,1.0,2.0,90.0,37.0,6.5,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12726864,home,Monza,Danilo D'Ambrosio,,,danilo-dambrosio,D. D'Ambrosio,D,,180.0,547,M,107936,EUR,589766400,D,33,33,False,88.0,83.0,4.0,2.0,0.0,70.0,74.0,13.0,14.0,3.0,,3.0,,,84.0,91.0,6.6,6.0,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
12726864,home,Monza,Luca Caldirola,,,luca-caldirola,L. Caldirola,D,33,189.0,132,M,100565,EUR,665366400,D,5,5,False,76.0,71.0,2.0,1.0,0.0,65.0,68.0,6.0,8.0,2.0,1.0,1.0,,,73.0,82.0,6.7,5.0,1,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
12726864,home,Monza,Andrea Carboni,,,andrea-carboni,A. Carboni,D,44,185.0,198,M,970978,EUR,981244800,D,44,44,False,43.0,40.0,2.0,1.0,0.0,35.0,36.0,5.0,7.0,1.0,,,,,45.0,46.0,6.7,4.0,1,1.0,1.0,2.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
12726864,home,Monza,Kevin Martins,,,kevin-martins,K. Martins,M,70,180.0,194,M,1547260,EUR,1107129600,M,55,55,False,35.0,31.0,2.0,1.0,0.0,18.0,20.0,15.0,18.0,1.0,1.0,1.0,,,90.0,51.0,7.1,6.0,1,,,3.0,,2.0,1.0,,,1.0,,,2.0,1.0,3.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,
12726864,home,Monza,Matteo Pessina,,,matteo-pessina,M. Pessina,M,32,183.0,661,M,350210,EUR,861580800,M,32,32,False,45.0,43.0,1.0,1.0,0.0,28.0,29.0,15.0,16.0,1.0,,2.0,,,45.0,49.0,7.4,3.0,2,,1.0,1.0,2.0,,,,,,,,1.0,,,,1.0,,,True,1.0,,,,,,,,,,,
12726864,home,Monza,Mattia Valoti,,,mattia-valoti,M. Valoti,M,5,181.0,97,M,139397,EUR,747273600,M,27,27,False,69.0,63.0,6.0,4.0,0.0,42.0,44.0,21.0,25.0,5.0,1.0,4.0,,,90.0,86.0,6.7,10.0,4,,,3.0,1.0,3.0,2.0,2.0,1.0,2.0,,,2.0,1.0,,,2.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,
12726864,home,Monza,Georgios Kyriakopoulos,,,georgios-kyriakopoulos,G. Kyriakopoulos,M,77,186.0,879,M,377302,EUR,823478400,M,77,77,False,22.0,19.0,1.0,,1.0,8.0,9.0,12.0,16.0,,,3.0,,,45.0,33.0,8.2,5.0,1,,,3.0,1.0,,,,,,,,,1.0,3.0,1.0,,,1.0,,1.0,,,2.0,1.0,1.0,,,,,,
12726864,home,Monza,Omari Forson,,,forson-omari,O. Forson,F,11,179.0,1035,M,1153434,EUR,1090281600,F,20,20,False,41.0,41.0,1.0,1.0,0.0,19.0,19.0,23.0,26.0,7.0,1.0,5.0,,,90.0,58.0,6.8,10.0,4,,,1.0,2.0,,2.0,2.0,,,,,,,4.0,1.0,3.0,1.0,1.0,,,2.0,2.0,,,,,,,,,
12726864,home,Monza,Gianluca Caprari,,,gianluca-caprari,G. Caprari,F,24,170.0,458,M,148458,EUR,743990400,F,10,10,False,47.0,44.0,4.0,4.0,0.0,24.0,26.0,22.0,24.0,3.0,,2.0,,,90.0,64.0,8.2,6.0,3,1.0,,4.0,1.0,,,1.0,,1.0,,,,,3.0,2.0,2.0,2.0,3.0,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,
12726864,home,Monza,Mirko Marić,,,mirko-maric,M. Marić,F,9,188.0,396,M,190933,EUR,800582400,F,24,24,False,18.0,11.0,1.0,1.0,0.0,6.0,8.0,5.0,10.0,4.0,,2.0,,,90.0,28.0,7.2,12.0,1,2.0,1.0,4.0,,,3.0,,,1.0,,,,,,,,,2.0,,,2.0,,3.0,,,1.0,,,,,
12726864,home,Monza,Pablo Marí,,,pablo-mari,P. Marí,D,30,191.0,1742,M,208988,EUR,746755200,D,22,22,True,30.0,28.0,1.0,,0.0,24.0,25.0,4.0,5.0,,,1.0,,,45.0,37.0,6.6,2.0,0,,,1.0,,5.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,
12726864,home,Monza,Pedro Pereira,,,pedro-pereira,P. Pereira,M,13,185.0,286,M,807291,EUR,885427200,D,13,13,True,9.0,8.0,2.0,2.0,0.0,5.0,6.0,3.0,3.0,2.0,,,,,45.0,16.0,6.8,3.0,1,,1.0,2.0,,3.0,,,,,,,,1.0,,,1.0,,1.0,,,1.0,1.0,,1.0,,,1.0,,,,
12726864,home,Monza,Alessandro Bianco,,,bianco-alessandro,A. Bianco,M,22,173.0,535,M,1101992,EUR,1033430400,M,42,42,True,18.0,14.0,2.0,1.0,0.0,7.0,9.0,8.0,10.0,2.0,,2.0,,,45.0,31.0,6.7,7.0,0,,,6.0,,2.0,2.0,1.0,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,4.0,,,,1.0,,,,
