match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialLost,stat_wonContest,player_firstName,stat_fouls,stat_blockedScoringAttempt,player_lastName,stat_shotOffTarget,stat_bigChanceMissed,stat_totalOffside,stat_hitWoodwork,stat_errorLeadToAGoal,stat_errorLeadToAShot,stat_bigChanceCreated
12499423,home,Borussia M'gladbach,Jonas Omlin,jonas-omlin,J. Omlin,G,18,189,396,M,571622,EUR,758160000,G,1,1,False,True,68.0,53.0,30.0,15.0,0.0,46.0,51.0,7.0,17.0,1.0,1.0,10.0,1.0,3.0,4.0,90.0,76.0,7.1,15.0,0.00302331,0,-0.5136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499423,home,Borussia M'gladbach,Stefan Lainer,stefan-lainer,S. Lainer,D,22,176,447,M,113920,EUR,714873600,D,22,22,False,,53.0,42.0,4.0,1.0,0.0,19.0,23.0,24.0,36.0,3.0,7.0,3.0,,,,90.0,87.0,7.4,22.0,0.0810017,1,,6.0,1.0,5.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,0.1308,0.153,2.0,,,,,,,,,,,,,
12499423,home,Borussia M'gladbach,Marvin Friedrich,marvin-friedrich,M. Friedrich,D,5,193,161,M,254449,EUR,818812800,D,5,5,False,,88.0,81.0,4.0,2.0,0.0,50.0,50.0,31.0,38.0,4.0,11.0,6.0,,,,90.0,106.0,7.3,8.0,0.0151665,0,,,,1.0,,,1.0,,,4.0,,2.0,6.0,5.0,,,,,,1.0,1.0,,,,,,,,,,,
12499423,home,Borussia M'gladbach,Nico Elvedi,nico-elvedi,N. Elvedi,D,30,188,1059,M,282229,EUR,844041600,D,30,30,False,,94.0,90.0,4.0,2.0,0.0,62.0,63.0,28.0,31.0,2.0,3.0,7.0,,,,90.0,102.0,6.6,4.0,0.0146474,0,,,,1.0,1.0,,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12499423,home,Borussia M'gladbach,Lukas Ullrich,lukas-ullrich,L. Ullrich,D,26,177,362,M,1083382,EUR,1079395200,D,26,26,False,,38.0,29.0,3.0,1.0,0.0,11.0,15.0,18.0,23.0,,2.0,5.0,,,,74.0,46.0,6.3,11.0,0.00940111,0,,,,3.0,1.0,,1.0,,,,,,1.0,,2.0,,,,,1.0,1.0,Lukas Ullrich,1.0,,,,,,,,,
12499423,home,Borussia M'gladbach,Philipp Sander,philipp-sander,P. Sander,M,16,185,246,M,939880,EUR,888019200,M,16,16,False,,38.0,33.0,1.0,,0.0,12.0,13.0,22.0,27.0,2.0,5.0,5.0,,,,74.0,49.0,7.0,7.0,0.11351,1,,2.0,1.0,3.0,2.0,1.0,2.0,,,1.0,,3.0,1.0,1.0,,,0.1211,,1.0,,2.0,,,1.0,,,,,,,,
12499423,home,Borussia M'gladbach,Julian Weigl,julian-weigl,J. Weigl,M,5,186,1190,M,237068,EUR,810518400,M,8,8,False,,84.0,79.0,6.0,5.0,0.0,36.0,37.0,43.0,47.0,2.0,6.0,3.0,,,,90.0,94.0,7.0,6.0,0.061344,0,,,,1.0,1.0,,1.0,,,2.0,,,3.0,,1.0,,,,,,1.0,,,,,,,,,,,
12499423,home,Borussia M'gladbach,Nathan N'Goumou,nathan-ngoumou,N. Ngoumou,M,19,182,657,M,962409,EUR,952992000,M,19,19,False,,21.0,14.0,,,0.0,3.0,3.0,11.0,22.0,2.0,5.0,1.0,,,,85.0,34.0,6.4,15.0,0.0182007,0,,4.0,,8.0,,1.0,4.0,,,,,,1.0,,1.0,,,,1.0,5.0,2.0,,1.0,,,,,,,,,
12499423,home,Borussia M'gladbach,Kevin Stöger,kevin-stoger,K. Stöger,M,7,175,715,M,95381,EUR,746409600,M,7,7,False,,24.0,18.0,1.0,1.0,0.0,9.0,10.0,9.0,16.0,,2.0,2.0,,,,56.0,35.0,6.7,10.0,0.00273273,2,,2.0,,3.0,1.0,,,,,,,2.0,1.0,1.0,1.0,1.0,0.1511,,,,,,2.0,1.0,,1.0,,,,,,
12499423,home,Borussia M'gladbach,Robin Hack,robin-hack,R. Hack,M,25,176,520,M,876858,EUR,904176000,M,25,25,False,,27.0,19.0,4.0,2.0,0.0,3.0,4.0,17.0,27.0,1.0,3.0,1.0,,,,74.0,41.0,6.5,13.0,0.0337105,4,,4.0,1.0,3.0,,2.0,1.0,1.0,,,,,,,,1.0,0.5538,0.2748,,1.0,1.0,,,2.0,,1.0,1.0,2.0,,,,
