match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_outfielderBlock,stat_dispossessed,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_challengeLost,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_aerialLost,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_totalOffside,captain,stat_errorLeadToAShot,stat_bigChanceMissed
12436602,home,Manchester United,André Onana,,,andre-onana,A. Onana,G,24,190,53850,M,AndréOnana24,787498,EUR,828403200,G,24,24,False,27.0,16.0,15.0,4.0,0.0,14.0,18.0,2.0,9.0,10.0,1.0,2.0,6.0,90.0,40.0,8.3,11.0,0.00024312,0,0.2856,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436602,home,Manchester United,Noussair Mazraoui,,,noussair-mazraoui,N. Mazraoui,D,3,183,53635,M,nousmaz97,847030,EUR,879465600,D,3,3,False,46.0,40.0,3.0,,0.0,31.0,34.0,9.0,12.0,3.0,,,,90.0,60.0,7.4,6.0,0.0141488,1,,1.0,5.0,1.0,1.0,1.0,4.0,2.0,4.0,3.0,1.0,0.0119,,,,,,,,,,,,,,,,,
12436602,home,Manchester United,Harry Maguire,,,harry-maguire,H. Maguire,D,5,194,28057,M,harrymaguire93,149380,EUR,731289600,D,5,5,False,31.0,26.0,6.0,3.0,0.0,22.0,23.0,4.0,8.0,2.0,,,,58.0,39.0,6.9,5.0,0.0008629,0,,1.0,2.0,,,,4.0,1.0,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,
12436602,home,Manchester United,Leny Yoro,Leny Yoro,,leny-yoro,L. Yoro,D,15,190,20033,M,YL15,1153315,EUR,1131840000,D,15,15,False,45.0,40.0,4.0,1.0,0.0,26.0,30.0,14.0,15.0,3.0,,,,90.0,55.0,6.6,8.0,0.0105402,0,,4.0,,1.0,,,1.0,3.0,,,1.0,,,2.0,,,,,,,,,,,,,,,
12436602,home,Manchester United,Diogo Dalot,,,diogo-dalot,D. Dalot,M,2,184,22996,M,DDalot,843200,EUR,921715200,M,20,20,False,37.0,34.0,1.0,,0.0,19.0,19.0,16.0,22.0,5.0,,,,90.0,61.0,7.0,10.0,0.185465,0,,5.0,5.0,1.0,1.0,,3.0,1.0,2.0,,2.0,,,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,
12436602,home,Manchester United,Casemiro,,,casemiro,Casemiro,M,18,185,86039,M,Casemiro,122951,EUR,698803200,M,18,18,False,38.0,28.0,4.0,2.0,0.0,13.0,18.0,15.0,21.0,3.0,,,,90.0,60.0,7.9,12.0,0.043863,1,,4.0,13.0,,,,1.0,2.0,11.0,7.0,1.0,0.0301,,,1.0,,1.0,,1.0,1.0,,3.0,1.0,0.0206,,,,,
12436602,home,Manchester United,Manuel Ugarte,,,manuel-ugarte,M. Ugarte,M,25,182,19122,M,ugartemanu,846425,EUR,986947200,M,25,25,False,22.0,17.0,2.0,1.0,0.0,12.0,14.0,6.0,9.0,2.0,,,,71.0,31.0,6.6,7.0,0.0352462,3,,4.0,3.0,,,2.0,,1.0,2.0,2.0,2.0,0.2758,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,
12436602,home,Manchester United,Patrick Dorgu,,,dorgu-patrick,P. Dorgu,M,13,185,26643,M,Odogwu,1397168,EUR,1098748800,M,13,13,False,30.0,27.0,1.0,1.0,0.0,12.0,14.0,16.0,19.0,3.0,,,,90.0,57.0,7.0,12.0,0.322681,2,,4.0,5.0,,,2.0,,,2.0,,,0.0458,,3.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,,,,,1.0,,,
12436602,home,Manchester United,Bruno Fernandes,,,bruno-fernandes,B. Fernandes,M,8,179,235526,M,BrunoFernandes,288205,EUR,778982400,F,8,8,False,43.0,40.0,5.0,5.0,0.0,16.0,18.0,24.0,32.0,7.0,,,,90.0,70.0,8.0,18.0,0.500609,1,,7.0,8.0,4.0,3.0,,1.0,2.0,2.0,1.0,1.0,0.1681,,5.0,7.0,,1.0,1.0,1.0,2.0,3.0,,,,1.0,,True,,
12436602,home,Manchester United,Alejandro Garnacho,,,alejandro-garnacho,A. Garnacho,F,49,180,138483,M,AleGarnacho,1135873,EUR,1088640000,F,17,17,False,24.0,21.0,1.0,1.0,0.0,5.0,6.0,16.0,19.0,7.0,,,,90.0,44.0,7.0,11.0,0.148008,2,,5.0,8.0,2.0,1.0,,,,4.0,2.0,,0.0472,,2.0,1.0,,,1.0,3.0,3.0,,1.0,,,2.0,,,,
