match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_challengeLost,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,captain,stat_aerialLost,stat_errorLeadToAGoal,stat_shotOffTarget,stat_expectedGoals,stat_shotValueNormalized,stat_accurateCross,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_goals,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_keeperSaveValue,stat_goalkeeperValueNormalized,player_sofascoreId,stat_hitWoodwork
14131888,home,FC Alverca,Matheus Mendes,matheus-mendes,M. Mendes,G,31,193,410,M,1018555,EUR,921024000,G,31,31,False,28.0,22.0,11.0,5.0,0.0,21.0,24.0,1.0,4.0,1.0,1.0,6.0,1.0,90.0,31.0,6.1,6.0,0.00033468,0,-0.7379,-0.02,0.02,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131888,home,FC Alverca,Nabil Touaizi,nabil-touaizi,N. Touaizi,F,2,183,485,M,904849,EUR,980985600,D,2,2,False,24.0,19.0,2.0,2.0,0.0,10.0,13.0,9.0,11.0,1.0,3.0,6.0,,90.0,55.0,6.3,17.0,0.0322525,0,,0.03,0.07,-0.24,,,6.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14131888,home,FC Alverca,Steven Baseya,steven-baseya,S. Baseya,D,14,189,123,M,1506777,EUR,1105660800,D,14,14,False,44.0,40.0,6.0,3.0,0.0,34.0,36.0,6.0,8.0,2.0,5.0,2.0,1.0,82.0,56.0,6.9,4.0,0.00246192,0,,0.0,0.01,0.31,Steven Baseya,,,2.0,,,,4.0,,,1.0,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,
14131888,home,FC Alverca,Sergi Gómez,sergi-gomez,S. Gómez,D,5,185,195,M,125625,EUR,701740800,D,5,5,False,55.0,51.0,5.0,3.0,0.0,37.0,37.0,14.0,18.0,,,1.0,,90.0,57.0,5.7,6.0,0.00698404,0,,0.09,0.1,-0.73,,,,1.0,,,,,,2.0,,,,,,,True,1.0,1.0,,,,,,,,,,,,,,,,,
14131888,home,FC Alverca,Julián Jose Martinez,julian-jose-martinez,J. Martinez,D,3,177,394,M,1476213,EUR,1070236800,D,3,3,False,82.0,78.0,5.0,4.0,0.0,52.0,53.0,26.0,29.0,1.0,2.0,4.0,1.0,90.0,87.0,6.6,4.0,0.0197314,1,,0.16,0.21,-0.29,Julián Jose Martinez,,,2.0,,,,2.0,1.0,,1.0,,1.0,,,,,,,1.0,0.1381,-0.05,,,,,,,,,,,,,,
14131888,home,FC Alverca,Isaac James,isaac-james,I. James,D,12,175,46,M,1915110,EUR,1093651200,D,12,12,False,22.0,14.0,4.0,,0.0,10.0,14.0,4.0,8.0,1.0,2.0,4.0,,69.0,30.0,6.1,9.0,0.094747,1,,0.24,-0.01,-0.3,Isaac,James,1.0,2.0,,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,,1.0,0.0992,-0.01,1.0,,,,,,,,,,,,,
14131888,home,FC Alverca,Cédric Nuozzi,cedric-nuozzi,C. Nuozzi,F,11,177,136,M,1405454,EUR,1138579200,M,11,11,False,7.0,6.0,,,0.0,4.0,4.0,2.0,3.0,,5.0,3.0,1.0,69.0,20.0,6.9,4.0,0.00275022,1,,0.05,0.27,-0.04,,,,2.0,1.0,4.0,3.0,,,1.0,,1.0,,1.0,1.0,1.0,,,,,0.044,-0.19,,1.0,0.1061,,,,,,,,,,,
14131888,home,FC Alverca,Alexsandro Amorim,amorim,Amorim,M,4,177,437,M,1511706,EUR,1116374400,M,8,8,False,47.0,41.0,1.0,1.0,0.0,20.0,22.0,21.0,25.0,,2.0,4.0,1.0,90.0,55.0,6.7,9.0,0.129787,1,,0.49,0.28,-0.25,,,1.0,4.0,,2.0,1.0,,,1.0,,1.0,3.0,,,,,,,,0.0343,-0.07,,1.0,0.0922,1.0,,,,,,,,,,
14131888,home,FC Alverca,Sabit Abdulai,sabit-abdulai,S. Abdulai,M,21,185,126,M,1031485,EUR,926380800,M,21,21,False,22.0,18.0,3.0,2.0,0.0,12.0,14.0,6.0,8.0,,1.0,1.0,,69.0,30.0,6.3,6.0,0.0710855,1,,0.09,0.31,-0.13,,,,5.0,,2.0,,2.0,,,2.0,1.0,1.0,,1.0,,,,,,0.0704,-0.33,,,,,1.0,,,,,,,,,
14131888,home,FC Alverca,Chiquinho,chiquinho,Chiquinho,M,10,179,454,M,1015826,EUR,949708800,M,10,10,False,14.0,11.0,2.0,1.0,0.0,7.0,8.0,4.0,6.0,,13.0,3.0,7.0,74.0,42.0,7.1,14.0,0.00351883,2,,-0.02,0.08,-0.12,,,4.0,6.0,1.0,5.0,3.0,,,4.0,3.0,,,,3.0,2.0,,,,1.0,0.0817,0.01,,1.0,0.1797,,,,,,,,,,,
