match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_shotOffTarget,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,captain,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoalsOnTarget,stat_challengeLost,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_interceptionWon,stat_accurateCross,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed,stat_outfielderBlock,player_sofascoreId,stat_hitWoodwork,stat_goals
14065135,home,FC St. Pauli,Nikola Vasilj,,,nikola-vasilj,N. Vasilj,G,22,194,1626,M,325061,EUR,817862400,G,22,22,False,22.0,20.0,1.0,0.0,20.0,21.0,1.0,1.0,9.0,1.0,4.0,7.0,1.0,1.0,90.0,35.0,6.7,2.0,0.00014971,0.637,0,0.1385,-0.02,0.0,-0.67,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14065135,home,FC St. Pauli,Hauke Wahl,,,hauke-wahl,H. Wahl,D,5,189,150,M,253469,EUR,766368000,D,5,5,False,101.0,95.0,5.0,0.0,39.0,40.0,61.0,3.0,6.0,,,,,,90.0,112.0,6.5,8.0,0.0572984,,1,,0.4,0.23,-0.53,,3.0,56.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0605,1.0,-0.07,,,,,,,,,,,,,,,,,,,,
14065135,home,FC St. Pauli,Eric Smith,,,eric-smith,E. Smith,D,8,191,412,M,542038,EUR,852681600,D,8,8,False,96.0,87.0,12.0,0.0,34.0,37.0,59.0,2.0,11.0,,,,,,90.0,106.0,6.1,13.0,0.0670063,,1,,0.2,0.26,-0.69,,7.0,53.0,3.0,,,1.0,1.0,,,,0.0203,2.0,-0.01,True,1.0,1.0,1.0,1.0,1.0,0.0558,,,,,,,,,,,,,
14065135,home,FC St. Pauli,Karol Mets,,,karol-mets,K. Mets,D,3,190,509,M,57627,EUR,737510400,D,3,3,False,86.0,78.0,8.0,0.0,42.0,44.0,42.0,4.0,1.0,,,,,,90.0,91.0,5.7,9.0,0.0267605,,0,,0.12,0.16,-0.76,,4.0,36.0,,3.0,1.0,5.0,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,
14065135,home,FC St. Pauli,Manolis Saliakas,,,manolis-saliakas,M. Saliakas,M,2,175,358,M,280551,EUR,842486400,M,2,2,False,57.0,44.0,9.0,0.0,17.0,18.0,39.0,2.0,2.0,,,,,,84.0,84.0,6.3,19.0,0.0458713,,3,,0.13,0.11,-0.21,,2.0,27.0,4.0,,,2.0,2.0,,,,0.054,,-0.06,,1.0,1.0,1.0,2.0,2.0,0.0171,,2.0,1.0,1.0,,,,,,,,,
14065135,home,FC St. Pauli,James Sands,,,james-sands,J. Sands,M,6,186,445,M,885892,EUR,962841600,M,6,6,False,38.0,31.0,1.0,0.0,5.0,6.0,32.0,,5.0,,,,,,55.0,47.0,6.5,9.0,0.0558436,,1,,-0.05,0.11,-0.11,,,26.0,1.0,1.0,2.0,1.0,4.0,,1.0,1.0,0.0311,1.0,-0.1,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,
14065135,home,FC St. Pauli,Joel Chima Fujita,,,joel-chima-fujita,J. C. Fujita,M,16,175,1436,M,1002461,EUR,1013817600,M,16,16,False,43.0,36.0,6.0,0.0,11.0,12.0,31.0,,5.0,,,,,,90.0,60.0,6.2,14.0,0.0458101,,0,,0.11,0.12,-0.28,,2.0,25.0,1.0,,,5.0,2.0,,,,,1.0,,,4.0,1.0,,3.0,,,2.0,,1.0,,2.0,,,,,,,,
14065135,home,FC St. Pauli,Louis Oppie,,,louis-oppie,L. Oppie,D,23,184,183,M,1137900,EUR,1021593600,M,23,23,False,46.0,37.0,3.0,0.0,11.0,12.0,34.0,2.0,2.0,,,,,,90.0,70.0,6.5,13.0,0.24553,,2,,0.39,0.02,-0.26,,1.0,26.0,4.0,1.0,,4.0,2.0,,,1.0,0.0606,2.0,-0.11,,,,,1.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,
14065135,home,FC St. Pauli,Mathias Pereira Lage,,,mathias-pereira-lage,M. P. Lage,M,28,180,340,M,831400,EUR,849312000,F,28,28,False,10.0,9.0,,0.0,3.0,3.0,7.0,,1.0,,,,,,45.0,21.0,6.3,5.0,0.0449215,,2,,-0.15,0.14,-0.02,,,6.0,2.0,1.0,1.0,4.0,3.0,1.0,,1.0,0.1193,1.0,-0.2,,,,1.0,2.0,1.0,0.0396,1.0,1.0,1.0,,1.0,1.0,,2.0,,,,,
14065135,home,FC St. Pauli,Oladapo Afolayan,,,oladapo-afolayan,O. Afolayan,F,21,180,303,M,871621,EUR,873936000,F,17,17,False,19.0,16.0,,0.0,3.0,3.0,16.0,,1.0,,,,,,45.0,35.0,6.6,13.0,0.0210335,,0,,0.02,0.07,0.14,,,13.0,3.0,1.0,,6.0,5.0,2.0,,3.0,,1.0,,,3.0,,,1.0,,,,,2.0,2.0,,,,,,,,,
