match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_outfielderBlock,stat_penaltyWon,stat_accurateCross,stat_bigChanceCreated,stat_totalContest,stat_wonContest,captain,stat_dispossessed,stat_challengeLost,stat_shotOffTarget,stat_hitWoodwork,stat_penaltyMiss,stat_penaltySave,stat_penaltyFaced,player_sofascoreId,stat_penaltyConceded
12504417,home,Genoa,Nicola Leali,nicola-leali,N. Leali,G,1,193,635,M,98059,EUR,729907200,G,1,1,False,22.0,12.0,15.0,5.0,0.0,8.0,10.0,4.0,12.0,5.0,1.0,1.0,1.0,90.0,28.0,6.9,10.0,0.00076892,0,0.0204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504417,home,Genoa,Stefano Sabelli,stefano-sabelli,S. Sabelli,D,20,179,199,M,184421,EUR,726883200,D,20,20,False,38.0,30.0,7.0,3.0,0.0,10.0,12.0,20.0,27.0,4.0,,,,90.0,72.0,7.8,18.0,0.0668428,0,,,,1.0,2.0,1.0,3.0,9.0,1.0,2.0,7.0,4.0,4.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
12504417,home,Genoa,Koni De Winter,de-winter-koni,K. De Winter,D,5,191,3255,M,1001828,EUR,1023840000,D,4,4,False,36.0,28.0,3.0,1.0,0.0,20.0,24.0,8.0,12.0,3.0,,,,90.0,45.0,7.6,8.0,0.00489615,2,,,,,1.0,4.0,3.0,4.0,2.0,2.0,,,,,2.0,,1.0,2.0,1.0,1.0,0.6148,1.2337,,,,,,,,,,,,,,,,,
12504417,home,Genoa,Johan Vásquez,johan-vasquez,J. Vásquez,D,22,185,4788,M,889785,EUR,909014400,D,22,22,False,37.0,29.0,7.0,3.0,0.0,21.0,24.0,8.0,15.0,4.0,,,,90.0,52.0,8.6,10.0,0.00223417,3,,,,2.0,3.0,6.0,5.0,10.0,2.0,,2.0,1.0,,2.0,2.0,,,1.0,1.0,,0.2688,0.9218,2.0,1.0,1.0,,,,,,,,,,,,,,
12504417,home,Genoa,Aarón Martín,aaron-martin,A. Martín,D,3,180,1144,M,797286,EUR,861667200,D,3,3,False,21.0,17.0,1.0,1.0,1.0,4.0,4.0,18.0,29.0,1.0,,,,90.0,58.0,8.5,16.0,0.601218,1,,,,12.0,1.0,,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,,4.0,,,,,0.0184,,1.0,,,5.0,2.0,,,,,,,,,,,,
12504417,home,Genoa,Patrizio Masini,patrizio-masini,P. Masini,M,73,182,291,M,970998,EUR,980553600,M,73,73,False,33.0,26.0,6.0,3.0,0.0,10.0,13.0,16.0,26.0,3.0,,,,90.0,55.0,7.5,14.0,0.00876222,0,,,,6.0,1.0,3.0,3.0,12.0,,,2.0,1.0,1.0,6.0,2.0,1.0,,,,,,,,,,,,2.0,2.0,,,,,,,,,,
12504417,home,Genoa,Morten Frendrup,morten-frendrup,M. Frendrup,M,32,178,1679,M,918440,EUR,986601600,M,32,32,False,22.0,17.0,1.0,,0.0,9.0,9.0,8.0,13.0,3.0,,,,90.0,33.0,6.5,9.0,0.00500448,0,,,,,,2.0,4.0,5.0,2.0,,1.0,,,2.0,1.0,,,,,,,,,,,,,2.0,,True,1.0,,,,,,,,
12504417,home,Genoa,Lior Kasa,lior-kasa,L. Kasa,M,15,185,247,M,1605340,EUR,1114905600,M,53,53,False,11.0,8.0,3.0,,0.0,3.0,3.0,5.0,8.0,3.0,,,,55.0,24.0,6.8,7.0,0.00366885,1,,Lior Kasa,,,2.0,,4.0,2.0,1.0,,2.0,2.0,2.0,,,,,,,,0.0212,,,1.0,,,,1.0,,,,1.0,1.0,,,,,,
12504417,home,Genoa,Morten Thorsby,morten-thorsby,M. Thorsby,M,2,189,697,M,280991,EUR,831254400,M,2,2,False,31.0,21.0,,,0.0,6.0,8.0,15.0,24.0,,,,,86.0,48.0,6.8,19.0,0.0490686,2,,,,1.0,5.0,4.0,11.0,7.0,1.0,,3.0,1.0,4.0,,3.0,2.0,,1.0,,,0.212,0.2447,1.0,,,,,1.0,,,2.0,,,,,,,,
12504417,home,Genoa,Fabio Miretti,fabio-miretti,F. Miretti,M,21,179,3225,M,1010223,EUR,1059868800,M,23,23,False,18.0,12.0,3.0,2.0,0.0,4.0,5.0,11.0,18.0,6.0,,,,86.0,44.0,7.9,13.0,0.208416,4,,,,5.0,2.0,1.0,4.0,8.0,,,2.0,2.0,3.0,4.0,,2.0,,,,,0.3457,,2.0,,,3.0,1.0,2.0,1.0,,,1.0,2.0,1.0,,,,,
