match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_crossNotClaimed,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_fouls,stat_outfielderBlock,captain,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_accurateCross,stat_challengeLost,stat_unsuccessfulTouch,stat_wasFouled,stat_blockedScoringAttempt,stat_keyPass,stat_shotOffTarget,stat_goals,stat_totalOffside,player_sofascoreId
12618498,home,Al-Fateh,Péter Szappanos,,,peter-szappanos,P. Szappanos,G,1,194.0,332,M,803307,EUR,658540800,G,1,1,False,26.0,13.0,17.0,4.0,0.0,11.0,15.0,2.0,11.0,12.0,1.0,4.0,5.0,1.0,1.0,90.0,35.0,7.5,13.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
12618498,home,Al-Fateh,Ahmed Al-Julaydan,,,al-julaydan-ahmed,A. Al-Jelidan,D,32,170.0,199,M,1475443,EUR,1078704000,D,42,42,False,25.0,21.0,2.0,1.0,0.0,15.0,17.0,6.0,10.0,4.0,,,,,,90.0,57.0,6.6,17.0,0,2.0,2.0,2.0,7.0,3.0,1.0,4.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,,,,
12618498,home,Al-Fateh,Jason Denayer,,,jason-denayer,J. Denayer,D,,184.0,657,M,352664,EUR,804297600,D,64,64,False,33.0,28.0,3.0,1.0,0.0,24.0,26.0,4.0,7.0,3.0,,,,,,90.0,42.0,7.3,5.0,0,,1.0,,1.0,,,,,5.0,2.0,,2.0,,,,,,,,,,,,,,
12618498,home,Al-Fateh,Marwane Saadane,,,marwane-saadane,M. Saadane,D,17,185.0,1277,M,847714,EUR,695606400,D,17,17,False,38.0,30.0,5.0,3.0,0.0,20.0,22.0,10.0,16.0,6.0,,,,,,90.0,49.0,7.4,8.0,1,,1.0,3.0,1.0,4.0,,,,5.0,2.0,,,True,1.0,1.0,1.0,,,,,,,,,,
12618498,home,Al-Fateh,Saeed Baattia,Saeed Baattia,,saeed-baattia,S. Baattia,D,15,172.0,25,M,1521953,EUR,969667200,D,15,15,False,26.0,21.0,3.0,1.0,0.0,15.0,19.0,7.0,9.0,4.0,,,,,,90.0,57.0,6.8,13.0,0,2.0,1.0,,6.0,5.0,,2.0,1.0,2.0,3.0,3.0,,,,3.0,1.0,1.0,1.0,4.0,1.0,,,,,,
12618498,home,Al-Fateh,Sofiane Bendebka,,,sofiane-bendebka,S. Bendebka,M,28,180.0,1218,M,845609,EUR,713318400,M,28,28,False,34.0,32.0,3.0,3.0,0.0,17.0,17.0,15.0,17.0,3.0,,,,,,63.0,40.0,6.8,3.0,1,,,,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,
12618498,home,Al-Fateh,Nouh Al-Mousa,,,nouh-al-mousa,N. Al-Mousa,M,,175.0,17,M,818614,EUR,667267200,M,8,8,False,26.0,20.0,2.0,,1.0,8.0,11.0,12.0,15.0,1.0,,,,,,70.0,35.0,6.6,10.0,0,,,1.0,3.0,3.0,1.0,2.0,,,1.0,,,,,2.0,,,,1.0,,,1.0,,,,
12618498,home,Al-Fateh,Othman Al-Othman,Othman Alothma,,othman-al-othman,O. Al-Othman,M,88,167.0,30,M,1096521,EUR,1050364800,M,88,88,False,23.0,16.0,4.0,2.0,0.0,7.0,10.0,9.0,15.0,4.0,,,,,,90.0,52.0,7.1,19.0,1,2.0,,,7.0,12.0,2.0,10.0,6.0,,2.0,,,,,3.0,2.0,,1.0,4.0,3.0,,,1.0,,,
12618498,home,Al-Fateh,Lucas Zelarayán,Lucas,Zelarayán,lucas-zelarayan,L. Zelarayán,M,10,172.0,1289,M,249061,EUR,708998400,M,10,10,False,28.0,22.0,1.0,1.0,0.0,8.0,8.0,16.0,23.0,4.0,,,,,,86.0,47.0,6.8,15.0,1,3.0,,,6.0,2.0,2.0,3.0,1.0,,,,,,,1.0,1.0,2.0,2.0,4.0,,1.0,4.0,,,,
12618498,home,Al-Fateh,Abdullah Al-Anazi,Abdullah Al-Anazi,,abdullah-al-anazi,A. Al-Anazi,F,94,179.0,42,M,1434206,EUR,1042934400,M,94,94,False,12.0,11.0,,,0.0,3.0,3.0,8.0,9.0,4.0,,,,,,45.0,18.0,6.7,3.0,0,,,,3.0,3.0,,4.0,2.0,,,,,,,1.0,1.0,,1.0,,,,,,,,
