match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_shotValueNormalized,player_firstName,player_lastName,captain,stat_aerialWon,stat_totalClearance,stat_wonTackle,stat_unsuccessfulTouch,stat_totalOffside,stat_aerialLost,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_wonContest,stat_hitWoodwork
15002160,home,Boreham Wood,Ted Curd,ted-curd,T. Curd,G,22,186.0,647,M,1142130,EUR,1139875200,G,22,22,False,56.0,51.0,6.0,1.0,0.0,51.0,53.0,3.0,7.0,1.0,1.0,90.0,61.0,6.9,5.0,123.19874282897,19.0,77.7,11.235,0.0725,0,0.06,0.05,0.17,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15002160,home,Boreham Wood,Jeff King,jeff-king,J. King,D,15,178.0,20,M,891786,EUR,819331200,D,15,15,False,39.0,33.0,8.0,5.0,0.0,18.0,18.0,21.0,5.0,,,90.0,69.0,8.2,12.0,172.42853823309,14.0,44.94,24.78,,1,0.38,0.26,-0.18,,15.0,5.0,2.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.55,,,,,,,,,,,,,,,
15002160,home,Boreham Wood,Callum Reynolds,callum-reynolds,C. Reynolds,D,16,188.0,4,M,76193,EUR,626659200,D,16,16,False,84.0,73.0,11.0,4.0,0.0,59.0,62.0,22.0,8.0,,,90.0,98.0,7.7,11.0,202.8106072544,27.0,133.455,20.055,,0,0.19,0.12,0.72,,14.0,,,1.0,2.0,,,,,,1.0,2.0,,,1.0,,,,,True,2.0,9.0,,,,,,,,,,
15002160,home,Boreham Wood,Chris Bush,chris-bush,C. Bush,D,5,191.0,9,M,144506,EUR,708307200,D,5,5,False,91.0,71.0,24.0,8.0,0.0,50.0,50.0,41.0,4.0,,,90.0,104.0,7.4,24.0,248.43200389003,29.0,197.925,31.71,,0,0.21,0.16,0.24,,21.0,,,1.0,5.0,1.0,,,,,,1.0,3.0,,,,,,,,2.0,4.0,3.0,1.0,1.0,,,,,,,
15002160,home,Boreham Wood,Joe Newton,joe-newton,J. Newton,D,12,177.0,5,M,1009297,EUR,991440000,D,12,12,False,30.0,25.0,1.0,,0.0,10.0,12.0,18.0,3.0,,,75.0,43.0,7.1,8.0,53.988962374607,5.0,36.435,20.055,,0,0.34,-0.09,0.18,,15.0,2.0,,,1.0,,,,,,,2.0,,1.0,,2.0,,,,,,1.0,,1.0,,,,,,,,
15002160,home,Boreham Wood,Charlie O'Connell,oconnell-charlie,C. O'Connell,D,6,181.0,7,M,1089567,EUR,1040256000,M,6,6,False,23.0,21.0,2.0,1.0,0.0,17.0,17.0,6.0,3.0,,,90.0,30.0,6.5,4.0,21.201012798727,3.0,8.61,8.085,,2,0.08,-0.06,0.21,,4.0,,,5.0,1.0,1.0,,1.0,,,1.0,,1.0,,3.0,1.0,-0.27,Charlie O'Connell,,,,,,1.0,,1.0,1.0,1.0,2.0,,,
15002160,home,Boreham Wood,Regan Booty,regan-booty,R. Booty,M,23,180.0,29,M,834284,EUR,891561600,M,23,23,False,65.0,52.0,10.0,3.0,0.0,24.0,27.0,38.0,4.0,,,90.0,84.0,7.8,15.0,71.376332137031,14.0,19.845,6.09,,8,0.38,0.13,-0.02,,28.0,2.0,1.0,4.0,2.0,3.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39,,,,,2.0,,,,,,,1.0,6.0,,
15002160,home,Boreham Wood,Érico Sousa,erico-sousa,É. Sousa,M,7,170.0,30,M,803987,EUR,794966400,M,7,7,False,46.0,40.0,2.0,2.0,1.0,17.0,20.0,26.0,5.0,,,90.0,60.0,7.7,9.0,121.78031055692,13.0,55.545,35.595,,4,0.44,0.31,0.16,,23.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,,1.0,1.0,7.0,0.14,,,,,,,3.0,,,2.0,1.0,1.0,2.0,,
15002160,home,Boreham Wood,Zak Brunt,zak-brunt,Z. Brunt,M,8,176.0,35,M,1049851,EUR,1005955200,M,8,8,False,33.0,22.0,2.0,,1.0,6.0,7.0,26.0,3.0,,,89.0,40.0,7.8,11.0,105.26848033336,14.0,2.1,14.28,,4,0.92,0.27,-0.03,,16.0,1.0,1.0,2.0,1.0,1.0,,,2.0,,,,1.0,,1.0,5.0,-0.58,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,
15002160,home,Boreham Wood,Abdul Abdulmalik,abdul-abdulmalik,A. Abdulmalik,M,10,,49,M,1142310,EUR,1050883200,M,10,10,False,29.0,24.0,1.0,1.0,0.0,13.0,14.0,15.0,4.0,,,75.0,44.0,7.7,9.0,180.46753842409,15.0,55.125,18.375,,2,0.54,0.43,0.13,,11.0,,,2.0,6.0,,,3.0,1.0,,,,1.0,3.0,1.0,2.0,-0.46,Abdul Abdulmalik,,,,,,3.0,,,1.0,,1.0,,2.0,
