match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_aerialWon,stat_challengeLost,stat_fouls,stat_aerialLost,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalOffside,stat_goals,player_sofascoreId,captain,stat_shotOffTarget,stat_blockedScoringAttempt,stat_errorLeadToAGoal,stat_bigChanceMissed,stat_hitWoodwork
11409071,home,Vizela,Fabijan Buntić,,,fabijan-buntic,F. Buntić,G,97,194.0,2915,M,827377,EUR,856742400.0,G,97,97,False,37.0,17.0,29.0,10.0,13.0,23.0,4.0,14.0,2.0,16.0,1.0,3.0,3.0,1.0,1.0,1.0,90.0,49.0,6.2,20.0,0.00158626,0,-1.7261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409071,home,Vizela,Hugo Oliveira,,,oliveira-hugo,H. Oliveira,D,2,174.0,21,M,1093052,EUR,1013299200.0,D,2,2,False,26.0,21.0,2.0,1.0,20.0,22.0,2.0,6.0,3.0,7.0,,,,,,,90.0,53.0,6.8,10.0,0.026475,0,,1.0,2.0,1.0,2.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,
11409071,home,Vizela,Rodrigo Escoval,,,rodrigo-escoval,R. Escoval,D,26,188.0,59,M,825675,EUR,863049600.0,D,25,25,False,30.0,18.0,7.0,3.0,13.0,17.0,5.0,13.0,5.0,,,,,,,,90.0,41.0,5.7,13.0,0.00155782,0,,,,,6.0,1.0,,,,,1.0,,,,1.0,,,1.0,1.0,5.0,,,,,,,,,,,,,
11409071,home,Vizela,Anderson,,,anderson,Anderson,D,3,185.0,60,M,922629,EUR,794102400.0,D,5,5,False,24.0,23.0,2.0,2.0,22.0,22.0,1.0,2.0,7.0,3.0,,,,,,,90.0,40.0,6.2,2.0,0.00086762,0,,,,,4.0,2.0,,,,,3.0,1.0,1.0,,,,,1.0,,3.0,1.0,,,,,,,,,,,,
11409071,home,Vizela,Orest Lebedenko,,,orest-lebedenko,O. Lebedenko,D,17,174.0,156,M,844409,EUR,906508800.0,D,19,19,False,23.0,16.0,4.0,2.0,7.0,9.0,9.0,16.0,,4.0,,,,,,,87.0,40.0,6.6,14.0,0.335974,0,,1.0,2.0,,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,2.0,2.0,,,,,,,,,,,,
11409071,home,Vizela,Diogo Nascimento,,,diogo-nascimento,D. Nascimento,M,8,166.0,875,M,997022,EUR,1036195200.0,M,90,90,False,34.0,29.0,3.0,,16.0,18.0,13.0,16.0,1.0,4.0,,,,,,,89.0,44.0,6.3,9.0,0.00482141,0,,,,,3.0,4.0,2.0,2.0,2.0,,1.0,,1.0,1.0,2.0,1.0,,,,,1.0,,,,,,,,,,,,
11409071,home,Vizela,Aleksandar Busnić,,,aleksandar-busnic,A. Busnić,M,22,191.0,34,M,905761,EUR,881193600.0,M,22,22,False,42.0,35.0,1.0,,25.0,28.0,10.0,14.0,2.0,5.0,,,,,,,90.0,53.0,6.3,9.0,0.00557179,1,,,,,4.0,3.0,1.0,,,,2.0,,1.0,,1.0,,,2.0,1.0,,2.0,1.0,0.0166,0.1131,,,,,,,,,
11409071,home,Vizela,Matheus Pereira,,,matheus-pereira,M. Pereira,M,3,172.0,198,M,1016898,EUR,977356800.0,M,6,6,False,25.0,17.0,1.0,,5.0,9.0,12.0,18.0,1.0,5.0,,,,,,,90.0,49.0,6.5,19.0,0.00911208,0,,,2.0,,2.0,9.0,2.0,4.0,4.0,,,,1.0,1.0,4.0,4.0,1.0,,,,,,,,1.0,,,,,,,,
11409071,home,Vizela,Alberto Soro,,,soro-alberto,A. Soro,M,29,173.0,203,M,944049,EUR,920937600.0,F,29,29,False,19.0,16.0,1.0,1.0,11.0,13.0,5.0,6.0,,3.0,,,,,,,70.0,32.0,7.1,8.0,0.109992,1,,,,,7.0,2.0,1.0,1.0,,,,,,,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0513,0.7048,,1.0,,,,,,,
11409071,home,Vizela,Samuel Essende,,,samuel-essende,S. Essende,F,9,192.0,6433,M,855808,EUR,885513600.0,F,99,99,False,19.0,15.0,,,11.0,11.0,4.0,8.0,,1.0,,,,,,,90.0,33.0,6.9,12.0,0.0010715,1,,,,,9.0,7.0,1.0,1.0,,,,,1.0,,6.0,2.0,,4.0,,4.0,4.0,1.0,0.6486,0.8195,1.0,1.0,essende.s,,,,,,
