match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,injury,isHome,incidentClass,from,player_id,player_name,rescinded
10721290,FT,1.0,5.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,
10721290,,,,,84,,,7,,,substitution,121389271.0,False,False,regular,,,,
10721290,,,,,84,,,7,,,substitution,121389264.0,False,False,regular,,,,
10721290,,1.0,5.0,,80,,,11,,,goal,166803949.0,,False,regular,regular,1006443.0,Ibrahim El Kadiri,
10721290,,1.0,4.0,,76,,,15,,,goal,166803907.0,,False,regular,regular,1118181.0,Lequincio Zeefuik,
10721290,,,,,74,,,17,,,substitution,121389194.0,False,False,regular,,,,
10721290,,,,,72,,,19,,,substitution,121389193.0,False,True,regular,,,,
10721290,,,,,68,,,23,,,substitution,121389165.0,False,True,regular,,,,
10721290,,1.0,3.0,,66,,,25,,,goal,166803774.0,,False,regular,regular,1006443.0,Ibrahim El Kadiri,
10721290,,,,,63,,,28,,,substitution,121389157.0,False,True,regular,,,,
10721290,,,,,63,,,28,,,substitution,121389156.0,False,True,regular,,,,
10721290,,,,,46,,,45,,,substitution,121389117.0,False,True,regular,,,,
10721290,,,,,46,,,45,,,substitution,121389112.0,False,False,regular,,,,
10721290,,,,,46,,,45,,,substitution,121389110.0,False,False,regular,,,,
10721290,HT,1.0,2.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,
10721290,,1.0,2.0,,42,,,4,,,goal,166803237.0,,False,regular,regular,156676.0,Robert Mühren,
10721290,,1.0,1.0,,31,,,15,,,goal,166803077.0,,True,regular,regular,1155041.0,Jhurrey Margaritha,
10721290,,,,,25,,,21,,,card,120509907.0,,True,yellow,,873408.0,Gerald Postma,False
10721290,,0.0,1.0,,15,,,31,,,goal,166802870.0,,False,regular,regular,1213380.0,Imran Nazih,
