match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_totalCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_expectedGoals,stat_accurateCross,stat_dispossessed,stat_shotOffTarget,stat_outfielderBlock,stat_challengeLost,stat_totalContest,stat_wonContest,captain,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_savedShotsFromInsideTheBox,stat_errorLeadToAShot,stat_hitWoodwork
12501562,home,Hellas Verona,Lorenzo Montipò,lorenzo-montipo,L. Montipò,G,1,191,564,M,253391,EUR,820454400,G,1,1,False,21.0,9.0,15.0,3.0,0.0,5.0,6.0,4.0,15.0,7.0,1.0,90.0,24.0,6.7,12.0,0.00193519,0,0.0365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501562,home,Hellas Verona,Daniele Ghilardi,daniele-ghilardi,D. Ghilardi,D,87,189,1128,M,1384847,EUR,1041811200,D,87,87,False,27.0,23.0,4.0,2.0,0.0,15.0,17.0,8.0,10.0,1.0,,90.0,46.0,7.0,10.0,0.00446984,0,,,,3.0,1.0,5.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
12501562,home,Hellas Verona,Diego Coppola,diego-coppola,D. Coppola,D,42,192,1399,M,1050692,EUR,1072569600,D,42,42,False,34.0,28.0,9.0,3.0,0.0,24.0,24.0,4.0,10.0,6.0,,90.0,46.0,7.1,7.0,0.00126926,0,,,,1.0,2.0,2.0,2.0,3.0,4.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
12501562,home,Hellas Verona,Nicolás Valentini,nicolas-valentini,N. Valentini,D,6,184,1144,M,1116570,EUR,986515200,D,6,6,False,49.0,38.0,10.0,4.0,0.0,18.0,21.0,20.0,29.0,2.0,,90.0,61.0,7.8,14.0,0.157857,1,,Nicolás Valentini,,2.0,7.0,2.0,8.0,7.0,,1.0,1.0,2.0,,,2.0,1.0,2.0,1.0,0.0371,,,,,,,,,,,,,,,
12501562,home,Hellas Verona,Jackson Tchatchoua,jackson-tchatchoua,J. Tchatchoua,M,38,180,2199,M,1096210,EUR,1000425600,M,38,38,False,23.0,17.0,2.0,,0.0,9.0,10.0,10.0,18.0,1.0,,90.0,42.0,6.7,14.0,0.268865,1,,,,3.0,1.0,5.0,1.0,,1.0,,,3.0,,,2.0,5.0,,,0.0117,2.0,2.0,1.0,1.0,,,,,,,,,,,
12501562,home,Hellas Verona,Ondrej Duda,ondrej-duda,O. Duda,M,11,181,1121,M,246319,EUR,786585600,M,33,33,False,45.0,36.0,3.0,1.0,0.0,8.0,10.0,28.0,40.0,9.0,,90.0,65.0,6.8,17.0,0.032018,2,,,,,,7.0,3.0,2.0,,2.0,2.0,1.0,,3.0,1.0,5.0,,2.0,0.0609,,1.0,,1.0,2.0,2.0,1.0,,,,,,,,
12501562,home,Hellas Verona,Paweł Dawidowicz,pawel-dawidowicz,P. Dawidowicz,D,27,188,1744,M,288321,EUR,800928000,M,27,27,False,43.0,28.0,9.0,2.0,0.0,14.0,16.0,14.0,27.0,4.0,,90.0,51.0,6.5,17.0,0.00345623,0,,,,4.0,2.0,7.0,4.0,2.0,1.0,2.0,1.0,1.0,,3.0,,,,,,,1.0,,,,,,True,,,,,,,
12501562,home,Hellas Verona,Antoine Bernede,antoine-bernede,A. Bernede,M,24,177,421,M,837080,EUR,927676800,M,24,24,False,28.0,21.0,2.0,1.0,0.0,6.0,8.0,16.0,21.0,4.0,,65.0,42.0,6.6,8.0,0.135109,0,,,,2.0,2.0,8.0,7.0,1.0,,3.0,,1.0,2.0,4.0,2.0,1.0,,,,1.0,,,,3.0,,,,,,,,,,
12501562,home,Hellas Verona,Domagoj Bradarić,domagoj-bradaric,D. Bradarić,M,12,178,1470,M,897594,EUR,944784000,M,12,12,False,27.0,20.0,1.0,1.0,0.0,5.0,5.0,15.0,25.0,2.0,,82.0,57.0,7.2,18.0,0.0294108,1,,,,1.0,1.0,2.0,5.0,1.0,,2.0,2.0,5.0,1.0,,1.0,3.0,,1.0,0.034,,,,,1.0,1.0,1.0,,,,,,,,
12501562,home,Hellas Verona,Amin Sarr,sarr-amin,A. Sarr,F,9,190,942,M,1022204,EUR,984268800,F,9,9,False,12.0,10.0,1.0,1.0,0.0,3.0,3.0,7.0,9.0,1.0,,45.0,22.0,6.9,3.0,0.0129215,0,,,,2.0,,4.0,4.0,1.0,,2.0,1.0,,2.0,1.0,,,,,,,,,,,1.0,,,,,,,,,
