match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_totalCross,player_firstName,player_lastName,stat_accurateCross,stat_goals,stat_penaltyConceded,stat_challengeLost,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_keyPass,stat_bigChanceMissed,stat_outfielderBlock,captain,stat_errorLeadToAShot,stat_clearanceOffLine,stat_lastManTackle
13981432,home,Inter,Yann Sommer,yann-sommer,Y. Sommer,G,1,183.0,12749,M,yannsommer,16206,EUR,598320000,G,1,1,False,34.0,29.0,7.0,3.0,0.0,25.0,26.0,4.0,8.0,1.0,8.0,2.0,1.0,3.0,1.0,1.0,90.0,44.0,7.3,5.0,0.00104262,0.5885,0,0.0727,0.08,0.01,-0.13,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981432,home,Inter,Yann Bisseck,yann-bisseck,Y. Bisseck,D,31,194.0,5415,M,,906275,EUR,975456000,D,31,31,False,58.0,52.0,7.0,4.0,0.0,38.0,39.0,14.0,19.0,2.0,3.0,,,,,,90.0,78.0,6.6,8.0,0.00548565,,2,,0.01,0.03,-0.25,,4.0,4.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,0.1993,0.1547,0.12,,,,,,,,,,,,,,,,
13981432,home,Inter,Francesco Acerbi,francesco-acerbi,F. Acerbi,D,15,192.0,5573,M,,126816,EUR,571449600,D,15,15,False,73.0,68.0,9.0,5.0,0.0,49.0,53.0,19.0,20.0,3.0,2.0,,,,,,83.0,82.0,6.6,5.0,0.00534296,,0,,0.05,0.13,-0.32,,1.0,4.0,2.0,5.0,,,,,,2.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
13981432,home,Inter,Alessandro Bastoni,alessandro-bastoni,A. Bastoni,D,95,190.0,15274,M,alessandrobastoni,826188,EUR,923961600,D,95,95,False,86.0,71.0,17.0,8.0,0.0,39.0,41.0,32.0,45.0,6.0,4.0,,,,,,90.0,109.0,7.2,24.0,0.0619789,,1,,0.42,0.1,-0.23,,2.0,3.0,3.0,5.0,1.0,,,,1.0,,2.0,2.0,2.0,,1.0,,0.0515,,0.0,3.0,,,,,,,,,,,,,,,
13981432,home,Inter,Denzel Dumfries,denzel-dumfries,D. Dumfries,M,2,189.0,15021,M,ddumfries2,759520,EUR,829785600,M,2,2,False,25.0,21.0,2.0,,0.0,9.0,10.0,12.0,15.0,,3.0,,,,,,90.0,45.0,6.6,12.0,0.0382045,,1,,-0.14,-0.08,-0.22,,3.0,1.0,3.0,2.0,,,,,1.0,2.0,1.0,,3.0,,2.0,,0.8588,0.9934,0.32,4.0,,,1.0,1.0,1.0,,,,,,,,,,
13981432,home,Inter,Nicolò Barella,nicolo-barella,N. Barella,M,23,175.0,21290,M,nicolo_barella,363856,EUR,855273600,M,23,23,False,54.0,45.0,6.0,6.0,0.0,17.0,17.0,28.0,37.0,1.0,5.0,,,,,,83.0,74.0,7.2,17.0,0.0693135,,0,,0.38,0.17,-0.08,,1.0,,5.0,5.0,1.0,4.0,3.0,,,,1.0,,1.0,1.0,1.0,,,,,5.0,,,,,,1.0,,,,,,,,,
13981432,home,Inter,Hakan Çalhanoğlu,hakan-calhanoglu,H. Çalhanoğlu,M,20,178.0,32988,M,HÇalhanoğlu,135700,EUR,760665600,M,20,20,False,29.0,26.0,5.0,3.0,0.0,15.0,15.0,11.0,14.0,,1.0,,,,,,68.0,40.0,6.0,11.0,0.0215522,,1,,-0.17,0.06,-0.3,,,,4.0,1.0,,,,1.0,,,,,1.0,1.0,2.0,,0.0385,,-0.15,6.0,,,,,,2.0,,,,,,,,,
13981432,home,Inter,Petar Sučić,petar-sucic,P. Sučić,M,8,184.0,7937,M,,1091303,EUR,1067040000,M,8,8,False,23.0,18.0,4.0,3.0,0.0,9.0,9.0,9.0,14.0,1.0,3.0,,,,,,63.0,33.0,6.6,9.0,0.0136959,,0,,0.02,0.17,-0.19,,,,4.0,4.0,1.0,3.0,2.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,2.0,,,,,,,,,
13981432,home,Inter,Federico Dimarco,federico-dimarco,F. Dimarco,M,32,174.0,15308,M,dimarco32,284361,EUR,879120000,M,32,32,False,28.0,27.0,1.0,1.0,0.0,9.0,9.0,18.0,19.0,,1.0,,,,,,83.0,44.0,6.9,4.0,0.323547,,4,,0.55,-0.22,-0.09,,,,2.0,,,,,3.0,,,,,,,2.0,,0.1538,,-0.23,8.0,,,5.0,,,,1.0,1.0,4.0,,,,,,
13981432,home,Inter,Marcus Thuram,marcus-thuram,M. Thuram,F,9,192.0,25521,M,m_thuram,791702,EUR,870825600,F,9,9,False,18.0,12.0,,,1.0,7.0,9.0,5.0,9.0,1.0,2.0,,,,,,90.0,34.0,6.9,11.0,0.03535,,3,,-0.04,0.46,0.24,,5.0,3.0,7.0,7.0,,5.0,4.0,2.0,1.0,,,,1.0,,1.0,1.0,0.4018,0.2895,-0.6,3.0,,,,,,,1.0,,2.0,2.0,1.0,,,,
