match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_dispossessed,stat_bigChanceCreated,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_ownGoals,stat_wasFouled,stat_fouls,stat_keyPass,stat_interceptionWon,stat_totalContest,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_wonContest,stat_blockedScoringAttempt,stat_errorLeadToAGoal,stat_shotOffTarget,stat_hitWoodwork,stat_goals,stat_totalOffside,player_firstName,player_lastName,stat_punches,stat_clearanceOffLine,stat_outfielderBlock,player_sofascoreId
12528262,home,Samsunspor,Okan Kocuk,okan-kocuk,O. Koçuk,G,1,187,289,M,190179,EUR,806803200,G,1,1,False,29.0,20.0,15.0,6.0,0.0,19.0,20.0,1.0,9.0,1.0,1.0,6.0,1.0,1.0,1.0,90.0,32.0,5.8,10.0,0.00264776,0,-1.742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528262,home,Samsunspor,Zeki Yavru,zeki-yavru,Z. Yavru,D,18,178,204,M,140735,EUR,684028800,D,18,18,False,66.0,56.0,11.0,6.0,1.0,13.0,14.0,44.0,65.0,5.0,1.0,2.0,,,,90.0,102.0,7.1,25.0,0.149153,0,,True,13.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,
12528262,home,Samsunspor,Ľubomír Šatka,ubomir-satka,Ľ. Šatka,D,37,185,293,M,187231,EUR,817862400,D,37,37,False,35.0,26.0,3.0,1.0,0.0,21.0,25.0,5.0,10.0,4.0,,,,,,90.0,46.0,6.6,9.0,0.00197277,0,,,,,4.0,4.0,8.0,,,4.0,4.0,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,
12528262,home,Samsunspor,Rick Van Drongelen,rick-van-drongelen,R. V. Drongelen,D,4,185,366,M,803023,EUR,914112000,D,4,4,False,71.0,53.0,12.0,6.0,0.0,41.0,44.0,12.0,27.0,4.0,1.0,3.0,,,,90.0,82.0,6.7,19.0,0.0216658,0,,,,,2.0,8.0,11.0,1.0,,4.0,2.0,2.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,
12528262,home,Samsunspor,Marc Bola,marc-bola,M. Bola,D,16,185,264,M,862083,EUR,881625600,D,16,16,False,68.0,60.0,2.0,2.0,1.0,16.0,20.0,45.0,53.0,4.0,,4.0,,,,74.0,93.0,7.2,18.0,0.183154,1,,,5.0,1.0,2.0,1.0,2.0,1.0,,1.0,,,,1.0,,4.0,,1.0,1.0,2.0,0.0154,0.0413,,,,,,,,,,,,,
12528262,home,Samsunspor,Carlo Holse,carlo-holse,C. Holse,M,21,177,633,M,837012,EUR,928281600,M,21,21,False,72.0,65.0,4.0,4.0,0.0,17.0,19.0,48.0,53.0,4.0,,2.0,,,,90.0,86.0,7.1,10.0,0.10792,4,,,,,1.0,1.0,4.0,2.0,,,1.0,,,1.0,1.0,,,1.0,2.0,,0.1789,0.2599,1.0,2.0,,,,,,,,,,,
12528262,home,Samsunspor,Youssef Aït Bennasser,youssef-ait-bennasser,Y. A. Bennasser,M,15,184,425,M,802850,EUR,836697600,M,6,6,False,65.0,57.0,9.0,7.0,0.0,15.0,19.0,42.0,46.0,2.0,,6.0,,,,90.0,78.0,6.9,11.0,0.0675551,0,,,,,2.0,2.0,4.0,,,4.0,1.0,,,1.0,,4.0,1.0,,,3.0,,,,,1.0,,,,,,,,,,
12528262,home,Samsunspor,Olivier Ntcham,olivier-ntcham,O. Ntcham,M,10,180,801,M,352676,EUR,823824000,M,10,10,False,76.0,67.0,10.0,6.0,0.0,21.0,25.0,47.0,52.0,6.0,,11.0,,,,90.0,99.0,9.2,16.0,0.124311,7,,,1.0,1.0,1.0,,3.0,3.0,,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.6582,1.5703,,1.0,,3.0,1.0,2.0,,,,,,,
12528262,home,Samsunspor,Gaëtan Laura,gaetan-laura,G. Laura,F,,185,106,M,1004042,EUR,807580800,F,27,27,False,16.0,10.0,,,0.0,1.0,1.0,9.0,15.0,3.0,,,,,,59.0,26.0,6.7,10.0,0.0107184,2,,,,,1.0,2.0,5.0,1.0,,,1.0,,,1.0,,,,2.0,,2.0,0.3684,,1.0,1.0,,1.0,,,1.0,,,,,,
12528262,home,Samsunspor,Marius Mouandilmadji,marius-mouandilmadji,M. Mouandilmadji,F,9,190,1399,M,943593,EUR,885427200,F,9,9,False,19.0,13.0,1.0,,0.0,2.0,2.0,11.0,17.0,8.0,1.0,1.0,,,,89.0,29.0,7.3,9.0,0.0345128,3,,,,,5.0,1.0,4.0,1.0,,,,,,1.0,1.0,1.0,,2.0,1.0,2.0,0.6611,0.5857,2.0,2.0,,,,1.0,1.0,,,,,,
12528262,home,Samsunspor,Emre Kılınç,emre-kilinc,E. Kılınç,M,11,174,320,M,202032,EUR,777600000,F,11,11,False,27.0,21.0,3.0,2.0,0.0,2.0,3.0,19.0,27.0,4.0,,4.0,,,,74.0,41.0,6.7,13.0,0.0693313,1,,,3.0,,1.0,,2.0,2.0,,,,,,1.0,,,,2.0,,,0.0223,,1.0,1.0,,,,,,,,,,,
12528262,home,Samsunspor,Arbnor Muja,arbnor-muja,A. Muja,M,7,179,520,M,890695,EUR,912297600,F,7,7,True,10.0,9.0,,,0.0,1.0,1.0,9.0,13.0,4.0,,2.0,,,,31.0,19.0,6.6,7.0,0.089175,0,,,4.0,1.0,1.0,,1.0,2.0,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,2.0,Arbnor,Muja,,,,
12528262,home,Samsunspor,Soner Gönül,soner-gonul,S. Gönül,D,28,177,50,M,867727,EUR,865987200,D,28,28,True,12.0,7.0,3.0,,0.0,2.0,2.0,6.0,13.0,,,,,,,16.0,21.0,6.7,8.0,0.0101479,1,,,3.0,1.0,,,,,,,,,,,,,,,1.0,,0.0196,0.0128,,,,,,,,,,,,,
12528262,home,Samsunspor,Kingsley Schindler,kingsley-schindler,K. Schindler,F,19,179,869,M,169113,EUR,742435200,F,17,17,True,4.0,3.0,,,0.0,,,4.0,6.0,2.0,,,,,,16.0,12.0,7.3,4.0,0.072306,2,,,2.0,1.0,1.0,,1.0,,,,,,,,1.0,1.0,,1.0,1.0,2.0,0.102,0.3759,1.0,1.0,,,,1.0,,,,,,,
12528262,home,Samsunspor,Landry Dimata,landry-dimata,L. Dimata,F,10,185,506,M,826944,EUR,873072000,F,14,14,True,,,,,0.0,,,,,,,,,,,1.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528262,home,Samsunspor,Halil Yeral,halil-yeral,H. Yeral,G,45,190,27,M,897441,EUR,946684800,G,45,45,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528262,home,Samsunspor,Yunus Emre Çift,yunus-emre-cift,Y. E. Çift,D,55,185,119,M,1063325,EUR,1062374400,D,55,55,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yunus Cift,,,,,
12528262,home,Samsunspor,Soner Aydoğdu,soner-aydogdu,S. Aydoğdu,M,8,181,117,M,69351,EUR,663033600,M,8,8,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528262,home,Samsunspor,Celil Yüksel,celil-yuksel,C. Yüksel,M,5,165,83,M,806972,EUR,883612800,M,5,5,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528262,home,Samsunspor,Flavien Tait,flavien-tait,F. Tait,M,,175,101,M,312388,EUR,728611200,M,13,13,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
