match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_aerialWon,player_firstName,player_lastName,stat_goalAssist,stat_wonContest,stat_totalCross,stat_dispossessed,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,captain,stat_goals,stat_totalOffside,player_sofascoreId,stat_bigChanceMissed,stat_accurateCross,stat_savedShotsFromInsideTheBox,stat_saves
11067403,home,Internacional,Sergio Rochet,sergio-rochet,S. Rochet,G,1,190,2554,M,581060,EUR,732844800,G,33,33,False,16.0,7.0,14.0,5.0,3.0,3.0,4.0,13.0,7.0,1.0,2.0,90.0,22.0,5.3,9.0,0.0,0.0,0.0003038,0,-1.7341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067403,home,Internacional,Fabricio Bustos,fabricio-bustos,F. Bustos,D,16,167,800,M,850023,EUR,830649600,D,16,16,False,48.0,32.0,8.0,2.0,9.0,19.0,23.0,29.0,7.0,,,90.0,68.0,5.9,20.0,0.0,0.0,0.0306258,0,,6.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11067403,home,Internacional,Vitão,vitao,Vitão,D,44,185,3503,M,876625,EUR,949449600,D,44,44,False,37.0,25.0,6.0,,9.0,11.0,16.0,26.0,1.0,,,90.0,48.0,6.2,13.0,0.0167,0.0,0.00311774,1,,2.0,1.0,1.0,,3.0,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11067403,home,Internacional,Gabriel Mercado,gabriel-mercado,G. Mercado,D,25,180,995,M,128376,EUR,543024000,D,25,25,False,28.0,21.0,3.0,,19.0,22.0,2.0,6.0,3.0,,,90.0,35.0,6.5,7.0,0.0,0.0,0.00242706,0,,3.0,4.0,,,2.0,2.0,2.0,,,2.0,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
11067403,home,Internacional,Renê,rene,Renê,D,6,174,1464,M,243113,EUR,716428800,D,6,6,False,43.0,35.0,6.0,4.0,17.0,19.0,18.0,24.0,6.0,,,90.0,69.0,7.0,10.0,0.0,0.0,0.0222616,0,,5.0,7.0,1.0,2.0,5.0,5.0,5.0,,,1.0,1.0,2.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,
11067403,home,Internacional,Charles Aránguiz,charles-aranguiz,C. Aránguiz,M,20,171,3505,M,18304,EUR,608774400,M,20,20,False,60.0,49.0,3.0,2.0,22.0,27.0,27.0,34.0,6.0,,,89.0,77.0,7.4,15.0,0.1149,0.0347,0.0413573,4,,5.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,,2.0,2.0,1.0,2.0,,2.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
11067403,home,Internacional,Johnny Cardoso,johnny,J. Cardoso,M,5,186,5155,M,990169,EUR,1000944000,M,30,30,False,30.0,24.0,,,13.0,15.0,11.0,15.0,3.0,,,78.0,44.0,6.6,9.0,0.0,0.0,0.0045068,0,,4.0,3.0,,2.0,2.0,,,1.0,,1.0,,2.0,,1.0,2.0,1.0,,,,2.0,,1.0,,,,,,,,,,,
11067403,home,Internacional,Mauricio,mauricio,Mauricio,M,18,174,5655,M,986233,EUR,993168000,M,27,27,False,24.0,21.0,,,3.0,3.0,18.0,23.0,4.0,,,78.0,31.0,7.3,6.0,0.0535,0.0,0.323369,1,,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,,1.0,3.0,,,,1.0,,,,1.0,1.0,2.0,,1.0,,1.0,,,,,,,,
11067403,home,Internacional,Alan Patrick,alan-patrick,A. Patrick,M,10,177,6630,M,124997,EUR,674092800,M,10,10,False,49.0,44.0,1.0,1.0,8.0,10.0,36.0,40.0,7.0,,,89.0,67.0,8.1,11.0,0.4224,0.6728,0.355638,1,,4.0,7.0,,2.0,,,,3.0,5.0,1.0,4.0,1.0,,1.0,1.0,,,,,2.0,1.0,2.0,1.0,1.0,,True,1.0,1.0,,,,,
11067403,home,Internacional,Wanderson,wanderson,Wanderson,M,94,175,1923,M,247483,EUR,781401600,M,11,11,False,15.0,12.0,1.0,1.0,4.0,5.0,8.0,10.0,5.0,,,89.0,31.0,7.3,8.0,0.0848,0.3008,0.0476188,2,,3.0,3.0,,1.0,1.0,2.0,1.0,2.0,,,,1.0,1.0,1.0,2.0,,,,,1.0,,2.0,,1.0,,,1.0,1.0,,,,,
