match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,stat_challengeLost,stat_bigChanceMissed,stat_shotOffTarget,stat_interceptionWon,captain,stat_outfielderBlock,stat_keyPass,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_wonContest,stat_goals,stat_bigChanceCreated,stat_goalAssist,stat_blockedScoringAttempt,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,player_sofascoreId
10382174,home,Sparta Rotterdam,Koki Saito,koki-saito,K. Saito,M,14,170,1063,M,905356,EUR,997401600,F,11,11,False,35.0,29.0,2.0,1.0,11.0,14.0,19.0,23.0,5.0,,,,88.0,53.0,6.6,14.0,1,2.0,1.0,,7.0,5.0,2.0,8.0,,2.0,1.0,,,,,,,,1.0,,,1.0,,,,3.0,,,,1.0,1.0,,,
10382174,home,Sparta Rotterdam,Younes Namli,younes-namli,Y. Namli,M,9,180,239,M,235538,EUR,772070400,M,16,16,True,3.0,3.0,,,2.0,2.0,1.0,1.0,1.0,,,,8.0,6.0,6.4,2.0,0,,,,1.0,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,
10382174,home,Sparta Rotterdam,Dirk Abels,dirk-abels,D. Abels,D,2,177,60,M,583606,EUR,866160000,D,12,12,True,1.0,1.0,,,1.0,1.0,,,,,,,2.0,3.0,,,0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
10382174,home,Sparta Rotterdam,Mike Eerdhuijzen,mike-eerdhuijzen,M. Eerdhuijzen,D,44,194,180,M,947842,EUR,963446400,D,14,14,True,,,,,,,,,,,,,1.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382174,home,Sparta Rotterdam,Omar Rekik,omar-rekik,O. Rekik,D,44,186,1026,M,976251,EUR,1008806400,D,13,13,True,,,,,,,,,,,,,1.0,,,,0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
10382174,home,Sparta Rotterdam,Delano van Crooij,delano-van-crooy,D. v. Crooij,G,,182,15,M,108714,EUR,676080000,G,30,30,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382174,home,Sparta Rotterdam,Youri Schoonderwaldt,youri-schoonderwaldt,Y. Schoonderwaldt,G,13,195,40,M,996720,EUR,952905600,G,20,20,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382174,home,Sparta Rotterdam,Aaron Meijers,aaron-meijers,A. Meijers,D,14,176,30,M,32386,EUR,562377600,D,15,15,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,Aaron,Meijers,,,,,,,,,,
10382174,home,Sparta Rotterdam,Jason Lokilo,jason-lokilo,J. Lokilo,M,98,175,217,M,818036,EUR,905990400,M,17,17,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382174,home,Sparta Rotterdam,Pedro Alemañ,pedro-aleman-serna,P. Alemañ,M,8,182,58,M,996933,EUR,1016668800,M,18,18,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382174,home,Sparta Rotterdam,Mohammed Tahiri,mohammed-tahiri,M. Tahiri,F,19,177,95,M,1066323,EUR,980121600,F,19,19,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382174,away,Excelsior,Stijn van Gassel,stijn-van-gassel,S. van Gassel,G,1,185,166,M,367118,EUR,845596800,G,1,1,False,34.0,9.0,31.0,6.0,4.0,7.0,5.0,27.0,7.0,,3.0,3.0,90.0,43.0,6.7,25.0,0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
10382174,away,Excelsior,Siebe Horemans,siebe-horemans,S. Horemans,D,2,186,201,M,794990,EUR,896745600,D,2,2,False,39.0,25.0,10.0,4.0,10.0,15.0,15.0,27.0,7.0,,,,90.0,70.0,7.3,17.0,0,3.0,,3.0,3.0,8.0,,1.0,5.0,3.0,,,1.0,1.0,1.0,1.0,,,5.0,,1.0,1.0,,,,1.0,,,,,,,,
10382174,away,Excelsior,Sven Nieuwpoort,sven-nieuwpoort,S. Nieuwpoort,D,16,184,8,M,97412,EUR,734659200,D,16,16,False,24.0,24.0,1.0,1.0,17.0,17.0,7.0,7.0,3.0,,,,90.0,33.0,6.9,,0,,,1.0,3.0,3.0,,,4.0,2.0,1.0,,,1.0,1.0,1.0,,,,,1.0,,Sven,Nieuwpoort,,,,,,,,,,
10382174,away,Excelsior,Redouan El Yaakoubi,redouan-el-yaakoubi,R. E. Yaakoubi,D,,182,100,M,887617,EUR,822528000,D,4,4,False,38.0,27.0,13.0,7.0,20.0,25.0,7.0,13.0,5.0,,,,90.0,51.0,7.1,11.0,1,,,3.0,5.0,6.0,,,7.0,3.0,3.0,,,1.0,4.0,,,,1.0,True,,,,,1.0,,,,,,,,,
