match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_outfielderBlock,stat_unsuccessfulTouch,stat_keyPass,stat_dispossessed,stat_interceptionWon,stat_accurateCross,stat_shotOffTarget,player_sofascoreId,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_goals
14061183,home,Nice,Yehvann Diouf,,,yehvann-diouf,Y. Diouf,G,80,188.0,2968,M,845183,EUR,942710400,G,80,80,False,24.0,22.0,4.0,2.0,0.0,21.0,22.0,1.0,2.0,1.0,5.0,1.0,1.0,90.0,32.0,6.6,2.0,0.00019477,0.0028,0,-0.6204,0.0,0.16,-0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14061183,home,Nice,Antoine Mendy,,,mendy-antoine,A. Mendy,D,5,186.0,6281,M,1120615,EUR,1085529600,D,33,33,False,59.0,51.0,3.0,1.0,0.0,31.0,34.0,20.0,25.0,9.0,2.0,,,90.0,84.0,6.6,12.0,0.00883969,,1,,0.08,0.09,-0.18,,3.0,3.0,4.0,8.0,9.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,0.2088,-0.56,,,,,,,,,,,,,,,
14061183,home,Nice,Abdulay Juma Bah,,,abdulay-juma-bah,A. J. Bah,D,28,195.0,5965,M,1606792,EUR,1144713600,D,28,28,False,75.0,71.0,5.0,4.0,0.0,49.0,51.0,22.0,24.0,4.0,3.0,,,90.0,89.0,8.1,5.0,0.288557,,0,,0.57,0.16,0.31,,,1.0,3.0,2.0,7.0,,,,2.0,,,1.0,,,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,
14061183,home,Nice,Kojo Peprah Oppong,,,peprah-oppong-kojo,K. P. Oppong,D,37,185.0,1391,M,1473092,EUR,1086307200,D,37,37,False,53.0,47.0,5.0,3.0,0.0,28.0,28.0,19.0,25.0,2.0,2.0,,,89.0,64.0,7.1,7.0,0.0248587,,0,,0.27,0.15,-0.13,,,,,4.0,6.0,2.0,,,4.0,3.0,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,
14061183,home,Nice,Jonathan Clauss,,,jonathan-clauss,J. Clauss,M,92,178.0,2004,M,821728,EUR,717379200,M,92,92,False,57.0,46.0,1.0,,0.0,16.0,19.0,30.0,38.0,4.0,6.0,,,90.0,85.0,6.7,19.0,0.1484,,2,,0.12,0.1,-0.03,,6.0,,,4.0,4.0,1.0,,,1.0,1.0,2.0,,0.0666,-0.22,2.0,1.0,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,
14061183,home,Nice,Hicham Boudaoui,,,hicham-boudaoui,H. Boudaoui,M,6,176.0,11417,M,985923,EUR,938044800,M,6,6,False,44.0,34.0,3.0,,0.0,14.0,14.0,20.0,30.0,4.0,5.0,,,90.0,65.0,6.5,16.0,0.0464429,,2,,0.2,0.34,-0.09,,,2.0,,9.0,4.0,2.0,,1.0,,,3.0,3.0,0.0813,-0.21,2.0,1.0,,,4.0,1.0,1.0,1.0,,,hicham_boudaoui,1.0,0.1005,,
14061183,home,Nice,Tom Louchet,,,tom-louchet,T. Louchet,M,20,176.0,395,M,1127313,EUR,1052006400,M,20,20,False,29.0,26.0,2.0,1.0,0.0,15.0,15.0,11.0,14.0,1.0,2.0,,,76.0,44.0,7.0,7.0,0.0323841,,2,,0.1,0.01,0.29,,,,,3.0,4.0,,,2.0,3.0,,1.0,2.0,0.0521,-0.14,1.0,,,1.0,3.0,1.0,,,,,,,,,
14061183,home,Nice,Melvin Bard,,,melvin-bard,M. Bard,D,26,173.0,502,M,906075,EUR,973468800,M,26,26,False,30.0,25.0,1.0,,0.0,16.0,18.0,9.0,12.0,2.0,2.0,,,90.0,53.0,6.4,11.0,0.0732159,,2,,0.04,0.13,-0.1,,6.0,,,3.0,1.0,2.0,,,1.0,,,,0.0351,-0.09,,,,,,,1.0,1.0,2.0,2.0,,,,True,
14061183,home,Nice,Badredine Bouanani,Badredine Bouanani,,badredine-bouanani,B. Bouanani,M,27,177.0,10091,M,1153265,EUR,1102464000,F,19,19,False,30.0,23.0,1.0,,0.0,10.0,11.0,13.0,19.0,,3.0,,,76.0,46.0,6.6,15.0,0.244914,,1,,0.12,0.09,-0.08,,3.0,2.0,,6.0,3.0,1.0,,,,,2.0,,0.0674,-0.29,4.0,1.0,,,2.0,,,1.0,1.0,1.0,bouanani,,,,
14061183,home,Nice,Isak Jansson,,,isak-jansson,I. Jansson,F,21,176.0,322,M,962064,EUR,1012435200,F,21,21,False,16.0,12.0,2.0,,0.0,4.0,5.0,8.0,11.0,,3.0,,,76.0,27.0,6.3,11.0,0.0134049,,0,,-0.03,0.3,-0.01,,1.0,,,6.0,1.0,,,,,,,2.0,,,4.0,1.0,,,2.0,,1.0,,,,,,,,
