match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_wasFouled,stat_fouls,stat_expectedGoals,player_sofascoreId,captain,stat_accurateCross,stat_aerialWon,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_interceptionWon,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_expectedGoalsOnTarget,stat_keyPass,stat_unsuccessfulTouch,stat_dispossessed,stat_errorLeadToAShot,stat_punches,stat_goals,stat_outfielderBlock,stat_totalOffside,stat_bigChanceCreated
13472798,home,Fluminense,Fábio,,,fabio,Fábio,G,1,188,4344,M,17785,EUR,339120000,G,1,1,False,16.0,12.0,5.0,1.0,0.0,12.0,14.0,2.0,1.0,8.0,3.0,3.0,3.0,1.0,1.0,90.0,30.0,7.1,4.0,5.639e-05,0,-0.3144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472798,home,Fluminense,Samuel Xavier,,,xavier-samuel,S. Xavier,D,2,166,1621,M,795773,EUR,644630400,D,2,2,False,63.0,58.0,3.0,2.0,0.0,21.0,22.0,41.0,2.0,4.0,,,,,,90.0,85.0,7.4,8.0,0.0571838,3,,37.0,2.0,3.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,0.1233,,,,,,,,,,,,,,,,,,,,
13472798,home,Fluminense,Thiago Silva,,,thiago-silva,T. Silva,D,3,181,42324,M,33541,EUR,464659200,D,3,3,False,86.0,85.0,7.0,6.0,0.0,51.0,52.0,34.0,2.0,4.0,,,,,,90.0,100.0,7.7,1.0,0.17825,3,,34.0,1.0,3.0,4.0,4.0,,,,1.0,1.0,,1.0,0.3315,ThiagoSilva,True,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0207,3.0,,,,,,,,
13472798,home,Fluminense,Juan Freytes,,,juan-freytes,J. Freytes,D,22,182,1341,M,962187,EUR,947548800,D,22,22,False,92.0,85.0,10.0,6.0,0.0,52.0,52.0,40.0,3.0,6.0,,,,,,90.0,107.0,7.1,9.0,0.0391195,3,,33.0,2.0,,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0658,,,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,,,,
13472798,home,Fluminense,Gabriel Fuentes,,,gabriel-fuentes,G. Fuentes,D,18,180,1577,M,927551,EUR,855446400,D,12,12,False,52.0,48.0,1.0,,0.0,24.0,24.0,28.0,,3.0,,,,,,75.0,72.0,7.0,11.0,0.135024,1,,24.0,4.0,,3.0,3.0,,,,,,,3.0,0.0078,,,1.0,1.0,1.0,,1.0,,2.0,1.0,0.0198,2.0,2.0,,,,,,,
13472798,home,Fluminense,Matheus Martinelli,,,martinelli-matheus,M. Martinelli,M,8,176,4179,M,1067671,EUR,1002240000,M,8,8,False,52.0,47.0,9.0,7.0,0.0,21.0,22.0,30.0,,1.0,,,,,,75.0,63.0,6.6,10.0,0.0203586,1,,26.0,1.0,2.0,8.0,5.0,2.0,2.0,1.0,1.0,,1.0,2.0,0.0387,,,,2.0,,,,,1.0,,,,2.0,1.0,1.0,,,,,
13472798,home,Fluminense,Hércules,,,hercules,Hércules,M,35,178,3079,M,1104068,EUR,972000000,M,35,35,False,61.0,55.0,8.0,4.0,0.0,23.0,24.0,37.0,,3.0,,,,,,90.0,69.0,7.1,7.0,0.0331677,2,,32.0,,,2.0,3.0,,2.0,2.0,1.0,,,2.0,0.0407,,,,,1.0,,,,1.0,1.0,0.0103,,1.0,,,,,,,
13472798,home,Fluminense,Jhon Arias,,,jhon-arias,J. Arias,M,21,170,30718,M,844096,EUR,874800000,M,21,21,False,48.0,42.0,1.0,1.0,0.0,8.0,8.0,40.0,,5.0,,,,,,90.0,71.0,7.7,19.0,0.367667,3,,34.0,12.0,,4.0,3.0,,2.0,1.0,2.0,1.0,1.0,1.0,0.1331,jhonariasa,,3.0,,,,,,1.0,1.0,,5.0,1.0,2.0,,,,,,
13472798,home,Fluminense,Nonato,,,nonato,Nonato,M,16,174,1213,M,922566,EUR,888883200,M,16,16,False,22.0,19.0,,,0.0,10.0,12.0,10.0,,,,,,,,45.0,25.0,6.3,4.0,0.0162386,0,,9.0,,1.0,3.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
13472798,home,Fluminense,Yeferson Soteldo,,,yeferson-soteldo,Y. Soteldo,M,7,160,11184,M,789960,EUR,867628800,M,7,7,False,23.0,20.0,2.0,2.0,0.0,6.0,6.0,17.0,,,,,,,,66.0,48.0,6.2,23.0,0.0196345,1,,14.0,10.0,,8.0,3.0,,5.0,2.0,1.0,,1.0,,0.1339,yefersonsoteldo1006,,,,,,,,,,,,,5.0,,,,,,
