match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_expectedGoals,stat_accurateCross,stat_wonTackle,stat_errorLeadToAShot,stat_keyPass,stat_dispossessed,stat_onTargetScoringAttempt,stat_totalOffside,captain,stat_challengeLost,stat_blockedScoringAttempt,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_punches,stat_accurateKeeperSweeper,player_sofascoreId,stat_bigChanceMissed,stat_hitWoodwork
11388480,home,Sparta Rotterdam,Nick Olij,nick-olij,N. Olij,G,1,185,555,M,227192,EUR,807235200,G,1,1,False,40.0,33.0,13.0,6.0,28.0,28.0,5.0,12.0,1.0,6.0,1.0,1.0,3.0,3.0,1.0,90.0,47.0,7.1,7.0,0.00296873,0,0.5763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11388480,home,Sparta Rotterdam,Saïd Bakari,said-bakari,S. Bakari,D,22,176,127,M,896210,EUR,780192000,D,2,2,False,28.0,24.0,4.0,2.0,14.0,14.0,10.0,16.0,3.0,3.0,,,,,,90.0,43.0,6.8,7.0,0.00987156,0,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11388480,home,Sparta Rotterdam,Rick Meissen,rick-meissen,R. Meissen,D,3,193,44,M,1048906,EUR,1014508800,D,3,3,False,53.0,45.0,10.0,5.0,37.0,38.0,8.0,15.0,4.0,1.0,,,,,,90.0,62.0,7.0,8.0,0.00393483,1,,,2.0,2.0,3.0,,,3.0,2.0,,Rick Meijssen,,1.0,2.0,1.0,1.0,0.1226,,,,,,,,,,,,,,,,,,
11388480,home,Sparta Rotterdam,Mike Eerdhuijzen,mike-eerdhuijzen,M. Eerdhuijzen,D,44,194,180,M,947842,EUR,963446400,D,4,4,False,78.0,66.0,15.0,8.0,51.0,56.0,16.0,24.0,8.0,,2.0,,,,,90.0,92.0,7.3,15.0,0.212444,0,,2.0,,4.0,1.0,1.0,,4.0,2.0,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
11388480,home,Sparta Rotterdam,Djevencio van der Kust,djevencio-van-der-kust,D. v. d. Kust,D,5,178,181,M,974530,EUR,988588800,D,5,5,False,44.0,38.0,4.0,2.0,22.0,26.0,16.0,18.0,2.0,3.0,1.0,,,,,90.0,67.0,6.8,11.0,0.0247184,2,,,3.0,1.0,5.0,1.0,,2.0,,1.0,,,,,1.0,,0.0868,,,,,1.0,2.0,1.0,,,,,,,,,,,
11388480,home,Sparta Rotterdam,Jonathan de Guzmán,jonathan-de-guzman,J. d. Guzmán,M,13,173,79,M,13028,EUR,558489600,M,6,6,False,31.0,23.0,7.0,3.0,9.0,12.0,15.0,25.0,2.0,3.0,2.0,,,,,73.0,45.0,7.2,14.0,0.220649,2,,6.0,,,1.0,,,,,,,,1.0,1.0,,,0.0555,1.0,,,2.0,1.0,1.0,,True,,,,,,,,,,
11388480,home,Sparta Rotterdam,Joshua Kitolano,joshua-kitolano,J. Kitolano,M,8,170,272,M,913584,EUR,984009600,M,8,8,False,16.0,14.0,1.0,1.0,3.0,5.0,11.0,11.0,5.0,2.0,1.0,,,,,90.0,31.0,6.9,5.0,0.0620479,1,,,2.0,,5.0,4.0,3.0,1.0,1.0,2.0,,,1.0,1.0,,,0.1244,,,,1.0,,,,,2.0,,,,,,,,,
11388480,home,Sparta Rotterdam,Shunsuke Mito,shunsuke-mito,S. Mito,M,11,164,867,M,1002479,EUR,1033171200,M,7,7,False,7.0,6.0,1.0,1.0,2.0,2.0,5.0,6.0,6.0,3.0,3.0,,,,,73.0,25.0,6.7,8.0,0.0170905,2,,1.0,,,3.0,4.0,3.0,,,4.0,,,1.0,,,,0.042,1.0,,,,2.0,,1.0,,,1.0,,,,,,,,
11388480,home,Sparta Rotterdam,Arno Verschueren,arno-verschueren,A. Verschueren,M,32,182,168,M,578344,EUR,870652800,M,10,10,False,22.0,14.0,2.0,1.0,6.0,9.0,8.0,14.0,7.0,3.0,2.0,,,,,90.0,37.0,7.5,14.0,0.083387,1,,1.0,2.0,3.0,6.0,2.0,,,2.0,2.0,,,,1.0,,1.0,0.228,,1.0,,,1.0,1.0,,,,,1.0,,,,,,,
11388480,home,Sparta Rotterdam,Koki Saito,koki-saito,K. Saito,M,14,170,1063,M,905356,EUR,997401600,M,11,11,False,16.0,12.0,,,4.0,5.0,9.0,16.0,4.0,2.0,2.0,,,,,89.0,38.0,7.0,16.0,0.139955,1,,5.0,2.0,,4.0,2.0,,1.0,2.0,5.0,,,,,,1.0,0.0556,1.0,1.0,,3.0,,1.0,,,,,,,,,,,,
