match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_shotValueNormalized,stat_aerialWon,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_outfielderBlock,stat_lastManTackle,stat_wasFouled,stat_challengeLost,stat_unsuccessfulTouch,captain,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_expectedGoalsOnTarget,stat_punches,stat_goalkeeperValueNormalized,stat_errorLeadToAGoal,stat_errorLeadToAShot
14025213,home,Bournemouth,Đorđe Petrović,dorde-petrovic,Đ. Petrović,G,1,194,8562,M,dj.petrovic12,882604,EUR,939340800,G,1,1,False,22.0,15.0,9.0,2.0,0.0,14.0,14.0,1.0,8.0,1.0,7.0,1.0,1.0,1.0,90.0,29.0,6.4,7.0,0.00026743,51.338117138636,7.0,27.09,14.7,0,-0.0646,0.0,0.02,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025213,home,Bournemouth,Álex Jiménez,alex-jimenez,A. Jiménez,D,20,177,3553,M,,1184308,EUR,1115510400,D,20,20,False,45.0,37.0,4.0,4.0,0.0,14.0,16.0,23.0,29.0,,7.0,,,,89.0,66.0,7.2,12.0,0.11424,219.16898558159,21.0,154.035,41.16,1,,0.48,0.32,-0.16,Alejandro Jiménez,,5.0,2.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0206,107.89134144187,5.0,1.0,-0.06,,,,,,,,,,,,,,,,,,,
14025213,home,Bournemouth,Bafodé Diakité,bafode-diakite,B. Diakité,D,18,182,1863,M,,962408,EUR,978739200,D,18,18,False,71.0,67.0,2.0,,0.0,34.0,35.0,33.0,36.0,4.0,2.0,,,,90.0,76.0,6.8,4.0,0.0173505,324.63689247456,37.0,210.84,29.505,0,,0.23,0.27,-0.11,,,,,,,1.0,,,,,,,,,80.165103400869,4.0,,,1.0,,,,,,,,,,,,,,,,,,
14025213,home,Bournemouth,Marcos Senesi,marcos-senesi,M. Senesi,D,5,184,5596,M,,830659,EUR,863222400,D,5,5,False,87.0,64.0,18.0,5.0,0.0,27.0,29.0,37.0,58.0,12.0,4.0,,,,90.0,114.0,8.3,25.0,0.548177,354.04216896595,46.0,295.05,29.4,1,,0.79,0.33,0.83,,,1.0,1.0,2.0,3.0,14.0,,,,,5.0,3.0,1.0,0.3176,88.737879932024,4.0,3.0,-0.71,6.0,1.0,1.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,
14025213,home,Bournemouth,Adrien Truffert,truffert-adrien,A. Truffert,M,3,176,1506,M,,999028,EUR,1006214400,D,3,3,False,39.0,28.0,6.0,1.0,0.0,12.0,16.0,16.0,23.0,7.0,2.0,,,,90.0,81.0,7.1,19.0,0.0268988,121.33493897006,14.0,96.39,27.51,0,,-0.04,0.21,-0.04,,,5.0,1.0,4.0,6.0,12.0,1.0,1.0,,3.0,7.0,6.0,1.0,,60.426030555816,3.0,,,2.0,,,,,,2.0,1.0,1.0,,,,,,,,,,
14025213,home,Bournemouth,Marcus Tavernier,marcus-tavernier,M. Tavernier,M,16,178,1762,M,,895576,EUR,922060800,M,16,16,False,59.0,44.0,6.0,2.0,0.0,14.0,18.0,30.0,41.0,,5.0,,,,89.0,77.0,6.6,22.0,0.0734304,183.93896563831,28.0,38.745,17.115,2,,-0.05,0.43,-0.05,,,3.0,,1.0,1.0,5.0,,,1.0,,1.0,1.0,,0.0644,41.859903356225,2.0,1.0,-0.38,,,,1.0,,,4.0,,4.0,,,,,,,,,,
14025213,home,Bournemouth,Lewis Cook,lewis-cook,L. Cook,M,4,175,895,M,,548188,EUR,854928000,M,4,4,False,57.0,52.0,3.0,,0.0,24.0,25.0,28.0,32.0,5.0,7.0,,,,90.0,74.0,7.0,9.0,0.0918067,227.45343592565,17.0,131.67,41.895,0,,0.28,0.26,0.15,,,4.0,2.0,3.0,5.0,6.0,1.0,1.0,,1.0,2.0,1.0,1.0,,83.358283991643,3.0,1.0,,3.0,,,,,,,,1.0,True,1.0,,,,,,,,
14025213,home,Bournemouth,David Brooks,david-brooks,D. Brooks,M,7,173,1281,M,,855731,EUR,868320000,M,7,7,False,25.0,20.0,2.0,,0.0,1.0,1.0,19.0,24.0,,2.0,,,,74.0,39.0,5.9,11.0,0.0610683,175.94772670492,14.0,73.08,28.455,6,,0.0,0.26,-0.06,,,,,1.0,9.0,3.0,4.0,,1.0,,1.0,1.0,2.0,0.793,80.4267701137,4.0,1.0,-0.72,1.0,,2.0,5.0,,,1.0,1.0,1.0,,1.0,,,,,,,,
14025213,home,Bournemouth,Justin Kluivert,justin-kluivert,J. Kluivert,M,19,171,6976,M,justinkluivert,851596,EUR,925862400,M,19,19,False,32.0,26.0,2.0,2.0,0.0,8.0,9.0,18.0,23.0,,4.0,,,,64.0,40.0,6.6,10.0,0.0404728,197.93076780616,17.0,27.825,17.85,1,,-0.19,0.28,0.14,,,1.0,,1.0,2.0,2.0,1.0,1.0,,2.0,,,,0.0362,85.698331881801,5.0,2.0,-0.14,1.0,,,1.0,,,,,2.0,,1.0,,,,,,,,
14025213,home,Bournemouth,Antoine Semenyo,antoine-semenyo,A. Semenyo,M,42,185,84914,M,antoinesemenyo42,934354,EUR,947203200,M,24,24,False,35.0,28.0,3.0,1.0,0.0,8.0,10.0,20.0,25.0,,7.0,,,,90.0,49.0,8.5,15.0,0.426704,210.1985950333,21.0,16.485,25.935,3,,0.49,0.36,-0.06,,,1.0,,,1.0,3.0,1.0,1.0,,,1.0,,,0.1067,103.58623126733,6.0,3.0,0.5,1.0,2.0,,2.0,,,,,5.0,,1.0,1.0,1.0,1.0,0.3567,,,,
