match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_bigChanceMissed,stat_totalClearance,stat_outfielderBlock,stat_unsuccessfulTouch,stat_fouls,stat_wonContest,stat_dispossessed,stat_interceptionWon,stat_bigChanceCreated,stat_goals,stat_totalOffside,stat_hitWoodwork,captain,player_sofascoreId,stat_punches,stat_lastManTackle,stat_errorLeadToAGoal
12764395,home,FC Twente,Lars Unnerstall,lars-unnerstall,L. Unnerstall,G,1,198,265,M,94835,EUR,648432000,G,1,1,False,22.0,14.0,10.0,2.0,0.0,13.0,14.0,1.0,8.0,13.0,1.0,2.0,3.0,90.0,30.0,7.3,8.0,8.863e-05,0,1.0791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764395,home,FC Twente,Bart van Rooij,bart-van-rooij,B. v. Rooij,D,28,174,345,M,946506,EUR,990835200,D,28,28,False,48.0,43.0,6.0,3.0,0.0,19.0,20.0,25.0,33.0,4.0,,,,90.0,79.0,7.6,13.0,0.0518477,4,,,,5.0,1.0,1.0,1.0,4.0,7.0,1.0,2.0,1.0,1.0,2.0,5.0,1.0,1.0,0.0892,0.2207,3.0,,,,,,,,,,,,,,,,,
12764395,home,FC Twente,Max Bruns,max-bruns,M. Bruns,D,38,186,104,M,1091627,EUR,1036540800,D,38,38,False,45.0,41.0,5.0,2.0,0.0,25.0,25.0,16.0,20.0,6.0,,,,90.0,59.0,7.2,8.0,0.122902,3,,Max Bruns,,,,3.0,,5.0,2.0,,,3.0,,,1.0,,1.0,0.3271,,,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,
12764395,home,FC Twente,Gustaf Lagerbielke,gustaf-lagerbielke,G. Lagerbielke,D,14,193,475,M,965263,EUR,955324800,D,3,3,False,69.0,57.0,8.0,,0.0,46.0,49.0,11.0,20.0,8.0,,,,90.0,78.0,6.9,13.0,0.00422696,0,,,,,,3.0,3.0,3.0,6.0,,1.0,,,,2.0,,,,,,,5.0,,1.0,,1.0,,,,,,,,,,,
12764395,home,FC Twente,Anass Salah-Eddine,anass-salah-eddine,A. Salah-Eddine,D,2,179,6700,M,961684,EUR,1011312000,D,34,34,False,58.0,53.0,3.0,2.0,1.0,26.0,28.0,27.0,31.0,9.0,,,,90.0,90.0,7.7,13.0,0.14791,2,,,,1.0,,,2.0,7.0,8.0,,6.0,,,2.0,2.0,1.0,2.0,0.0913,,2.0,,5.0,,,1.0,2.0,2.0,3.0,,,,,,,,,
12764395,home,FC Twente,Michel Vlap,michel-vlap,M. Vlap,M,14,189,422,M,798181,EUR,865209600,M,18,18,False,70.0,63.0,6.0,3.0,0.0,31.0,31.0,34.0,47.0,5.0,,,,87.0,91.0,7.5,15.0,0.0430654,1,,,,8.0,2.0,,,4.0,2.0,1.0,,1.0,,,1.0,1.0,1.0,0.0711,,1.0,,2.0,,,1.0,,2.0,2.0,1.0,,,,,,,,
12764395,home,FC Twente,Michal Sadílek,michal-sadilek,M. Sadílek,M,23,168,329,M,825731,EUR,928108800,M,23,23,False,35.0,32.0,2.0,,0.0,15.0,17.0,17.0,24.0,4.0,,,,90.0,56.0,7.2,13.0,0.0180243,0,,,,6.0,,,1.0,5.0,7.0,1.0,1.0,,,,6.0,6.0,,,,2.0,,2.0,,2.0,2.0,,1.0,,,,,,,,,,
12764395,home,FC Twente,Daan Rots,daan-rots,D. Rots,M,11,179,509,M,1048430,EUR,996019200,M,11,11,False,28.0,20.0,3.0,1.0,0.0,3.0,4.0,17.0,26.0,5.0,,,,89.0,52.0,7.7,16.0,0.0866759,5,,,,2.0,,2.0,,8.0,5.0,4.0,1.0,3.0,1.0,1.0,4.0,3.0,1.0,0.4081,0.5895,,,,,3.0,,,1.0,,,1.0,2.0,,,,,,
12764395,home,FC Twente,Sem Steijn,sem-steijn,S. Steijn,M,14,173,3409,M,944467,EUR,1005523200,M,14,14,False,21.0,17.0,2.0,,0.0,5.0,5.0,13.0,18.0,2.0,,,,87.0,30.0,6.8,7.0,0.170896,2,,,,2.0,1.0,,,2.0,1.0,1.0,,,,2.0,,,1.0,0.1993,,2.0,,,,1.0,,,1.0,,,,,1.0,,,,,
12764395,home,FC Twente,Sayfallah Ltaief,sayfallah-ltaief,S. Ltaief,M,47,180,1624,M,1032926,EUR,956361600,M,30,30,False,29.0,24.0,1.0,,0.0,5.0,6.0,20.0,27.0,4.0,,,,81.0,51.0,7.9,14.0,0.443405,2,,,,4.0,1.0,,3.0,3.0,9.0,,3.0,2.0,,,2.0,2.0,3.0,0.0682,,4.0,,,,3.0,1.0,1.0,1.0,,1.0,,,,,,,,
12764395,home,FC Twente,Ricky van Wolfswinkel,ricky-van-wolfswinkel,R. van Wolfswinkel,F,9,186,790,M,35193,EUR,601862400,F,9,9,False,7.0,4.0,1.0,,0.0,1.0,1.0,3.0,6.0,,,,,90.0,12.0,6.7,3.0,0.0286313,3,,,,,,3.0,1.0,6.0,3.0,1.0,,3.0,,,1.0,1.0,1.0,0.9572,,1.0,1.0,,,,2.0,,,,,,1.0,,True,,,,
