match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_aerialLost,stat_errorLeadToAGoal,captain,stat_accurateCross,stat_dispossessed,stat_outfielderBlock,stat_fouls,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_totalOffside,stat_goals,stat_punches,stat_goalAssist,stat_bigChanceCreated
11450083,home,Sivasspor,Ali Şaşal Vural,ali-sasal-vural,A. Ş. Vural,G,187,62,M,94540,EUR,647568000,G,35,35,False,33.0,25.0,17.0,10.0,21.0,26.0,4.0,7.0,14.0,1.0,1.0,2.0,90.0,43.0,6.8,9.0,0.00117727,0,0.0149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450083,home,Sivasspor,Murat Paluli,murat-paluli,M. Paluli,D,175,36,M,893014,EUR,776390400,D,99,99,False,25.0,21.0,2.0,,13.0,14.0,8.0,12.0,7.0,,,,87.0,42.0,6.9,7.0,0.0094373,1,,7,1.0,1.0,2.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0124,1.0,,,,,,,,,,,,,,,,,
11450083,home,Sivasspor,Aaron Appindangoyé,aaron-appindangoye,A. Appindangoyé,D,185,334,M,785850,EUR,698544000,D,4,4,False,53.0,45.0,6.0,2.0,37.0,40.0,8.0,13.0,8.0,,,,90.0,59.0,6.4,8.0,0.00227566,0,,2,,1.0,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
11450083,home,Sivasspor,Caner Osmanpaşa,caner-osmanpasa,C. Osmanpaşa,D,182,35,M,135941,EUR,569203200,D,88,88,False,45.0,43.0,1.0,1.0,37.0,38.0,6.0,7.0,5.0,,,,90.0,59.0,6.1,4.0,0.00448511,0,,20,,1.0,2.0,4.0,,,,,4.0,1.0,2.0,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,
11450083,home,Sivasspor,Uğur Çiftçi,ugur-ciftci,U. Çiftçi,D,180,65,M,142850,EUR,704937600,D,3,3,False,41.0,37.0,2.0,1.0,17.0,19.0,23.0,29.0,3.0,,,,90.0,77.0,6.9,13.0,0.2419,0,,58,7.0,,3.0,2.0,1.0,,,,2.0,2.0,2.0,1.0,3.0,,,2.0,,,True,3.0,1.0,1.0,1.0,,,,,,,,,,
11450083,home,Sivasspor,Azizbek Turgunboev,azizbek-turgunboev,A. Turgunboev,M,173,1143,M,971572,EUR,780969600,M,90,90,False,18.0,16.0,,,5.0,5.0,11.0,13.0,2.0,,,,65.0,27.0,6.8,5.0,0.0110947,1,,10,,3.0,1.0,5.0,,2.0,1.0,,1.0,1.0,,,2.0,1.0,0.0581,,,,,,,,,,,1.0,0.1161,,,,,,
11450083,home,Sivasspor,Charis Charisis,charis-charisis,C. Charisis,M,177,130,M,317297,EUR,789868800,M,8,8,False,65.0,52.0,7.0,3.0,28.0,30.0,24.0,35.0,8.0,,,,90.0,78.0,6.6,17.0,0.0259505,0,,8,,,7.0,7.0,1.0,3.0,2.0,,1.0,,2.0,2.0,1.0,3.0,,,1.0,,,,1.0,,3.0,,,,,,,,,,
11450083,home,Sivasspor,Mijo Caktaš,mijo-caktas,M. Caktaš,M,178,363,M,152887,EUR,705283200,M,30,30,False,48.0,41.0,4.0,2.0,18.0,20.0,23.0,30.0,4.0,,,,75.0,58.0,6.6,10.0,0.0109872,3,,,2.0,1.0,3.0,3.0,,1.0,1.0,1.0,,,,,1.0,1.0,0.1852,,2.0,,,,,,1.0,,,,,2.0,,,,,
11450083,home,Sivasspor,Emrah Başsan,emrah-bassan,E. Başsan,M,177,60,M,174141,EUR,703468800,F,17,17,False,15.0,13.0,1.0,1.0,5.0,5.0,8.0,14.0,4.0,,,,65.0,29.0,6.9,9.0,0.0547002,0,,14,4.0,,4.0,4.0,1.0,3.0,2.0,,,,,,,2.0,,1.0,,,,,2.0,,,,,,,,1.0,,,,
11450083,home,Sivasspor,Rey Manaj,rey-manaj,R. Manaj,F,182,2059,M,587882,EUR,856742400,F,9,9,False,14.0,9.0,,,4.0,6.0,5.0,8.0,1.0,,,,90.0,29.0,7.1,10.0,0.00978815,4,,9,,,6.0,1.0,,3.0,,1.0,,1.0,,,1.0,1.0,0.3198,,1.0,,,,1.0,,1.0,,,2.0,0.2327,1.0,,1.0,,,
