match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,player_jerseyNumber,player_sofascoreId,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_aerialWon,stat_outfielderBlock,stat_unsuccessfulTouch,stat_penaltyWon,stat_keyPass,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_errorLeadToAShot,stat_shotOffTarget,stat_goals,stat_bigChanceCreated,captain,stat_blockedScoringAttempt,stat_penaltyMiss,stat_hitWoodwork,stat_totalOffside,stat_goodHighClaim,stat_penaltySave,stat_penaltyFaced,stat_penaltyConceded
10408532,home,Villarreal,Pepe Reina,pepe-reina,P. Reina,G,188,1240,M,26937,EUR,399600000,G,1,1,False,37.0,33.0,5.0,1.0,33.0,34.0,3.0,4.0,1.0,1.0,90.0,40.0,7.2,4.0,0.0,0.0,0.00018118,0,0.2156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408532,home,Villarreal,Aïssa Mandi,aissa-mandi,A. Mandi,D,186,10320,M,122810,EUR,688089600,D,23,23,False,71.0,64.0,9.0,7.0,38.0,42.0,29.0,2.0,,,90.0,88.0,7.0,7.0,0.0855,0.6793,0.01226,1,,,,23,aissamandi23,26.0,2.0,8.0,5.0,3.0,1.0,1.0,5.0,1.0,3.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
10408532,home,Villarreal,Jorge Cuenca,jorge-cuenca,J. Cuenca,D,190,660,M,868715,EUR,942796800,D,5,5,False,64.0,59.0,3.0,1.0,46.0,47.0,17.0,3.0,,,61.0,73.0,7.0,5.0,0.0,0.0,0.00337953,0,,,,15,,13.0,,3.0,6.0,1.0,,,2.0,3.0,2.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,
10408532,home,Villarreal,Pau Torres,pau-torres,P. Torres,D,192,4099,M,864169,EUR,853372800,D,4,4,False,110.0,103.0,12.0,9.0,55.0,56.0,54.0,7.0,,,90.0,120.0,8.2,8.0,0.0,0.0,0.224831,0,,,,14,pauttorres,48.0,,,3.0,,,,,,1.0,,2.0,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
10408532,home,Villarreal,Johan Mojica,johan-mojica,J. Mojica,D,185,3950,M,344847,EUR,714355200,D,12,12,False,42.0,40.0,2.0,1.0,18.0,20.0,25.0,9.0,,,86.0,65.0,6.7,6.0,0.0,0.0,0.110698,0,,,,22,,24.0,1.0,5.0,7.0,,,,1.0,,3.0,3.0,2.0,1.0,,,,,2.0,3.0,2.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,
10408532,home,Villarreal,Étienne Capoue,etienne-capoue,É. Capoue,M,187,342,M,16701,EUR,584582400,M,6,6,False,38.0,35.0,,,8.0,9.0,30.0,4.0,,,81.0,45.0,6.5,7.0,0.0,0.0,0.046694,0,,,,,,27.0,1.0,4.0,2.0,1.0,,,1.0,,,,1.0,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,
10408532,home,Villarreal,Dani Parejo,dani-parejo,D. Parejo,M,180,1999,M,39182,EUR,608688000,M,10,10,False,89.0,77.0,6.0,3.0,26.0,27.0,67.0,8.0,,,90.0,109.0,8.2,15.0,0.8612,0.9965,0.194678,2,,,,10,,53.0,1.0,3.0,9.0,1.0,,1.0,1.0,,5.0,3.0,1.0,1.0,2.0,1.0,,,1.0,5.0,2.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,
10408532,home,Villarreal,Alejandro Baena,alejandro-baena,A. Baena,M,174,9564,M,910031,EUR,995587200,M,16,16,False,44.0,37.0,,,9.0,9.0,38.0,7.0,,,90.0,68.0,7.9,16.0,0.1998,0.9308,0.241584,6,,,,10,alexbaena,28.0,,9.0,6.0,1.0,,3.0,,,1.0,1.0,3.0,6.0,,,3.0,,2.0,3.0,,,4.0,2.0,,3.0,,1.0,,,,,,,,,
10408532,home,Villarreal,Samuel Chukwueze,samuel-chukwueze,S. Chukwueze,F,172,21963,M,822470,EUR,927331200,F,11,11,False,35.0,29.0,4.0,2.0,7.0,7.0,31.0,6.0,,,86.0,50.0,7.0,14.0,0.1083,0.0,0.370525,2,,,,19,chukwuezesamuel8,23.0,1.0,3.0,,,,,,1.0,,,,1.0,,,4.0,,1.0,3.0,1.0,1.0,,,,2.0,,1.0,,,,,,,,,
10408532,home,Villarreal,Gerard Moreno,gerard-moreno,G. Moreno,F,180,4001,M,146866,EUR,702604800,F,7,7,False,24.0,19.0,1.0,1.0,4.0,6.0,18.0,3.0,,,90.0,32.0,6.2,7.0,1.094,1.3152,0.0779864,6,,,,7,GerardMoreno9,15.0,,3.0,,,2.0,4.0,,,,,,2.0,,,,,1.0,,,1.0,,,,1.0,,,True,1.0,1.0,,,,,,
