match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_goalAssist,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_outfielderBlock,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,captain,stat_aerialLost,stat_aerialWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_totalOffside,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,stat_blockedScoringAttempt,player_firstName,player_lastName,stat_goodHighClaim,stat_bigChanceCreated,stat_bigChanceMissed,player_sofascoreId
11067361,home,Bahia,Marcos Felipe,marcos-felipe,M. Felipe,G,1,189,1142,M,358524,EUR,829353600,G,22,22,False,24.0,17.0,12.0,5.0,16.0,18.0,1.0,6.0,2.0,9.0,4.0,5.0,1.0,1.0,1.0,90.0,38.0,7.4,7.0,0.0,0.0,0.00026391,0,1.2876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067361,home,Bahia,Gilberto,gilberto,Gilberto,D,2,181,1500,M,261687,EUR,731462400,D,2,2,False,97.0,85.0,8.0,4.0,40.0,41.0,45.0,58.0,,7.0,,,,,,90.0,120.0,6.9,18.0,0.0665,0.0,0.0883988,2,,1.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
11067361,home,Bahia,Kanu,kanu,Kanu,D,4,186,926,M,871705,EUR,857692800,D,4,4,False,78.0,72.0,11.0,8.0,57.0,59.0,15.0,19.0,1.0,5.0,,,,,,90.0,89.0,7.1,6.0,0.0,0.0,0.00637579,0,,,,8.0,5.0,,,,,,2.0,,1.0,4.0,,True,4.0,1.0,1.0,3.0,3.0,1.0,,,,,,,,,,
11067361,home,Bahia,Vitor Hugo,vitor-hugo,V. Hugo,D,14,187,899,M,794838,EUR,674697600,D,31,31,False,64.0,62.0,4.0,2.0,39.0,39.0,23.0,25.0,1.0,5.0,,,,,,90.0,71.0,6.6,2.0,0.0185,0.0,0.0386373,2,,,,3.0,4.0,1.0,,,,2.0,,,,,,,2.0,3.0,1.0,1.0,,,,,,,,,,,,
11067361,home,Bahia,Camilo Cándido,camilo-candido,C. Cándido,D,13,174,364,M,924073,EUR,802051200,D,38,38,False,52.0,37.0,6.0,4.0,16.0,18.0,22.0,35.0,2.0,5.0,,,,,,90.0,81.0,7.4,20.0,0.1226,0.6321,0.0707998,3,,,1.0,3.0,1.0,,,2.0,,,,3.0,1.0,,2.0,,1.0,,1.0,,,,1.0,3.0,1.0,,,,,,,
11067361,home,Bahia,Nicolás Acevedo,nicolas-acevedo,N. Acevedo,M,26,173,1112,M,959620,EUR,924048000,M,26,26,False,62.0,55.0,4.0,3.0,30.0,35.0,25.0,27.0,1.0,6.0,,,,,,90.0,76.0,7.0,9.0,0.0,0.0,0.0212914,0,,,,2.0,5.0,1.0,,,,,,2.0,2.0,1.0,1.0,,,1.0,3.0,2.0,1.0,,,,,,,,,,,
11067361,home,Bahia,Yago Felipe,yago-felipe,Y. Felipe,M,41,174,406,M,552164,EUR,791769600,M,20,20,False,37.0,32.0,1.0,1.0,16.0,16.0,17.0,23.0,,4.0,,,,,,83.0,46.0,6.7,6.0,0.0334,0.4086,0.0322457,2,,,2.0,9.0,4.0,4.0,,,,1.0,,,1.0,4.0,1.0,,1.0,,1.0,3.0,3.0,,1.0,1.0,,,,,,,,
11067361,home,Bahia,Ademir,ademir,Ademir,F,7,172,1700,M,922546,EUR,792892800,M,7,7,False,27.0,22.0,,,5.0,6.0,19.0,29.0,,2.0,,,,,,66.0,52.0,7.0,16.0,0.1379,0.0,0.143342,1,,,8.0,6.0,7.0,2.0,1.0,3.0,3.0,1.0,,3.0,2.0,1.0,2.0,,2.0,,,2.0,1.0,,2.0,,,,,,,,,
11067361,home,Bahia,Thaciano,thaciano,Thaciano,M,16,182,1796,M,872039,EUR,800236800,M,16,16,False,27.0,23.0,1.0,1.0,8.0,9.0,15.0,20.0,1.0,1.0,,,,,,90.0,43.0,6.4,11.0,0.0633,0.0,0.0155902,3,,,2.0,7.0,4.0,,2.0,1.0,,3.0,,,1.0,,,,4.0,2.0,,1.0,,,,,,,,,,,,
11067361,home,Bahia,Rafael Ratão,rafael-ratao,R. Ratão,F,18,182,3402,M,352838,EUR,817689600,M,11,11,False,33.0,31.0,2.0,2.0,4.0,4.0,27.0,29.0,,3.0,,,,,,73.0,43.0,7.0,5.0,0.085,0.0,0.0391231,1,,,,1.0,4.0,1.0,,2.0,2.0,,,3.0,1.0,,1.0,,,,,1.0,,,,,,1.0,,,,,,
