match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_fouls,player_firstName,player_lastName,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_totalCross,stat_wonTackle,stat_unsuccessfulTouch,stat_totalOffside,stat_blockedScoringAttempt,stat_expectedGoals,player_sofascoreId,captain,stat_aerialWon,stat_dispossessed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotOffTarget,stat_accurateCross,stat_bigChanceCreated,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_outfielderBlock,stat_goalAssist,stat_bigChanceMissed,stat_goals
11368682,home,Las Palmas,Aarón Escandell,aaron-escandell,A. Escandell,G,13,188,1011,M,368922,EUR,812160000,G,1,1,False,44.0,38.0,12.0,6.0,36.0,39.0,2.0,5.0,1.0,11.0,1.0,1.0,90.0,55.0,6.0,6.0,0.00179889,0,-0.4617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368682,home,Las Palmas,Alex Suárez,alex-suarez,A. Suárez,D,4,179,259,M,914848,EUR,725846400,D,4,4,False,75.0,68.0,4.0,,54.0,57.0,14.0,18.0,2.0,2.0,,,89.0,81.0,6.4,7.0,0.00607557,0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368682,home,Las Palmas,Saúl Coco,saul-coco,S. Coco,D,23,188,1248,M,1089453,EUR,918518400,D,23,23,False,5.0,5.0,,,3.0,3.0,2.0,2.0,,,,,6.0,5.0,3.0,,0.00059672,0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368682,home,Las Palmas,Mika Mármol,mika-marmol,M. Mármol,D,3,181,783,M,979146,EUR,993945600,D,15,15,False,98.0,93.0,4.0,3.0,75.0,77.0,18.0,21.0,,2.0,,,90.0,104.0,6.6,5.0,0.0122527,0,,,1.0,2.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11368682,home,Las Palmas,Sergi Cardona,sergi-cardona,S. Cardona,D,23,186,1119,M,986245,EUR,932256000,D,3,3,False,75.0,67.0,3.0,2.0,35.0,36.0,32.0,41.0,1.0,1.0,,,90.0,100.0,6.7,11.0,0.0384768,0,,3.0,5.0,5.0,,,1.0,,,1.0,,2.0,3.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11368682,home,Las Palmas,Marvin Park,park-marvin,M. Park,D,2,177,650,M,960401,EUR,952387200,M,2,2,False,44.0,34.0,2.0,,17.0,22.0,17.0,28.0,,3.0,,,90.0,71.0,6.5,21.0,0.0220829,0,,,1.0,4.0,1.0,1.0,1.0,,,,1.0,2.0,1.0,6.0,,4.0,,,,,,,,,,,,,,,,,,,
11368682,home,Las Palmas,Javier Muñoz,javier-munoz,J. Muñoz,M,14,179,313,M,353154,EUR,793929600,M,5,5,False,21.0,17.0,2.0,2.0,6.0,6.0,11.0,15.0,,1.0,,,78.0,26.0,6.7,4.0,0.00673065,1,,,2.0,1.0,,,2.0,,,,,,1.0,,,,,1.0,0.0047,,,,,,,,,,,,,,,,
11368682,home,Las Palmas,Máximo Perrone,maximo-perrone,M. Perrone,M,23,178,8372,M,1086286,EUR,1041897600,M,8,8,False,66.0,62.0,2.0,,34.0,34.0,28.0,32.0,,2.0,,,87.0,71.0,6.6,6.0,0.0214248,0,,,2.0,2.0,1.0,,1.0,Maximo Perrone,,,,,2.0,,,1.0,,,,maxiperrone16,,,,,,,,,,,,,,,
11368682,home,Las Palmas,Kirian Rodríguez,kirian-rodriguez,K. Rodríguez,M,20,180,441,M,964985,EUR,825984000,M,20,20,False,94.0,88.0,3.0,1.0,52.0,53.0,36.0,42.0,,3.0,,,90.0,107.0,6.5,13.0,0.0294573,1,,2.0,6.0,1.0,2.0,,,,,,1.0,,,1.0,,,,,0.0088,,True,1.0,2.0,1.0,0.0819,1.0,,,,,,,,,
11368682,home,Las Palmas,Alberto Moleiro,alberto-moleiro,A. Moleiro,M,20,172,3634,M,1012444,EUR,1064880000,M,10,10,False,29.0,23.0,1.0,1.0,8.0,8.0,15.0,21.0,,2.0,,,90.0,53.0,6.0,20.0,0.0160048,0,,,11.0,7.0,14.0,5.0,1.0,,,,,1.0,1.0,,,4.0,,,,,,,1.0,,,1.0,,,,,,,,,
