match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_dispossessed,stat_shotOffTarget,stat_outfielderBlock,stat_lastManTackle,stat_keyPass,player_firstName,player_lastName,captain,stat_totalContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_errorLeadToAGoal,player_sofascoreId,stat_wonContest,stat_bigChanceMissed,stat_goals,stat_bigChanceCreated,stat_totalOffside,stat_goalAssist
10385726,home,Leeds United,Joel Robles,joel-robles,J. Robles,G,1,195,157,M,93796,EUR,645580800,G,22,22,False,15.0,6.0,13.0,4.0,5.0,7.0,1.0,8.0,7.0,3.0,3.0,90.0,24.0,6.0,9.0,0.00503721,0,-0.9602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385726,home,Leeds United,Luke Ayling,luke-ayling,L. Ayling,D,12,183,334,M,102624,EUR,683078400,D,2,2,False,56.0,44.0,4.0,2.0,16.0,16.0,29.0,43.0,10.0,,,90.0,74.0,6.4,16.0,0.0561531,3,,3.0,1.0,4.0,3.0,5.0,6.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.2673,,,,,,,,,,,,,,,,,,,
10385726,home,Leeds United,Rasmus Kristensen,rasmus-kristensen,R. Kristensen,D,13,186,1609,M,921789,EUR,868579200,D,25,25,False,49.0,44.0,4.0,3.0,16.0,17.0,28.0,35.0,8.0,,,90.0,64.0,6.7,9.0,0.0156615,1,,3.0,,1.0,2.0,3.0,6.0,1.0,,,1.0,3.0,3.0,,1.0,,0.1243,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10385726,home,Leeds United,Liam Cooper,liam-cooper,L. Cooper,D,16,186,304,M,39327,EUR,681177600,D,6,6,False,58.0,47.0,8.0,2.0,28.0,30.0,19.0,28.0,9.0,,,90.0,69.0,6.2,12.0,0.00841315,0,,,,3.0,2.0,5.0,6.0,2.0,,2.0,2.0,4.0,1.0,,,,,,,,,,,,True,,,,,,,,,,,
10385726,home,Leeds United,Maximilian Wöber,maximilian-wober,M. Wöber,D,39,188,655,M,794962,EUR,886550400,D,39,39,False,35.0,27.0,4.0,3.0,13.0,14.0,15.0,23.0,1.0,,,59.0,53.0,6.4,12.0,0.041918,2,,2.0,1.0,,1.0,4.0,1.0,1.0,1.0,,3.0,,,1.0,,1.0,0.1957,1.0,,,,1.0,,,,1.0,1.0,0.3288,,,,,,,,
10385726,home,Leeds United,Pascal Struijk,pascal-struijk,P. Struijk,D,5,190,1365,M,836675,EUR,934329600,D,21,21,False,24.0,15.0,2.0,1.0,5.0,8.0,10.0,17.0,4.0,,,59.0,39.0,5.7,12.0,0.0183477,2,,1.0,,1.0,5.0,4.0,7.0,,2.0,2.0,,2.0,1.0,1.0,,2.0,0.0981,1.0,,,,,,,,,,,1.0,,,,,,,
10385726,home,Leeds United,Weston McKennie,weston-mckennie,W. McKennie,M,22,185,7292,M,881931,EUR,904262400,M,28,28,False,19.0,14.0,,,2.0,3.0,12.0,16.0,3.0,,,60.0,39.0,6.7,12.0,0.0190612,2,,,,3.0,3.0,6.0,6.0,,1.0,,,3.0,,2.0,,1.0,0.1109,2.0,1.0,,,,,,,,,,,west.mckennie,,,,,,
10385726,home,Leeds United,Adam Forshaw,adam-forshaw,A. Forshaw,M,28,175,114,M,103117,EUR,686880000,M,4,4,False,63.0,55.0,9.0,5.0,15.0,17.0,44.0,59.0,13.0,,,90.0,94.0,7.0,23.0,0.245002,1,,13.0,4.0,,2.0,8.0,7.0,2.0,1.0,,1.0,2.0,2.0,,1.0,,0.027,6.0,,,,4.0,,,,2.0,,,,,2.0,,,,,
10385726,home,Leeds United,Robin Koch,robin-koch,R. Koch,D,4,190,1826,M,581302,EUR,837561600,M,5,5,False,40.0,29.0,5.0,2.0,7.0,8.0,22.0,32.0,11.0,,,90.0,55.0,6.5,15.0,0.0674845,2,,,,5.0,6.0,8.0,11.0,2.0,,1.0,,4.0,2.0,3.0,1.0,,0.3136,,2.0,,,2.0,,,,1.0,,,,,,1.0,,,,
10385726,home,Leeds United,Jack Harrison,jack-harrison,J. Harrison,M,17,175,1145,M,829570,EUR,848448000,M,11,11,False,27.0,23.0,2.0,1.0,4.0,4.0,24.0,39.0,6.0,,,88.0,61.0,6.8,24.0,0.300105,2,,16.0,5.0,2.0,,12.0,1.0,1.0,1.0,,,1.0,,2.0,,2.0,0.0738,4.0,,,,2.0,,,,3.0,1.0,0.443,,,,,1.0,,,
