match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,captain,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_unsuccessfulTouch,stat_penaltyWon,stat_blockedScoringAttempt,stat_totalCross,stat_accurateCross,stat_goals,stat_totalOffside,stat_bigChanceCreated,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_shotOffTarget,stat_penaltyConceded,stat_hitWoodwork
12499323,home,Napoli,Elia Caprile,,,elia-caprile,E. Caprile,G,1,191,1685,M,947954,EUR,998697600,G,25,25,False,31.0,27.0,7.0,3.0,0.0,25.0,27.0,2.0,4.0,5.0,1.0,1.0,90.0,37.0,6.4,4.0,0.00052816,0,-0.5817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499323,home,Napoli,Giovanni Di Lorenzo,,,giovanni-di-lorenzo,G. Di Lorenzo,D,22,182,6986,M,153257,EUR,744422400,D,22,22,False,52.0,41.0,2.0,2.0,0.0,24.0,30.0,17.0,22.0,1.0,,,90.0,69.0,6.7,14.0,0.117563,0,,dilorenzo22,True,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12499323,home,Napoli,Amir Rrahmani,,,amir-rrahmani,A. Rrahmani,D,13,190,3520,M,332155,EUR,762048000,D,13,13,False,82.0,79.0,8.0,6.0,0.0,59.0,60.0,20.0,22.0,3.0,,,90.0,88.0,6.8,3.0,0.00725432,0,,,,4.0,1.0,,,,2.0,1.0,1.0,1.0,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,
12499323,home,Napoli,Alessandro Buongiorno,,,alessandro-buongiorno,A. Buongiorno,D,4,191,3972,M,870263,EUR,928627200,D,4,4,False,65.0,62.0,5.0,4.0,0.0,40.0,41.0,22.0,24.0,3.0,,,90.0,70.0,7.0,4.0,0.0165897,1,,,,3.0,3.0,1.0,,,1.0,,,,1.0,,,2.0,3.0,1.0,1.0,0.0435,0.1548,,,,,,,,,,,,,,,,
12499323,home,Napoli,Mathías Olivera,,,mathias-olivera,M. Olivera,D,17,184,3517,M,805078,EUR,878256000,D,17,17,False,28.0,22.0,3.0,1.0,0.0,9.0,13.0,13.0,15.0,2.0,,,88.0,56.0,6.8,14.0,0.00606942,0,,,,7.0,3.0,1.0,3.0,1.0,3.0,,1.0,1.0,1.0,,,1.0,,,,,,3.0,3.0,1.0,,,,,,,,,,,,,
12499323,home,Napoli,Frank Anguissa,,,frank-anguissa,F. Anguissa,M,99,184,12968,M,787941,EUR,816480000,M,99,99,False,42.0,35.0,2.0,,0.0,23.0,26.0,12.0,16.0,6.0,,,90.0,59.0,6.8,11.0,0.0109642,1,,anguiss_29,,6.0,5.0,1.0,3.0,2.0,,5.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,0.0085,,2.0,1.0,,1.0,,,,,,,,,,,,
12499323,home,Napoli,Stanislav Lobotka,,,stanislav-lobotka,S. Lobotka,M,68,170,4661,M,150383,EUR,785721600,M,68,68,False,39.0,35.0,5.0,4.0,0.0,23.0,23.0,12.0,16.0,8.0,,,89.0,49.0,7.4,5.0,0.00805977,0,,StanLobotka,,,7.0,,2.0,2.0,2.0,,3.0,3.0,2.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,
12499323,home,Napoli,Matteo Politano,,,matteo-politano,M. Politano,F,21,171,4493,M,235672,EUR,744336000,M,21,21,False,16.0,10.0,1.0,,0.0,7.0,8.0,4.0,13.0,3.0,,,80.0,29.0,6.7,13.0,0.00772401,0,,,,1.0,2.0,,1.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,,,2.0,,,5.0,1.0,,,,,,,,,,
12499323,home,Napoli,Scott McTominay,,,scott-mctominay,S. McTominay,M,8,193,25748,M,879346,EUR,850003200,M,8,8,False,20.0,15.0,2.0,1.0,0.0,9.0,9.0,6.0,11.0,4.0,,,90.0,35.0,7.5,9.0,0.00417032,2,,ScottMcTominay,,5.0,5.0,,1.0,1.0,,,2.0,2.0,2.0,,,3.0,,1.0,,0.154,0.7634,2.0,2.0,,1.0,,,1.0,1.0,,,,,,,,
12499323,home,Napoli,Khvicha Kvaratskhelia,,,khvicha-kvaratskhelia,K. Kvaratskhelia,F,7,183,97764,M,889259,EUR,981936000,M,77,77,False,16.0,12.0,1.0,1.0,0.0,7.0,7.0,5.0,12.0,,,,79.0,30.0,6.7,11.0,0.0081307,2,,Kvaradona,,6.0,4.0,1.0,4.0,2.0,,,,,1.0,2.0,,1.0,1.0,1.0,,0.3119,0.1054,,2.0,,1.0,3.0,,,,,,,,,,,
