match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalClearance,stat_interceptionWon,stat_ownGoals,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,player_firstName,player_lastName,captain,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_errorLeadToAGoal,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_totalCross,stat_accurateCross,stat_errorLeadToAShot,stat_keyPass,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,stat_aerialLost,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalOffside
14572676,home,Aston Villa,Emiliano Martínez,emiliano-martinez,E. Martínez,G,23,195.0,60790,M,EmiMartínez,158263,EUR,715392000,G,23,23,False,52.0,47.0,12.0,7.0,0.0,44.0,44.0,3.0,8.0,16.0,3.0,3.0,6.0,2.0,2.0,90.0,72.0,7.7,5.0,0.00311429,122.99838314793,19.0,72.804450507329,0.9693,0,0.0807,0.12,0.01,-0.06,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572676,home,Aston Villa,Lamare Bogarde,lamare-bogarde,L. Bogarde,D,26,183.0,1108,M,,1089388,EUR,1073260800,D,26,26,False,63.0,54.0,3.0,3.0,0.0,29.0,31.0,25.0,32.0,8.0,,,,,,90.0,72.0,6.5,12.0,0.0201663,213.07265767732,29.0,66.1804975247,,0,,-0.14,0.26,-0.4,,2.0,3.0,6.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572676,home,Aston Villa,Victor Lindelöf,victor-lindelof,V. Lindelöf,D,3,187.0,8787,M,victorlindelof,143334,EUR,774403200,D,3,3,False,80.0,73.0,4.0,3.0,0.0,54.0,60.0,19.0,20.0,5.0,,,,,,90.0,92.0,6.4,8.0,0.0152976,287.770633072,40.0,-4.6736803367135,,0,,-0.1,0.1,-0.85,,,1.0,2.0,,,1.0,,1.0,1.0,1.0,4.0,2.0,1.0,25.949675871161,28.334000088233,1.0,,,,,,,,,,,,,,,,,,,,,,
14572676,home,Aston Villa,Tyrone Mings,tyrone-mings,T. Mings,D,5,195.0,1989,M,,303638,EUR,731980800,D,5,5,False,94.0,89.0,4.0,3.0,0.0,61.0,61.0,28.0,33.0,4.0,,,,,,90.0,110.0,7.8,6.0,0.0147826,382.06696715714,46.0,153.99837749976,,2,,0.26,0.14,-0.41,,4.0,1.0,6.0,1.0,1.0,1.0,,1.0,,,5.0,2.0,,26.37700139792,49.302047665235,2.0,,,True,1.0,2.0,1.0,1.0,1.0,0.2647,0.4077,0.49,,,,,,,,,,,
14572676,home,Aston Villa,Lucas Digne,lucas-digne,L. Digne,D,12,178.0,4435,M,LDigne,96538,EUR,743126400,D,12,12,False,73.0,60.0,5.0,1.0,0.0,36.0,40.0,24.0,33.0,5.0,,,,,,90.0,93.0,6.7,19.0,0.385379,209.77224980711,36.0,87.528047201971,,0,,0.46,0.12,-0.5,,1.0,,4.0,,,2.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,9.0,3.0,1.0,3.0,,,,,,,
14572676,home,Aston Villa,Amadou Onana,amadou-onana,A. Onana,M,24,195.0,7169,M,its_onana,923973,EUR,997920000,M,24,24,False,43.0,37.0,5.0,4.0,0.0,16.0,19.0,21.0,24.0,4.0,,,,,,66.0,56.0,7.0,8.0,0.225872,140.22408722776,18.0,64.610023075617,,0,,0.26,0.13,-0.15,,,3.0,5.0,2.0,,4.0,2.0,1.0,1.0,,,3.0,,,,,,,,,,,2.0,,,,,,,1.0,,1.0,,,,,,
14572676,home,Aston Villa,George Hemmings,george-hemmings,G. Hemmings,M,53,,277,M,,1398204,EUR,1172966400,M,53,53,False,18.0,16.0,,,0.0,12.0,13.0,4.0,5.0,2.0,,,,,,45.0,28.0,6.5,7.0,0.00641362,73.828103770674,11.0,44.776546195843,,0,,-0.06,0.12,0.17,,,4.0,4.0,,1.0,2.0,2.0,3.0,1.0,2.0,,,,8.0309256915494,9.9744674043279,1.0,,,,1.0,,,,,,,,,,1.0,,2.0,,,,,,
14572676,home,Aston Villa,Jadon Sancho,sancho-jadon,J. Sancho,M,19,180.0,67786,M,JSancho,851100,EUR,953942400,M,19,19,False,50.0,45.0,,,0.0,9.0,9.0,36.0,41.0,3.0,,,,,,78.0,61.0,6.6,12.0,0.0890226,234.18371355804,32.0,154.85056330214,,0,,0.25,0.44,-0.2,,,5.0,3.0,2.0,4.0,,,4.0,,1.0,,,,16.092283315849,67.455630244015,5.0,,,,3.0,,,,,,,,1.0,,,1.0,1.0,,,,,,
14572676,home,Aston Villa,Harvey Elliott,harvey-elliott,H. Elliott,M,9,170.0,20968,M,harvelliott,955245,EUR,1049414400,M,9,9,False,52.0,45.0,2.0,1.0,0.0,15.0,16.0,30.0,36.0,6.0,,,,,,90.0,67.0,6.5,12.0,0.0340601,196.28464764874,31.0,82.429253340236,,3,,0.07,0.17,-0.09,,,6.0,3.0,,2.0,2.0,2.0,,1.0,2.0,,,,16.411236868828,21.818549928902,1.0,,,,,1.0,,,,0.4432,0.4471,0.11,1.0,,,,2.0,1.0,2.0,,,,
14572676,home,Aston Villa,Emiliano Buendía,emiliano-buendia,E. Buendía,M,10,170.0,7662,M,EM10Buendia,783126,EUR,851472000,M,10,10,False,28.0,24.0,1.0,1.0,1.0,8.0,9.0,16.0,19.0,3.0,,,,,,66.0,42.0,6.4,11.0,0.11506,94.448707182199,16.0,48.961385101315,,2,,0.13,0.28,-0.26,,1.0,6.0,4.0,1.0,,2.0,2.0,2.0,1.0,,,,,17.889248383413,28.519418228419,2.0,,,,,1.0,,,,0.3247,0.2349,-0.54,,,1.0,2.0,4.0,1.0,1.0,1.0,,,
