match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_sofascoreId,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_penaltyConceded,stat_totalContest,stat_totalCross,stat_wonContest,stat_blockedScoringAttempt,stat_wonTackle,captain,stat_dispossessed,stat_shotOffTarget,stat_accurateCross,stat_bigChanceMissed,stat_penaltyWon
14035873,home,KRC Genk,Tobias Okiki Lawal,,,tobias-okiki-lawal,T. O. Lawal,G,26,195,270,M,990025,EUR,960336000,G,26,26,False,40.0,27.0,24.0,11.0,0.0,19.0,21.0,8.0,19.0,1.0,6.0,1.0,1.0,1.0,90.0,45.0,6.4,13.0,0.00320269,0.0734,0,-0.7067,0.12,0.01,-0.16,-0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035873,home,KRC Genk,Zakaria El Ouahdi,,,zakaria-el-ouahdi,Z. E. Ouahdi,D,77,172,3909,M,1134470,EUR,1009756800,D,77,77,False,23.0,18.0,,,1.0,6.0,7.0,12.0,16.0,5.0,3.0,,,,90.0,40.0,8.5,6.0,0.476978,,2,,0.57,0.11,-0.24,,z.elouahdi,2.0,2.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,0.3919,0.7892,1.0,0.52,,,,,,,,,,,,
14035873,home,KRC Genk,Mujaid Sadick,,,mujaid-sadick,M. Sadick,D,3,185,237,M,935309,EUR,952992000,D,3,3,False,13.0,13.0,,,0.0,9.0,9.0,4.0,4.0,,2.0,,,,33.0,17.0,5.5,1.0,0.0014245,,1,,0.02,0.01,-0.57,,,,,3.0,1.0,,1.0,1.0,1.0,,,,1.0,2.0,0.6679,0.9825,,0.32,1.0,,,,,,,,,,,
14035873,home,KRC Genk,Matte Smets,,,smets-matte,M. Smets,D,6,184,963,M,1392905,EUR,1073174400,D,6,6,False,58.0,53.0,8.0,4.0,1.0,30.0,30.0,23.0,28.0,2.0,5.0,2.0,,,90.0,71.0,7.1,6.0,0.487373,,0,,0.73,0.11,-0.33,,,2.0,,4.0,1.0,1.0,,,7.0,,1.0,,,,,,2.0,,,1.0,,,,,,,,,,
14035873,home,KRC Genk,Joris Kayembe,,,joris-kayembe-ditu,J. Kayembe,D,18,180,4977,M,354046,EUR,776304000,D,18,18,False,53.0,46.0,2.0,1.0,0.0,24.0,26.0,22.0,27.0,7.0,6.0,3.0,,,90.0,71.0,6.7,10.0,0.013442,,1,,-0.03,0.08,-0.23,,joriskayembe23,,1.0,3.0,,,,,3.0,,,2.0,,2.0,0.0088,,,0.0,,2.0,2.0,1.0,1.0,1.0,,,,,,
14035873,home,KRC Genk,Ibrahima Sory Bangoura,,,ibrahima-sory-bangoura,I. S. Bangoura,M,21,190,620,M,1396027,EUR,1073260800,M,21,21,False,12.0,12.0,2.0,2.0,0.0,5.0,5.0,7.0,7.0,,,,,,38.0,14.0,6.4,,0.00513208,,0,,0.03,0.01,-0.13,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
14035873,home,KRC Genk,Bryan Heynen,,,heynen-bryan,B. Heynen,M,8,181,436,M,801025,EUR,855187200,M,8,8,False,69.0,61.0,6.0,3.0,0.0,18.0,18.0,43.0,51.0,6.0,7.0,3.0,,,90.0,86.0,7.3,11.0,0.080445,,1,,0.54,0.19,-0.04,,,3.0,2.0,6.0,1.0,,,,2.0,,2.0,1.0,2.0,1.0,0.0204,,,0.0,,,,,,1.0,True,1.0,1.0,,,
14035873,home,KRC Genk,Jarne Steuckers,,,steuckers-jarne,J. Steuckers,M,7,179,987,M,1099462,EUR,1012780800,M,7,7,False,24.0,19.0,1.0,,1.0,6.0,6.0,13.0,18.0,1.0,2.0,1.0,,,77.0,43.0,7.8,13.0,0.700872,,0,,0.78,0.34,-0.1,,,,,2.0,,1.0,,,1.0,,,,2.0,,,,4.0,,,1.0,8.0,,,,,1.0,,4.0,,
14035873,home,KRC Genk,Konstantinos Karetsas,,,konstantinos-karetsas,K. Karetsas,M,20,171,6599,M,1468744,EUR,1195430400,M,20,20,False,18.0,13.0,1.0,,0.0,5.0,7.0,8.0,11.0,8.0,1.0,5.0,,,77.0,41.0,6.6,16.0,0.00594517,,1,,-0.23,0.29,-0.11,,,2.0,,5.0,,,,,,,,2.0,4.0,,0.0532,,,0.0,,2.0,3.0,1.0,,1.0,,2.0,1.0,,,
14035873,home,KRC Genk,Junya Ito,,,junya-ito,J. Ito,M,10,176,4884,M,783278,EUR,731635200,M,10,10,False,27.0,21.0,2.0,2.0,0.0,8.0,8.0,13.0,19.0,7.0,3.0,2.0,,,77.0,40.0,7.1,10.0,0.0169857,,1,,-0.08,0.32,-0.09,,ItouJky,1.0,1.0,2.0,1.0,,,,,,1.0,2.0,1.0,,0.0384,,,-0.13,,2.0,3.0,2.0,,1.0,,,1.0,,,
