match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialWon,stat_blockedScoringAttempt,stat_expectedGoals,stat_shotValueNormalized,stat_challengeLost,stat_dispossessed,stat_interceptionWon,player_lastName,stat_totalContest,stat_wonContest,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_shotOffTarget,stat_hitWoodwork,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_penaltyMiss,captain,stat_totalOffside,stat_goodHighClaim,stat_penaltyFaced,stat_punches,stat_outfielderBlock,stat_penaltyConceded,player_sofascoreId
14771940,home,Al-Hazem,Bruno Varela,bruno-varela,B. Varela,G,14,191.0,625,M,138895,EUR,783907200,G,14,14,False,8.0,6.0,3.0,1.0,0.0,6.0,8.0,5.0,3.0,4.0,90.0,17.0,8.4,2.0,2.971e-05,17.61005113402,2.0,16.8,13.23,1.3823,0,-0.7933,-0.02,0.01,-0.16,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14771940,home,Al-Hazem,Saud Al Rashed,saud-al-rashed,S. A. Rashed,D,2,180.0,12,M,1549236,EUR,895363200,D,2,2,False,24.0,21.0,4.0,1.0,0.0,12.0,14.0,6.0,,,60.0,37.0,6.3,5.0,0.031949,26.81546879189,5.0,-6.3,3.57,,0,,0.13,-0.04,-0.28,,Saud Al Rashed,9.0,10.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14771940,home,Al-Hazem,Sultan Tanker,sultan-tanker,S. Tanker,D,4,184.0,36,M,1520833,EUR,904608000,D,4,4,False,54.0,48.0,2.0,1.0,0.0,28.0,34.0,4.0,,,90.0,63.0,6.3,7.0,0.0135862,76.955538384376,15.0,34.335,8.925,,1,,0.09,0.06,-0.32,,Sultan Tanker,20.0,20.0,1.0,,,2.0,5.0,4.0,1.0,,,1.0,2.0,,3.0,1.0,0.1643,-0.52,,,,,,,,,,,,,,,,,,,,,,,,
14771940,home,Al-Hazem,Abdelmounaim Boutouil,boutouil-abdelmounaim,A. Boutouil,D,3,188.0,473,M,973414,EUR,884304000,D,3,3,False,49.0,43.0,7.0,6.0,0.0,20.0,21.0,6.0,,,90.0,63.0,6.7,8.0,0.031618,107.70078369974,17.0,64.575,10.92,,1,,0.28,0.1,-0.33,,,23.0,28.0,,,,5.0,6.0,4.0,,,1.0,2.0,2.0,1.0,5.0,1.0,0.0297,-0.09,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
14771940,home,Al-Hazem,Ahmed Al-Nakhli,ahmed-al-nakhli,A. Al-Nakhli,D,27,173.0,26,M,1048834,EUR,1024704000,D,27,27,False,36.0,30.0,,,0.0,9.0,11.0,3.0,,,90.0,62.0,7.0,10.0,0.189194,138.62620073834,21.0,92.085,21.315,,0,,0.33,0.08,-0.29,,Ahmed Al-Nakhli,21.0,25.0,7.0,4.0,1.0,4.0,9.0,2.0,4.0,2.0,,1.0,2.0,1.0,3.0,,,,,1.0,,,1.0,1.0,21.796475884876,1.0,,,,,,,,,,,,,,,,
14771940,home,Al-Hazem,Basil Yousef Al-Sayyali,basil-yousef-al-sayyali,B. Y. Al-Sayyali,M,20,171.0,50,M,1066584,EUR,993168000,M,6,6,False,61.0,54.0,2.0,2.0,0.0,15.0,15.0,6.0,,,90.0,88.0,6.9,18.0,0.251484,198.79295822117,28.0,96.18,17.43,,2,,0.5,0.29,-0.19,,Basil Yousef Al-Sayyali,39.0,46.0,7.0,2.0,1.0,8.0,3.0,,1.0,1.0,3.0,1.0,2.0,6.0,,1.0,0.0904,-0.2,2.0,2.0,,,2.0,1.0,46.741536403208,3.0,1.0,1.0,,,,,,,,,,,,,,
14771940,home,Al-Hazem,Rosier Loreintz,loreintz-rosier,R. Loreintz,M,32,190.0,105,M,954812,EUR,903052800,M,32,32,False,67.0,60.0,7.0,3.0,0.0,19.0,20.0,6.0,,,90.0,78.0,7.2,8.0,0.0407321,300.40284983376,25.0,210.84,28.665,,2,,0.35,0.27,-0.09,,,41.0,47.0,1.0,,,3.0,5.0,1.0,1.0,1.0,,1.0,2.0,,3.0,,0.1351,-0.13,1.0,,1.0,,,,74.983939173115,3.0,2.0,,,,,,,,,,,,,,,
14771940,home,Al-Hazem,Amir Saâyoud,amir-saayoud,A. Saâyoud,F,11,170.0,2347,M,309154,EUR,654652800,M,11,11,False,47.0,37.0,2.0,1.0,0.0,1.0,1.0,2.0,,,90.0,82.0,9.2,22.0,0.304115,228.65328699476,25.0,129.465,37.695,,8,,0.52,0.48,-0.18,,,36.0,46.0,5.0,1.0,1.0,8.0,9.0,,2.0,1.0,3.0,3.0,2.0,3.0,,2.0,1.2346,0.65,1.0,3.0,1.0,,5.0,4.0,105.64974908168,5.0,2.0,,1.0,1.0,4.0,2.0,1.1088,1.0,,,,,,,,
14771940,home,Al-Hazem,Fábio Martins,fabio-martins,F. Martins,M,10,178.0,359,M,193064,EUR,743472000,M,10,10,False,21.0,15.0,2.0,1.0,1.0,4.0,5.0,3.0,,,75.0,28.0,6.4,8.0,0.00715829,99.143226259996,10.0,57.435,21.63,,4,,-0.15,0.19,-0.18,,,11.0,16.0,1.0,,,2.0,,,,,1.0,,1.0,1.0,,3.0,0.1027,-0.06,1.0,,,,,,36.186471125931,2.0,,,,,1.0,,0.0329,,True,,,,,,,
14771940,home,Al-Hazem,Nawaf Al-Habashi,nawaf-al-habashi,N. Al-Habashi,M,19,184.0,28,M,954528,EUR,898560000,M,19,19,False,25.0,22.0,1.0,1.0,0.0,,2.0,2.0,,,90.0,50.0,6.8,16.0,0.0578895,200.9202995643,23.0,89.04,23.31,,1,,0.11,0.09,-0.11,,,22.0,23.0,4.0,1.0,,3.0,7.0,,2.0,1.0,6.0,2.0,1.0,1.0,,,0.0947,-0.22,,1.0,1.0,,5.0,3.0,35.408160368489,2.0,1.0,,,,,,,,,,,,,,,
14771940,home,Al-Hazem,Yousef Al-Shammari,yousef-al-shammari,Y. Al-Shammari,F,7,170.0,52,M,917232,EUR,881625600,F,7,7,False,14.0,9.0,,,0.0,4.0,4.0,,,,90.0,24.0,7.3,8.0,0.200645,11.561813287304,3.0,3.36,4.2,,5,,-0.35,0.05,0.13,,,5.0,10.0,,,,,3.0,1.0,,,2.0,,,1.0,3.0,1.0,0.7785,0.4,,,,,,,,,3.0,,,1.0,1.0,1.0,0.4579,,,,,,,,,
14771940,home,Al-Hazem,Elias Mokwana,mokwana-elias,E. Mokwana,M,17,175.0,974,M,1394459,EUR,932860800,F,17,17,True,22.0,21.0,,,1.0,3.0,3.0,3.0,,,30.0,33.0,7.0,5.0,0.0389148,89.707519927643,11.0,53.76,15.75,,1,,0.15,0.12,-0.01,,,18.0,19.0,3.0,1.0,1.0,2.0,3.0,,,,2.0,,1.0,3.0,,,0.0558,-0.05,,,,,3.0,3.0,15.999362487299,1.0,,,,,1.0,,0.1632,,,2.0,,,,,,
