match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_goals,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_penaltyConceded,stat_fouls,stat_interceptionWon,stat_unsuccessfulTouch,stat_totalOffside,captain,stat_blockedScoringAttempt,player_firstName,player_lastName,stat_errorLeadToAGoal,stat_goodHighClaim,stat_outfielderBlock,stat_ownGoals,stat_errorLeadToAShot,player_sofascoreId,stat_bigChanceMissed
12530780,home,Kasımpaşa,Andreas Gianniotis,andreas-gianniotis,A. Gianniotis,G,1,190.0,177,M,236746,EUR,724636800,G,1,1,False,16.0,13.0,3.0,1.0,0.0,13.0,14.0,2.0,2.0,9.0,2.0,1.0,4.0,1.0,2.0,2.0,90.0,27.0,6.9,3.0,0.0001587,0,-0.5436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530780,home,Kasımpaşa,Cláudio Winck,claudio-winck,C. Winck,D,2,183.0,184,M,155998,EUR,766368000,D,2,2,False,37.0,27.0,5.0,2.0,2.0,6.0,10.0,37.0,1.0,,,,,,,,78.0,68.0,9.0,23.0,0.62898,4,,22.0,10.0,1.0,3.0,2.0,6.0,7.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,0.4236,0.7116,2.0,,,,,,,,,,,,,,,,
12530780,home,Kasımpaşa,Nicholas Opoku,nicholas-opoku,N. Opoku,D,20,190.0,508,M,885683,EUR,871257600,D,20,20,False,62.0,58.0,7.0,6.0,0.0,27.0,28.0,35.0,4.0,9.0,,,,,,,90.0,71.0,6.2,4.0,0.0357242,1,,32.0,1.0,1.0,1.0,4.0,4.0,5.0,1.0,,,,,1.0,,,,1.0,1.0,,0.016,,1.0,1.0,3.0,,,,,,,,,,,,,,
12530780,home,Kasımpaşa,Sadık Çiftpınar,sadik-ciftpinar,S. Çiftpınar,D,5,181.0,71,M,111811,EUR,725846400,D,5,5,False,53.0,51.0,1.0,1.0,0.0,27.0,28.0,25.0,3.0,3.0,,,,,,,90.0,58.0,6.6,2.0,0.0217038,0,,24.0,,,1.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
12530780,home,Kasımpaşa,Yasin Özcan,yasin-ozcan,Y. Özcan,D,58,185.0,1802,M,1392102,EUR,1145491200,D,58,58,False,26.0,23.0,3.0,1.0,0.0,6.0,6.0,23.0,1.0,2.0,,,,,,,61.0,40.0,6.4,6.0,0.0199917,2,,18.0,3.0,1.0,2.0,2.0,3.0,4.0,,,1.0,1.0,,1.0,1.0,,,,,1.0,0.1453,0.4317,,,1.0,,1.0,1.0,,,,,,,,,,,
12530780,home,Kasımpaşa,Aytaç Kara,aytac-kara,A. Kara,M,35,188.0,161,M,128196,EUR,732844800,M,35,35,False,82.0,75.0,3.0,2.0,0.0,17.0,17.0,72.0,1.0,7.0,,,,,,,90.0,105.0,8.6,12.0,0.627242,6,,62.0,7.0,4.0,3.0,1.0,7.0,3.0,2.0,1.0,,,,4.0,1.0,,1.0,2.0,2.0,,0.5371,0.3457,5.0,,1.0,2.0,,,True,1.0,,,,,,,,,
12530780,home,Kasımpaşa,Mortadha Ben Ouanes,mortadha-ben-ouanes,M. B. Ouanes,M,12,182.0,1246,M,919225,EUR,773107200,M,12,12,False,37.0,30.0,1.0,1.0,1.0,7.0,7.0,35.0,1.0,2.0,,,,,,,90.0,56.0,7.8,14.0,0.32409,3,,25.0,5.0,2.0,,3.0,3.0,7.0,,1.0,1.0,1.0,1.0,2.0,,,,2.0,2.0,1.0,0.4681,,4.0,,4.0,,3.0,,,1.0,,,,,,,,,
12530780,home,Kasımpaşa,Haris Hajradinović,haris-hajradinovic,H. Hajradinović,M,10,179.0,1215,M,254979,EUR,761529600,M,10,10,False,76.0,67.0,8.0,6.0,0.0,11.0,11.0,72.0,2.0,7.0,,,,,,,90.0,96.0,8.6,17.0,0.244684,3,,56.0,7.0,,,,,4.0,,,,,,1.0,1.0,,1.0,3.0,1.0,1.0,0.0852,0.0324,6.0,,,,,,,1.0,,,,,,,,,
12530780,home,Kasımpaşa,Antonín Barák,antonin-barak,A. Barák,M,72,190.0,779,M,330705,EUR,786412800,M,72,72,False,36.0,31.0,2.0,1.0,0.0,7.0,8.0,29.0,,5.0,,,,,,,78.0,47.0,7.0,8.0,0.206438,5,,25.0,1.0,1.0,4.0,2.0,7.0,3.0,1.0,1.0,1.0,,,1.0,2.0,,,,,1.0,0.3836,0.6297,1.0,,,,1.0,,,2.0,,,,,,,,,
12530780,home,Kasımpaşa,Josip Brekalo,josip-brekalo,J. Brekalo,M,7,175.0,2226,M,357598,EUR,898560000,M,9,9,False,45.0,37.0,5.0,3.0,0.0,9.0,10.0,40.0,,2.0,,,,,,,90.0,69.0,7.1,21.0,0.103719,2,,28.0,5.0,,,2.0,3.0,6.0,,1.0,3.0,1.0,,1.0,1.0,,,1.0,1.0,2.0,0.0857,0.055,1.0,,,,4.0,,,,,,,,,,,,
