match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,captain,stat_totalCross,stat_accurateCross,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_keyPass,player_firstName,player_lastName,stat_aerialLost,stat_clearanceOffLine,stat_wonTackle,stat_penaltyConceded,stat_fouls,stat_wasFouled,stat_penaltyWon,stat_wonContest,stat_shotOffTarget,stat_dispossessed,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_totalOffside,stat_hitWoodwork,stat_goals,stat_bigChanceMissed,stat_bigChanceCreated,player_sofascoreId
10382056,home,Fortuna Sittard,Ivor Pandur,ivor-pandur,I. Pandur,G,1,187,669,M,943212,EUR,953942400,G,31,31,False,34.0,24.0,21.0,11.0,15.0,16.0,9.0,18.0,1.0,1.0,1.0,1.0,1.0,14.0,2.0,3.0,1.0,5.0,1.0,90.0,46.0,7.3,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382056,home,Fortuna Sittard,Ivo Pinto,ivo-pinto,I. Pinto,D,12,184,113,M,78730,EUR,631670400,D,12,12,False,31.0,27.0,3.0,1.0,11.0,12.0,17.0,20.0,,4.0,1.0,3.0,2.0,3.0,,,,,,90.0,48.0,6.6,7.0,0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
10382056,home,Fortuna Sittard,Rodrigo Guth,rodrigo-guth,R. Guth,D,14,191,291,M,905458,EUR,973814400,D,14,14,False,34.0,29.0,5.0,3.0,21.0,22.0,8.0,12.0,3.0,4.0,4.0,,3.0,5.0,,,,,,90.0,46.0,7.0,7.0,0,,,,,2.0,2.0,1.0,2.0,2.0,Rodrigo,Guth,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,
10382056,home,Fortuna Sittard,Dimitrios Siovas,dimitrios-siovas,D. Siovas,D,,191,184,M,41165,EUR,590284800,D,33,33,False,47.0,40.0,6.0,4.0,37.0,39.0,3.0,8.0,2.0,1.0,3.0,,1.0,4.0,,,,,,90.0,51.0,7.0,7.0,0,,,,,,1.0,,,,Dimitrios,Siovas,,,,,1.0,1.0,1.0,,,,,,,,,,,
10382056,home,Fortuna Sittard,Rémy Vita,remy-vita,R. Vita,D,21,170,144,M,1035696,EUR,986083200,D,61,61,False,37.0,32.0,3.0,1.0,20.0,21.0,13.0,19.0,,4.0,11.0,,1.0,6.0,,,,,,90.0,66.0,7.5,13.0,0,,3.0,1.0,4.0,,1.0,6.0,1.0,1.0,,,1.0,,3.0,,3.0,1.0,,4.0,,,,,,,,,,
10382056,home,Fortuna Sittard,Doğan Erdoğan,dogan-erdogan,D. Erdoğan,M,21,182,50,M,257407,EUR,840672000,M,21,21,False,46.0,40.0,10.0,5.0,25.0,26.0,15.0,20.0,,4.0,3.0,2.0,2.0,4.0,,,,,,90.0,53.0,6.6,7.0,1,,,,2.0,,,1.0,,,,,,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,
10382056,home,Fortuna Sittard,Arianit Ferati,arianit-ferati,A. Ferati,M,10,168,71,M,548088,EUR,873590400,M,19,19,False,35.0,32.0,5.0,5.0,12.0,13.0,21.0,29.0,1.0,5.0,5.0,3.0,,6.0,,,,,,69.0,53.0,6.8,13.0,1,,7.0,1.0,1.0,,1.0,1.0,3.0,2.0,,,,,1.0,,1.0,2.0,,1.0,1.0,1.0,,,,,,,,
10382056,home,Fortuna Sittard,Tijjani Noslin,tijjani-noslin,T. Noslin,F,14,177,1224,M,1069244,EUR,931305600,M,77,77,False,12.0,9.0,2.0,2.0,3.0,4.0,6.0,9.0,1.0,8.0,7.0,4.0,,3.0,,,,,,90.0,34.0,6.6,13.0,3,,1.0,,4.0,,1.0,2.0,6.0,,,,,,,,1.0,2.0,,2.0,1.0,1.0,2.0,,,,,,,
10382056,home,Fortuna Sittard,Íñigo Cordoba,inigo-cordoba,I. Cordoba,M,21,178,215,M,605650,EUR,858211200,M,7,7,False,40.0,36.0,3.0,3.0,19.0,19.0,18.0,22.0,,7.0,4.0,2.0,,8.0,,,,,,90.0,62.0,7.2,8.0,4,,1.0,1.0,1.0,1.0,,4.0,,2.0,,,,,2.0,,2.0,,,,,2.0,2.0,2.0,1.0,,,,,
10382056,home,Fortuna Sittard,Úmaro Embaló,umaro-embalo,Ú. Embaló,M,,170,335,M,901857,EUR,989107200,M,85,85,False,19.0,17.0,1.0,,9.0,10.0,8.0,10.0,,6.0,5.0,,,3.0,,,,,,69.0,38.0,6.5,14.0,1,,1.0,,4.0,,,2.0,5.0,2.0,,,,,1.0,,1.0,1.0,,2.0,,3.0,,1.0,1.0,,,,,
