match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoals,stat_aerialLost,stat_dispossessed,stat_outfielderBlock,stat_fouls,captain,stat_errorLeadToAShot,stat_blockedScoringAttempt,player_sofascoreId,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_savedShotsFromInsideTheBox,stat_punches,stat_lastManTackle,stat_clearanceOffLine,stat_totalOffside,stat_bigChanceMissed,stat_hitWoodwork
12451061,home,Toulouse,Guillaume Restes,Guillaume,Restes,guillaume-restes,G. Restes,G,1,188.0,2069,M,1154630,EUR,1110499200,G,50,50,False,29.0,21.0,11.0,3.0,0.0,18.0,19.0,3.0,10.0,1.0,1.0,1.0,10.0,1.0,2.0,1.0,1.0,90.0,38.0,7.2,8.0,0.00077516,0,0.2263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12451061,home,Toulouse,Djibril Sidibé,,,djibril-sidibe,D. Sidibé,D,19,182.0,538,M,123388,EUR,712368000,D,19,19,False,48.0,44.0,5.0,5.0,0.0,26.0,27.0,19.0,26.0,1.0,6.0,3.0,5.0,3.0,,,,90.0,71.0,7.9,10.0,0.145817,0,,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12451061,home,Toulouse,Charlie Cresswell,,,charlie-cresswell,C. Cresswell,D,4,190.0,1084,M,1020744,EUR,1029456000,D,4,4,False,59.0,49.0,8.0,1.0,0.0,46.0,47.0,4.0,13.0,1.0,4.0,4.0,,2.0,,,,90.0,72.0,7.2,12.0,0.0107278,2,,1.0,1.0,,,,,,1.0,,2.0,,1.0,1.0,0.0945,,,,,,,,,,,,,,,,,,
12451061,home,Toulouse,Mark McKenzie,,,mark-mckenzie,M. McKenzie,D,3,183.0,647,M,922759,EUR,919900800,D,3,3,False,27.0,21.0,2.0,,0.0,18.0,21.0,3.0,6.0,2.0,4.0,9.0,4.0,,,,,90.0,50.0,7.2,9.0,0.00143076,0,,,,5.0,1.0,,,,2.0,2.0,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,
12451061,home,Toulouse,Warren Kamanzi,,,warren-kamanzi,W. Kamanzi,M,12,177.0,196,M,1048366,EUR,973900800,M,12,12,False,28.0,23.0,1.0,1.0,0.0,11.0,12.0,12.0,18.0,1.0,6.0,,4.0,2.0,,,,73.0,42.0,7.0,10.0,0.0304068,1,,2.0,,2.0,,2.0,1.0,,2.0,,1.0,1.0,1.0,,0.1592,,1.0,,,,,,,,,,,,,,,,
12451061,home,Toulouse,Cristian Cásseres Jr.,,,cristian-casseres-jr,C. Cásseres Jr.,M,23,174.0,1378,M,878938,EUR,948326400,M,23,23,False,36.0,24.0,3.0,1.0,0.0,13.0,14.0,13.0,30.0,3.0,10.0,1.0,5.0,2.0,,,,90.0,57.0,7.6,20.0,0.224185,0,,8.0,2.0,5.0,2.0,1.0,1.0,,4.0,2.0,1.0,4.0,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,
12451061,home,Toulouse,Vincent Sierro,,,vincent-sierro,V. Sierro,M,14,184.0,461,M,794412,EUR,813110400,M,8,8,False,52.0,33.0,3.0,1.0,0.0,16.0,20.0,17.0,32.0,7.0,11.0,,7.0,1.0,,,,90.0,66.0,7.2,21.0,0.119828,1,,,,10.0,3.0,,,1.0,3.0,3.0,1.0,,1.0,,0.0201,4.0,1.0,2.0,2.0,True,1.0,,,,,,,,,,,,
12451061,home,Toulouse,Aron Dønnum,,,aron-donnum,A. Dønnum,M,15,179.0,643,M,863133,EUR,893030400,M,15,15,False,36.0,27.0,2.0,1.0,0.0,12.0,13.0,15.0,23.0,1.0,4.0,1.0,5.0,3.0,,,,90.0,60.0,6.4,13.0,0.193497,1,,,,14.0,3.0,3.0,,,,,,,,,0.0135,4.0,1.0,1.0,3.0,,,1.0,,,,,,,,,,,
12451061,home,Toulouse,Zakaria Aboukhlal,,,zakaria-aboukhlal,Z. Aboukhlal,F,7,179.0,8018,M,856737,EUR,950832000,F,7,7,False,17.0,12.0,,,0.0,2.0,4.0,11.0,18.0,1.0,2.0,,3.0,,,,,89.0,40.0,7.6,17.0,0.0912631,6,,5.0,1.0,8.0,,3.0,,,1.0,1.0,2.0,,2.0,3.0,0.4181,2.0,2.0,,2.0,,,1.0,zakariaaboukhlal,1.0,1.2446,,,,,,,,
12451061,home,Toulouse,Joshua King,,,joshua-king,J. King,F,7,180.0,2232,M,100621,EUR,695433600,F,13,13,False,22.0,18.0,,,0.0,3.0,4.0,15.0,19.0,5.0,6.0,1.0,2.0,,,,,90.0,38.0,7.2,12.0,0.108433,2,,1.0,,8.0,,4.0,1.0,,,,4.0,1.0,,2.0,0.1748,4.0,,1.0,2.0,,,,,,0.4455,,,,,,,,
