match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_fouls,stat_outfielderBlock,stat_wonTackle,stat_aerialLost,stat_challengeLost,stat_accurateCross,stat_shotOffTarget,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_goals,stat_keyPass,stat_goalAssist,stat_bigChanceMissed,stat_totalOffside,stat_bigChanceCreated,stat_blockedScoringAttempt,player_sofascoreId,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded
10913466,home,Al Batin,Martín Campaña,martin-campana,M. Campaña,G,25,186.0,179,M,243045,EUR,612403200.0,G,25,25,False,True,30.0,13.0,21.0,6.0,10.0,17.0,3.0,13.0,9.0,1.0,3.0,5.0,90.0,39.0,8.0,17.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913466,home,Al Batin,Bassam Al-Hurayji,bassam-al-hurayji,B. Al-Hurayji,D,66,175.0,126,M,1085357,EUR,954288000.0,D,6,6,False,,27.0,19.0,7.0,3.0,9.0,12.0,10.0,18.0,6.0,,,,90.0,54.0,7.5,17.0,0,Mohammed Bassam Alhurayji,,3.0,1.0,3.0,7.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,
10913466,home,Al Batin,Mohammed Naji,mohammed-naji,M. Naji,D,4,170.0,4,M,893173,EUR,751939200.0,D,3,3,False,,32.0,26.0,7.0,5.0,17.0,20.0,9.0,12.0,8.0,,,,90.0,50.0,8.2,6.0,0,Mohammed,Naji,,2.0,,9.0,,1.0,1.0,3.0,5.0,4.0,2.0,,1.0,4.0,,,,,,,,,,,,,,,,,,
10913466,home,Al Batin,Maurício Antônio,mauricio-antonio,M. Antônio,D,13,183.0,71,M,583824,EUR,697334400.0,D,4,4,False,,32.0,24.0,9.0,3.0,17.0,20.0,7.0,12.0,6.0,,,,90.0,46.0,7.5,8.0,0,,,,1.0,1.0,2.0,,,,9.0,1.0,,1.0,,3.0,,1.0,,,,,,,,,,,,,,,,,
10913466,home,Al Batin,Abdullah Al Yousif,abdullah-al-yousif,A. A. Yousif,D,13,175.0,9,M,892897,EUR,878083200.0,D,13,13,False,,28.0,19.0,5.0,2.0,10.0,14.0,9.0,15.0,6.0,,,,90.0,52.0,6.6,12.0,0,,,1.0,1.0,6.0,3.0,,1.0,,2.0,2.0,1.0,1.0,1.0,,,3.0,2.0,,,,,,,,,,,,,,,,
10913466,home,Al Batin,Yousef Fawaz,yousef-fawaz,Y. Fawaz,M,77,173.0,9,M,1214204,EUR,1013644800.0,M,77,77,False,,15.0,11.0,,,6.0,8.0,5.0,7.0,6.0,,,,57.0,25.0,6.1,7.0,0,Yousef Fawaz,,,1.0,9.0,3.0,,2.0,1.0,,1.0,,1.0,2.0,,,1.0,5.0,,,,,,,,,,,,,,,,
10913466,home,Al Batin,Juan Pedroza,juan-pedroza,J. Pedroza,M,18,176.0,186,M,972585,EUR,923529600.0,M,8,8,False,,36.0,30.0,4.0,4.0,13.0,13.0,18.0,24.0,6.0,,,,90.0,47.0,7.4,8.0,1,,,1.0,2.0,4.0,8.0,,2.0,2.0,,1.0,4.0,,2.0,,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
10913466,home,Al Batin,Yahya Al-Qarani,yahya-al-qarani,Y. Al-Qarani,M,15,162.0,1,M,949221,EUR,894240000.0,M,17,17,False,,22.0,19.0,3.0,2.0,9.0,9.0,10.0,14.0,5.0,,,,61.0,36.0,6.4,6.0,0,,,1.0,1.0,10.0,6.0,1.0,3.0,2.0,2.0,1.0,3.0,,2.0,,2.0,1.0,6.0,,,,,,,,,,,,,,,,
10913466,home,Al Batin,André Bukia,andre-bukia,A. Bukia,M,95,173.0,95,M,798904,EUR,794188800.0,M,11,11,False,,23.0,15.0,,,4.0,6.0,13.0,21.0,2.0,,,,89.0,41.0,7.4,13.0,1,,,4.0,,6.0,5.0,1.0,3.0,3.0,2.0,1.0,,2.0,3.0,,,2.0,1.0,2.0,,,1.0,1.0,1.0,,,,,,,,,,
10913466,home,Al Batin,Rakan Shamlan,rakan-shamlan,R. Shamlan,M,70,175.0,13,M,948599,EUR,900374400.0,F,70,70,False,,26.0,20.0,,,7.0,9.0,13.0,21.0,3.0,,,,89.0,59.0,7.3,22.0,1,,,4.0,1.0,8.0,10.0,3.0,10.0,5.0,,1.0,1.0,3.0,,1.0,,,,,,3.0,1.0,,2.0,1.0,,,,,,,,,
