match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,player_firstName,player_lastName,stat_challengeLost,stat_totalContest,stat_wonContest,stat_keyPass,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_accurateCross,player_sofascoreId,stat_blockedScoringAttempt,stat_errorLeadToAShot,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_goals
12764453,home,Red Bull Salzburg,Janis Blaswich,janis-blaswich,J. Blaswich,G,28,193,639,M,96832,EUR,673142400,G,1,1,False,True,24.0,21.0,5.0,3.0,0.0,21.0,24.0,1.0,4.0,2.0,1.0,90.0,31.0,5.9,3.0,7.252e-05,0,-1.2757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764453,home,Red Bull Salzburg,Leandro Morgalla,morgalla-leandro,L. Morgalla,D,39,186,229,M,1135938,EUR,1095033600,D,39,39,False,,31.0,22.0,2.0,,0.0,9.0,14.0,2.0,3.0,,,77.0,55.0,5.8,17.0,0.0127087,1,,13.0,18.0,1.0,3.0,2.0,5.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0411,,,,,,,,,,,,,,,,,,
12764453,home,Red Bull Salzburg,Kamil Piątkowski,kamil-piatkowski,K. Piątkowski,D,91,191,2379,M,942335,EUR,961545600,D,91,91,False,,46.0,39.0,9.0,6.0,0.0,29.0,31.0,3.0,6.0,,,90.0,55.0,6.3,7.0,0.00912454,0,,10.0,15.0,,5.0,2.0,5.0,5.0,,,,1.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
12764453,home,Red Bull Salzburg,Samson Baidoo,samson-baidoo,S. Baidoo,D,6,190,1283,M,1099117,EUR,1080691200,D,6,6,False,,49.0,44.0,3.0,1.0,0.0,30.0,35.0,1.0,7.0,,,77.0,59.0,6.2,6.0,0.00959248,0,,14.0,14.0,,3.0,1.0,7.0,6.0,,,,,2.0,2.0,,,1.0,4.0,,,,1.0,2.0,2.0,1.0,,,,,,,,,,,,
12764453,home,Red Bull Salzburg,Amar Dedić,amar-dedic,A. Dedić,D,17,180,5512,M,1102791,EUR,1029628800,D,70,70,False,,58.0,48.0,1.0,1.0,0.0,15.0,19.0,,3.0,,,90.0,77.0,7.4,12.0,0.277204,3,,33.0,41.0,2.0,,,4.0,7.0,,2.0,,,1.0,1.0,,,1.0,,0.2076,,,4.0,5.0,5.0,3.0,1.0,1.0,1.0,0.1111,,,,,,,,
12764453,home,Red Bull Salzburg,Mads Bidstrup,mads-bidstrup,M. Bidstrup,M,18,175,636,M,918429,EUR,983059200,M,18,18,False,,13.0,9.0,,,0.0,3.0,7.0,1.0,3.0,,,61.0,24.0,6.8,8.0,0.14236,2,,6.0,8.0,2.0,,,3.0,3.0,1.0,,,,2.0,,,1.0,,1.0,0.5796,,,1.0,1.0,1.0,1.0,1.0,2.0,,1.2769,1.0,,,,,,,
12764453,home,Red Bull Salzburg,Lucas Gourna-Douath,lucas-gourna-douath,L. Gourna-Douath,M,19,185,1202,M,1012657,EUR,1060041600,M,27,27,False,,50.0,47.0,,,0.0,28.0,28.0,2.0,9.0,,,77.0,72.0,6.1,11.0,0.0087043,0,,19.0,22.0,,2.0,,10.0,4.0,2.0,,,2.0,1.0,1.0,,2.0,2.0,1.0,,,,1.0,5.0,1.0,,,,1.0,,,,,,,,,
12764453,home,Red Bull Salzburg,Bobby Clark,bobby-clark,B. Clark,M,42,178,1774,M,1142638,EUR,1107734400,M,10,10,False,,35.0,31.0,,,0.0,11.0,12.0,,4.0,,,61.0,49.0,7.0,8.0,0.0534045,1,,20.0,25.0,2.0,,,3.0,6.0,1.0,,,1.0,5.0,2.0,,1.0,1.0,1.0,0.1769,,,1.0,,,2.0,,1.0,,0.7322,1.0,,,,,,,
12764453,home,Red Bull Salzburg,Adam Daghim,adam-daghim,A. Daghim,F,11,186,852,M,1180758,EUR,1127865600,F,28,28,False,,30.0,18.0,2.0,,0.0,4.0,6.0,,4.0,,,90.0,58.0,6.8,25.0,0.0510657,0,,15.0,27.0,3.0,,1.0,5.0,7.0,,,,1.0,3.0,1.0,,7.0,2.0,2.0,,,,,5.0,2.0,2.0,,,1.0,,,1.0,,,,,,
12764453,home,Red Bull Salzburg,Karim Konaté,karim-konate,K. Konaté,F,19,178,7156,M,1139103,EUR,1079827200,F,19,19,False,,11.0,8.0,,,0.0,6.0,8.0,,2.0,,,90.0,24.0,6.7,7.0,0.0707972,4,,2.0,3.0,,5.0,1.0,12.0,3.0,2.0,1.0,,,1.0,1.0,,,1.0,5.0,0.3352,,,,1.0,,1.0,,1.0,,0.4884,,,konatekarim9,2.0,,,,
