match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_topSpeed,stat_kilometersCovered,stat_numberOfSprints,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_metersCoveredWalkingKm,stat_metersCoveredJoggingKm,stat_metersCoveredRunningKm,stat_metersCoveredHighSpeedRunningKm,stat_metersCoveredSprintingKm,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,player_firstName,stat_totalTackle,stat_wonTackle,stat_penaltyConceded,stat_challengeLost,stat_errorLeadToAShot,stat_dispossessed,stat_wasFouled,captain,stat_totalCross,stat_accurateCross,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,player_lastName,stat_penaltyWon,stat_totalOffside,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
14566652,home,Barcelona,Wojciech Szczęsny,wojciech-szczesny,W. Szczęsny,G,25,196.0,94925,M,wojciech.szczesny1,50490,EUR,640396800,G,25,25,False,36.0,28.0,11.0,5.0,0.0,27.0,32.0,1.0,4.0,10.0,1.0,1.0,1.0,90.0,43.0,6.6,9.0,0.00022823,20.772,5.46178,0.0,0.0624,0,-0.0521,0.0,0.0,-0.05,0.07,3.49,1.76,0.18,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14566652,home,Barcelona,Jules Koundé,jules-kounde,J. Koundé,D,23,180.0,146374,M,JKoundé,827212,EUR,910828800,D,23,23,False,57.0,53.0,4.0,3.0,0.0,37.0,39.0,16.0,18.0,7.0,,,,75.0,77.0,7.1,5.0,0.147811,29.592,8.40335,10.0,,1,,0.31,0.13,-0.02,,2.28,3.94,1.35,0.62,0.22,1.0,5.0,2.0,6.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,0.4018,2.0,-0.61,,,,,,,,,,,,,,,,,,,,,,
14566652,home,Barcelona,Pau Cubarsí,pau-cubarsi,P. Cubarsí,D,5,184.0,156066,M,PauCubarsí,1402913,EUR,1169424000,D,5,5,False,85.0,78.0,6.0,4.0,0.0,51.0,55.0,27.0,30.0,2.0,,,,90.0,98.0,7.0,8.0,0.0169603,28.8,10.40483,6.0,,0,,0.32,0.1,-0.12,,2.82,5.36,1.67,0.43,0.12,2.0,2.0,2.0,4.0,,,,,7.0,,2.0,1.0,,,,,Pau Cubarsí,2.0,2.0,,,,,,,,,,,,,,,,,,,
14566652,home,Barcelona,Eric García,eric-garcia,E. García,D,24,182.0,56781,M,ericgm3,876214,EUR,978998400,D,24,24,False,77.0,71.0,5.0,5.0,0.0,47.0,50.0,24.0,27.0,5.0,,,,90.0,91.0,6.6,8.0,0.00838909,27.756,10.58648,7.0,,1,,0.26,0.04,-0.3,,2.82,5.43,1.68,0.51,0.14,3.0,2.0,4.0,3.0,,,,1.0,4.0,,,2.0,2.0,0.0842,,-0.19,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
14566652,home,Barcelona,Alejandro Balde,alejandro-balde,A. Balde,D,3,175.0,127788,M,AlejandroBalde,997035,EUR,1066435200,D,3,3,False,49.0,46.0,1.0,,1.0,32.0,34.0,14.0,15.0,3.0,,,,75.0,65.0,6.6,6.0,0.293368,29.7,8.59683,14.0,,0,,0.3,0.13,-0.34,,2.23,3.9,1.48,0.73,0.26,1.0,,5.0,4.0,5.0,3.0,,,1.0,,,,1.0,,2.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,
14566652,home,Barcelona,Marc Casadó,marc-casado,M. Casadó,M,17,172.0,64239,M,marccasado,1000483,EUR,1063497600,M,17,17,False,74.0,66.0,4.0,2.0,0.0,37.0,38.0,29.0,36.0,6.0,,,,90.0,87.0,7.2,10.0,0.0651261,26.316,11.72814,3.0,,0,,0.05,0.12,-0.08,,2.46,6.88,2.01,0.32,0.05,1.0,2.0,6.0,8.0,,,,,1.0,1.0,,,,,,,,3.0,3.0,,3.0,,2.0,3.0,,,,,,,,,,,,,,
14566652,home,Barcelona,Pedri,pedri,Pedri,M,8,174.0,648138,M,Pedri,992587,EUR,1038182400,M,8,8,False,75.0,70.0,11.0,10.0,1.0,32.0,34.0,38.0,41.0,6.0,,,,80.0,92.0,8.1,8.0,0.0954651,28.656,9.66138,6.0,,0,,0.54,0.43,-0.01,,2.18,5.21,1.63,0.46,0.17,,,2.0,3.0,,,,,2.0,,2.0,2.0,,,1.0,,,1.0,1.0,,1.0,,1.0,2.0,True,,,,,,,,,,,,,
14566652,home,Barcelona,Lamine Yamal,lamine-yamal,L. Yamal,M,10,180.0,1710018,M,Lamiyamal,1402912,EUR,1184284800,M,10,10,False,31.0,27.0,1.0,1.0,1.0,5.0,5.0,22.0,26.0,3.0,,,,75.0,58.0,8.2,13.0,0.183951,28.44,6.93111,6.0,,3,,0.21,0.82,-0.1,,2.77,2.92,0.81,0.31,0.12,,,7.0,8.0,10.0,5.0,1.0,1.0,1.0,,2.0,2.0,,0.9206,2.0,0.23,,1.0,1.0,,1.0,,1.0,2.0,,2.0,1.0,1.0,1.0,1.0,0.7836,,,,,,,
14566652,home,Barcelona,Fermín López,fermin-lopez,F. López,M,16,176.0,178798,M,FermínLópez,1153270,EUR,1052611200,M,16,16,False,58.0,50.0,7.0,5.0,0.0,9.0,9.0,41.0,49.0,2.0,,,,90.0,73.0,10.0,13.0,0.181006,28.476,10.16454,7.0,,4,,0.34,0.2,-0.13,,3.09,4.85,1.53,0.56,0.15,,1.0,7.0,5.0,4.0,3.0,,,,,,,2.0,0.6975,,1.0,Fermín López,1.0,1.0,,1.0,,3.0,,,1.0,,4.0,,3.0,3.2605,,,,,,,
14566652,home,Barcelona,Dro Fernández,pedro-fernandez,D. Fernández,M,27,182.0,76584,M,,1926085,EUR,1200096000,M,27,27,False,20.0,18.0,1.0,1.0,1.0,6.0,6.0,12.0,14.0,2.0,,,,59.0,27.0,6.8,6.0,0.11883,28.224,6.93217,6.0,,0,,0.29,0.14,-0.05,,1.75,3.3,1.22,0.54,0.12,1.0,1.0,5.0,1.0,2.0,,1.0,,1.0,,,,1.0,,1.0,,Pedro,,,,,,1.0,,,1.0,,,,,,Fernández Sarmiento,,,,,,
14566652,home,Barcelona,Marcus Rashford,marcus-rashford,M. Rashford,M,14,185.0,363363,M,Rashford,814590,EUR,878256000,F,14,14,False,19.0,16.0,3.0,2.0,0.0,2.0,2.0,14.0,17.0,,,,,90.0,40.0,9.3,14.0,0.341874,28.26,9.91249,8.0,,4,,0.38,0.26,-0.02,,3.21,4.68,1.34,0.55,0.14,1.0,,7.0,3.0,3.0,,,2.0,,,,2.0,,0.2791,1.0,0.9,,,,,,,3.0,3.0,,3.0,1.0,2.0,,2.0,0.306,,1.0,2.0,,,,
14566652,home,Barcelona,Frenkie de Jong,frenkie-de-jong,F. de Jong,M,21,180.0,191831,M,Frenkie,795222,EUR,863395200,M,21,21,True,25.0,21.0,1.0,,0.0,2.0,2.0,19.0,23.0,,,,,31.0,27.0,6.6,5.0,0.0873059,26.316,4.27687,3.0,,1,,0.21,0.02,0.0,,1.02,2.15,0.77,0.29,0.05,,,,,,,,,,,,1.0,,0.1932,1.0,-0.53,,,,,,,,,,,,,1.0,,,,,,1.0,,,
14566652,home,Barcelona,Ronald Araújo,ronald-araujo,R. Araújo,D,4,191.0,136446,M,RAraújo,925097,EUR,920764800,D,4,4,True,15.0,14.0,,,0.0,9.0,9.0,5.0,6.0,,,,,15.0,18.0,6.9,1.0,0.00105107,23.328,2.04758,0.0,,0,,0.0,0.05,0.15,,0.6,1.11,0.26,0.08,0.0,,1.0,,2.0,,,,,2.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
14566652,home,Barcelona,Gerard Martín,gerard-martin,G. Martín,D,18,186.0,43965,M,gerardmaartin,1094827,EUR,1014681600,D,18,18,True,20.0,18.0,1.0,,0.0,7.0,7.0,11.0,13.0,1.0,,,,15.0,23.0,6.6,3.0,0.0159197,30.24,2.23996,3.0,,0,,-0.16,0.03,0.0,,0.6,1.09,0.32,0.15,0.08,,1.0,,1.0,,,,,,,,,,,,,Gerard,,,,,,,,,1.0,,,,,,,,,,,,
