match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,from,id,isHome,incidentClass,player_id,player_name,injury,playerName,reason,rescinded
12924416,FT,1.0,4.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
12924416,,,,,90,0.0,,1,,,injuryTime,1.0,,,,,,,,,,
12924416,,1.0,4.0,,89,,,2,,,goal,,penalty,189414375.0,False,penalty,960077.0,Ezequiel Bullaude,,,,
12924416,,,,,88,,,3,,,substitution,,,123239120.0,True,regular,,,False,,,
12924416,,,,,84,,,7,,,substitution,,,123239115.0,True,regular,,,False,,,
12924416,,,,,84,,,7,,,substitution,,,123239106.0,True,regular,,,False,,,
12924416,,,,,80,,,11,,,substitution,,,123239089.0,False,regular,,,False,,,
12924416,,1.0,3.0,,79,,,12,,,goal,,,189413928.0,False,regular,960077.0,Ezequiel Bullaude,,,,
12924416,,,,,77,,,14,,,substitution,,,123239042.0,False,regular,,,False,,,
12924416,,,,,72,,,19,,,card,,,121681878.0,True,yellow,1003363.0,Tim Waterink,,Tim Waterink,Foul,False
12924416,,,,,71,,,20,,,substitution,,,123239008.0,False,regular,,,False,,,
12924416,,,,,66,,,25,,,substitution,,,123238955.0,True,regular,,,False,,,
12924416,,,,,66,,,25,,,substitution,,,123238954.0,True,regular,,,False,,,
12924416,,,,,65,,,26,,,card,,,121681855.0,False,yellow,954812.0,Rosier Loreintz,,Rosier Loreintz,Argument,False
12924416,,,,,65,,,26,,,card,,,121681854.0,True,yellow,116492.0,Ricardo Ippel,,Ricardo Ippel,Argument,False
12924416,,1.0,2.0,,59,,,32,,,goal,,,189413072.0,False,regular,780206.0,Alessio Da Cruz,,,,
12924416,,1.0,1.0,,58,,,33,,,goal,,owngoal,189413043.0,False,ownGoal,867090.0,Niels Kornelis,,,,
12924416,,1.0,0.0,,47,,,44,,,goal,,,189412448.0,True,regular,1003363.0,Tim Waterink,,,,
12924416,,,,,46,,,45,,,substitution,,,123238647.0,False,regular,,,False,,,
12924416,,,,,46,,,45,,,substitution,,,123238646.0,False,regular,,,False,,,
12924416,HT,0.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
12924416,,,,,45,0.0,,1,,,injuryTime,1.0,,,,,,,,,,
12924416,,,,,40,,,6,,,card,,,121681687.0,True,yellow,1096722.0,Sebastiaan van Bakel,,Sebastiaan van Bakel,Foul,False
12924416,,,,,21,,,25,,,card,,,121681616.0,True,yellow,32533.0,Guus Joppen,,Guus Joppen,Foul,False
