match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_penaltyConceded,stat_wasFouled,stat_fouls,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_aerialLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,player_firstName,player_lastName,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_blockedScoringAttempt,captain,stat_totalCross,stat_accurateCross,stat_onTargetScoringAttempt,stat_keyPass,stat_totalOffside,player_sofascoreId,stat_crossNotClaimed,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_penaltyMiss,stat_goals,stat_penaltyWon
10411683,home,Salernitana,Luigi Sepe,luigi-sepe,L. Sepe,G,185.0,170,M,46714,EUR,673660800,G,33,33,False,39.0,32.0,18.0,11.0,26.0,28.0,6.0,11.0,2.0,1.0,2.0,1.0,10.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,5.0,1.0,90.0,55.0,7.4,7.0,0.0,0.0,0.00111774,0,1.4059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411683,home,Salernitana,Dylan Bronn,dylan-bronn,D. Bronn,D,186.0,1740,M,845271,EUR,803520000,D,2,2,False,54.0,45.0,4.0,2.0,36.0,41.0,9.0,13.0,1.0,6.0,8.0,1.0,5.0,1.0,1.0,3.0,,,,,,,88.0,70.0,6.0,10.0,0.0665,0.0,0.00593861,1,,25,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,
10411683,home,Salernitana,Flavius Daniliuc,flavius-daniliuc,F. Daniliuc,D,186.0,441,M,901885,EUR,988329600,D,5,5,False,55.0,47.0,10.0,3.0,43.0,46.0,4.0,9.0,,4.0,1.0,5.0,9.0,,,2.0,,,,,,,90.0,72.0,6.7,9.0,0.0823,0.0,0.0014758,1,,24,,2.0,,,,1.0,1.0,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,
10411683,home,Salernitana,Lorenzo Pirola,lorenzo-pirola,L. Pirola,D,185.0,996,M,965014,EUR,1014163200,D,98,98,False,43.0,35.0,4.0,2.0,29.0,33.0,6.0,10.0,1.0,1.0,3.0,3.0,3.0,,,2.0,,,,,,,75.0,53.0,6.7,8.0,0.0682,0.0,0.00305699,1,,5,,,,,,,2.0,2.0,,,,1.0,,,1.0,,,,,,,,,,,,,,
10411683,home,Salernitana,Antonio Candreva,antonio-candreva,A. Candreva,F,180.0,936,M,27982,EUR,541468800,M,87,87,False,40.0,30.0,5.0,1.0,20.0,22.0,11.0,21.0,,1.0,2.0,,4.0,,,,,,,,,,90.0,54.0,6.8,12.0,0.0976,0.1683,0.0230902,3,,87,1.0,,,,,1.0,2.0,1.0,,,,,,,1.0,True,3.0,1.0,1.0,1.0,,,,,,,,,
10411683,home,Salernitana,Lassana Coulibaly,coulibaly-lassana,L. Coulibaly,M,183.0,2761,M,804621,EUR,829094400,M,18,18,False,39.0,36.0,3.0,1.0,23.0,25.0,13.0,14.0,,3.0,3.0,1.0,7.0,,,,,,,,,,90.0,50.0,6.8,5.0,0.0,0.0,0.00668532,0,,29,1.0,2.0,,2.0,2.0,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,
10411683,home,Salernitana,Domen Črnigoj,domen-crnigoj,D. Črnigoj,M,187.0,119,M,232096,EUR,816652800,M,22,22,False,34.0,27.0,1.0,,22.0,26.0,5.0,8.0,,1.0,2.0,3.0,6.0,,1.0,,,,,,,,76.0,49.0,7.2,8.0,0.0,0.0,0.00456405,0,,89,1.0,,,1.0,1.0,,,,,,,1.0,5.0,1.0,,,,,,,,,,,,,,,
10411683,home,Salernitana,Domagoj Bradarić,domagoj-bradaric,D. Bradarić,M,178.0,1470,M,897594,EUR,944784000,M,3,3,False,26.0,20.0,5.0,2.0,10.0,11.0,12.0,22.0,,3.0,,,6.0,,,,,,,,,,90.0,39.0,6.6,13.0,0.0,0.0,0.0667598,0,,12,2.0,,1.0,,,,,,,,,,1.0,1.0,,,7.0,2.0,,3.0,1.0,,,,,,,,
10411683,home,Salernitana,Federico Bonazzoli,federico-bonazzoli,F. Bonazzoli,F,182.0,985,M,284363,EUR,864172800,F,9,9,False,18.0,14.0,2.0,2.0,5.0,7.0,9.0,11.0,1.0,4.0,2.0,,1.0,,1.0,1.0,,,,,,,59.0,27.0,6.6,7.0,0.0523,0.0,0.00329663,2,,90,3.0,,,1.0,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,
10411683,home,Salernitana,Tonny Vilhena,tonny-vilhena,T. Vilhena,M,175.0,505,M,149659,EUR,789091200,F,10,10,False,6.0,3.0,,,1.0,2.0,2.0,4.0,,3.0,2.0,,2.0,,1.0,,,,,,,,45.0,10.0,6.7,4.0,0.0,0.0,0.00341097,0,,52,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,
