match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_aerialWon,captain,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_wasFouled,stat_keyPass,stat_dispossessed,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_expectedGoalsOnTarget,player_sofascoreId,stat_totalOffside,stat_blockedScoringAttempt,stat_lastManTackle
11369393,home,Granada,André Ferreira,,,andre-ferreira,A. Ferreira,G,13,193.0,225,M,788197,EUR,833328000,G,13,13,False,27.0,15.0,16.0,4.0,12.0,14.0,3.0,13.0,1.0,1.0,14.0,1.0,4.0,5.0,90.0,45.0,7.5,12.0,0.00246888,0,1.3264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369393,home,Granada,Wilson Manafá,,,wilson-manafa,W. Manafá,D,13,177.0,205,M,344205,EUR,774921600,D,3,3,False,38.0,27.0,7.0,1.0,16.0,20.0,11.0,18.0,2.0,4.0,10.0,,,,90.0,63.0,6.2,14.0,0.0122816,1,,5.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,0.007,,,,,,,,,,,,,,,,,,
11369393,home,Granada,Ignasi Miquel,,,ignasi-miquel,I. Miquel,D,5,189.0,102,M,144606,EUR,717638400,D,14,14,False,65.0,57.0,5.0,4.0,50.0,56.0,7.0,9.0,2.0,3.0,2.0,,,,90.0,74.0,7.0,8.0,0.00488297,0,,8.0,,,,,2.0,1.0,3.0,2.0,,,1.0,,5.0,,,,,,,,,,,,,,,,,
11369393,home,Granada,Raúl Torrente,,,raul-torrente,R. Torrente,D,4,193.0,720,M,1134758,EUR,1000080000,D,28,28,False,71.0,53.0,16.0,4.0,48.0,52.0,5.0,19.0,1.0,1.0,9.0,,,,90.0,84.0,6.7,18.0,0.00398104,1,,5.0,,,,1.0,7.0,1.0,2.0,1.0,,,,0.017,3.0,,,,,,,,,,,,,,,,,
11369393,home,Granada,Carlos Neva,,,neva-carlos,C. Neva,D,21,174.0,128,M,914178,EUR,834537600,D,15,15,False,58.0,39.0,10.0,5.0,22.0,29.0,19.0,32.0,,1.0,4.0,,,,90.0,82.0,7.8,23.0,0.127509,0,,4.0,,,,,2.0,1.0,,,,1.0,1.0,,2.0,True,1.0,3.0,2.0,3.0,2.0,3.0,,,,,,,,,,
11369393,home,Granada,Gonzalo Villar,,,gonzalo-villar,G. Villar,M,12,181.0,1019,M,914765,EUR,890611200,M,24,24,False,56.0,45.0,3.0,2.0,28.0,33.0,17.0,23.0,,6.0,6.0,,,,84.0,78.0,7.7,15.0,0.0249694,4,,9.0,1.0,4.0,3.0,1.0,,,2.0,2.0,,1.0,2.0,1.0509,2.0,,,,,,2.0,,2.0,1.0,3.0,1.0,1.0,0.9316,,,,
11369393,home,Granada,Gerard Gumbau,,,gerard-gumbau,G. Gumbau,M,15,187.0,380,M,326471,EUR,787708800,M,23,23,False,53.0,39.0,9.0,5.0,21.0,28.0,18.0,28.0,,5.0,10.0,,,,90.0,66.0,6.5,23.0,0.0244546,0,,3.0,1.0,1.0,,,,,1.0,1.0,,,,,1.0,,,3.0,,,1.0,,3.0,,,,,,,,,
11369393,home,Granada,Óscar Melendo,,,oscar-melendo,Ó. Melendo,M,21,167.0,152,M,861317,EUR,872294400,M,21,21,False,29.0,24.0,3.0,1.0,13.0,13.0,11.0,16.0,,,4.0,,,,65.0,42.0,6.9,9.0,0.0812817,0,,3.0,,,,,,,1.0,1.0,,2.0,,,,,,,,,2.0,1.0,,,,,,,,,,
11369393,home,Granada,Bryan Zaragoza,,,bryan-zaragoza,B. Zaragoza,F,97,165.0,5285,M,1084730,EUR,999993600,M,26,26,False,8.0,4.0,1.0,1.0,3.0,6.0,2.0,7.0,1.0,6.0,3.0,,,,74.0,28.0,6.2,16.0,0.0323002,1,,2.0,,5.0,1.0,,,,1.0,,,4.0,1.0,0.0249,,,,5.0,1.0,,,,,,1.0,,,0.0505,bryanzaragoza,2.0,,
11369393,home,Granada,Myrto Uzuni,,,myrto-uzuni,M. Uzuni,F,10,178.0,1807,M,895533,EUR,801878400,F,11,11,False,9.0,5.0,,,2.0,2.0,3.0,7.0,3.0,9.0,,,,,84.0,23.0,6.2,9.0,0.00672445,4,,2.0,,4.0,1.0,1.0,,,,,,,1.0,0.5536,,,,,,,1.0,,2.0,1.0,2.0,,,0.1888,,2.0,1.0,
