match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_unsuccessfulTouch,stat_fouls,captain,stat_aerialLost,stat_shotOffTarget,stat_hitWoodwork,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_expectedGoals,stat_shotValueNormalized,stat_interceptionWon,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_keyPass,stat_wasFouled,stat_dispossessed,stat_blockedScoringAttempt,stat_penaltyWon,stat_penaltyFaced,stat_totalOffside,stat_penaltyConceded,stat_bigChanceMissed,player_sofascoreId
14109711,home,Gençlerbirliği,Ricardo Velho,ricardo-velho,R. Velho,G,24,188,502,M,845792,EUR,903571200,G,24,24,False,34.0,17.0,22.0,5.0,0.0,13.0,15.0,4.0,19.0,2.0,2.0,2.0,8.0,2.0,2.0,2.0,2.0,90.0,43.0,7.0,17.0,0.00045274,0.4221,0,1.0875,0.01,-0.01,-0.01,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109711,home,Gençlerbirliği,Pedro Pereira,pedro-pereira,P. Pereira,M,13,185,286,M,807291,EUR,885427200,D,13,13,False,12.0,9.0,1.0,,0.0,6.0,7.0,3.0,5.0,,,1.0,1.0,,,,,90.0,26.0,6.0,8.0,0.0109181,,0,,0.03,0.05,-0.34,,,,4.0,2.0,5.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109711,home,Gençlerbirliği,Dimitris Goutas,dimitris-goutas,D. Goutas,D,6,189,261,M,257497,EUR,765417600,D,6,6,False,25.0,19.0,5.0,1.0,0.0,16.0,17.0,3.0,8.0,4.0,6.0,17.0,,,,,,90.0,50.0,7.0,7.0,0.00103341,,2,,0.03,0.01,0.28,,,,,,1.0,,1.0,,True,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.094,-0.28,,,,,,,,,,,,,,,,,
14109711,home,Gençlerbirliği,Žan Žužek,zan-zuzek,Ž. Žužek,D,4,186,103,M,355582,EUR,854236800,D,4,4,False,25.0,22.0,5.0,3.0,0.0,20.0,22.0,2.0,3.0,2.0,3.0,5.0,1.0,,,,,90.0,37.0,6.8,3.0,0.00113594,,0,,0.01,0.01,0.19,,,,,,3.0,,,,,3.0,,,1.0,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,
14109711,home,Gençlerbirliği,Thalisson Kelven,thalisson-kelven,T. Kelven,D,2,184,112,M,863277,EUR,894499200,D,2,2,False,15.0,13.0,3.0,3.0,0.0,12.0,14.0,1.0,1.0,1.0,3.0,3.0,,,,,,90.0,34.0,7.2,4.0,0.00108706,,2,,0.0,-0.02,0.26,,,,1.0,,5.0,,,3.0,,2.0,1.0,,2.0,2.0,1.0,,0.3288,0.31,1.0,1.0,1.0,0.9381,,,,,,,,,,,,,
14109711,home,Gençlerbirliği,Tom Dele-Bashiru,tom-dele-bashiru,T. Dele-Bashiru,M,15,185,385,M,904845,EUR,937526400,M,15,15,False,20.0,19.0,,,1.0,14.0,14.0,5.0,6.0,,1.0,2.0,2.0,,,,,90.0,27.0,6.9,1.0,0.00597819,,1,,0.18,0.03,0.2,,,,,,1.0,,,,,1.0,1.0,,1.0,,,,0.0381,0.01,1.0,,,,1.0,1.0,1.0,2.0,,,,,,,,,
14109711,home,Gençlerbirliği,Oğulcan Ülgün,ogulcan-ulgun,O. Ülgün,M,35,178,135,M,1063942,EUR,894844800,M,35,35,False,19.0,14.0,3.0,,0.0,5.0,5.0,9.0,14.0,2.0,4.0,2.0,1.0,,,,,76.0,25.0,7.3,5.0,0.349299,,0,,0.48,0.35,-0.02,,Ogulcan Ülgün,,,,2.0,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,2.0,1.0,,,,,,,,
14109711,home,Gençlerbirliği,Göktan Gürpüz,goktan-gurpuz,G. Gürpüz,M,11,178,348,M,997007,EUR,1043193600,M,11,11,False,13.0,10.0,1.0,1.0,0.0,2.0,3.0,8.0,10.0,,1.0,1.0,3.0,,,,,76.0,29.0,6.6,11.0,0.12605,,1,,0.39,0.17,-0.04,,,,5.0,2.0,7.0,1.0,2.0,1.0,,2.0,,,,1.0,1.0,,0.0345,-0.21,1.0,,,,1.0,,,3.0,,2.0,1.0,,,,,,
14109711,home,Gençlerbirliği,Sekou Koita,sekou-koita,S. Koita,F,22,173,3333,M,822710,EUR,943747200,M,22,22,False,9.0,3.0,,,0.0,,1.0,3.0,8.0,1.0,3.0,,1.0,,,,,67.0,19.0,6.2,9.0,0.00245603,,4,,-0.03,0.08,-0.07,,,,,,4.0,,,1.0,,1.0,,,,1.0,,,0.2149,-0.53,,2.0,,0.2795,,,,,2.0,2.0,2.0,,,,,,
14109711,home,Gençlerbirliği,Franco Tongya,franco-tongya,F. Tongya,M,70,175,467,M,965015,EUR,1015977600,M,70,70,False,14.0,12.0,,,0.0,4.0,5.0,8.0,9.0,,5.0,,1.0,,,,,89.0,29.0,7.4,6.0,0.022829,,2,,0.0,0.41,0.23,,,,,,3.0,,2.0,1.0,,,1.0,,1.0,2.0,2.0,,0.1234,-0.2,1.0,1.0,,0.0881,2.0,1.0,,1.0,2.0,1.0,,1.0,,,,,
