match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialWon,stat_challengeLost,stat_blockedScoringAttempt,stat_interceptionWon,stat_keyPass,stat_aerialLost,stat_wonContest,stat_outfielderBlock,player_height,stat_accurateCross,stat_shotOffTarget,stat_totalOffside,stat_penaltyConceded,stat_onTargetScoringAttempt,stat_bigChanceCreated,captain,stat_bigChanceMissed,stat_goodHighClaim,stat_goals,stat_penaltyWon,stat_goalAssist
11048674,home,Beaman United FC,Alejandro Rodriguez,Alejandro Rodriguez,,alejandro-rodriguez,A. Rodriguez,G,1,0,M,1479753,EUR,917913600.0,G,1,1,False,13.0,10.0,5.0,3.0,9.0,11.0,1.0,2.0,1.0,7.0,2.0,3.0,90.0,23.0,6.1,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11048674,home,Beaman United FC,Austin Morenzoni,Austin Morenzoni,,austin-morenzoni,A. Morenzoni,D,6,0,M,1479695,EUR,934243200.0,D,6,6,False,9.0,7.0,2.0,,3.0,3.0,4.0,7.0,3.0,4.0,,,53.0,24.0,6.4,7.0,0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11048674,home,Beaman United FC,Enil García,Enil García,,enil-garcia,E. García,D,16,0,M,1479706,EUR,595641600.0,D,16,16,False,15.0,5.0,6.0,1.0,1.0,1.0,4.0,14.0,4.0,3.0,,,69.0,28.0,6.1,14.0,0,,4.0,4.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
11048674,home,Beaman United FC,Gian-Luca Schunke,Gian-Luca Schunke,,gian-luca-schunke,G. Schunke,D,23,1,M,1479783,EUR,894240000.0,D,23,23,False,25.0,19.0,4.0,,18.0,19.0,1.0,6.0,6.0,2.0,,,90.0,46.0,6.4,11.0,2,,5.0,6.0,,2.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,
11048674,home,Beaman United FC,Oluwatosin Abudiore,Oluwatosin Abudiore,,oluwatosin-abudiore,O. Abudiore,M,20,0,M,1479735,EUR,810172800.0,D,20,20,False,43.0,24.0,11.0,4.0,14.0,19.0,10.0,26.0,2.0,6.0,,,90.0,93.0,6.4,35.0,1,2.0,8.0,10.0,1.0,5.0,5.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,3.0,,1.0,3.0,1.0,,,,,,,,,,,,,
11048674,home,Beaman United FC,Michael Reed,,,michael-reed,M. Reed,M,8,1,M,884261,EUR,562377600.0,M,17,17,False,46.0,41.0,4.0,2.0,13.0,14.0,33.0,45.0,2.0,6.0,,,90.0,70.0,7.6,14.0,1,13.0,1.0,3.0,,1.0,,,1.0,2.0,1.0,,,,1.0,5.0,,1.0,,183.0,5.0,1.0,1.0,,,,,,,,,
11048674,home,Beaman United FC,Dominic Oduro,,,oduro-dominic,D. Oduro,M,,10,,840523,EUR,790646400.0,M,18,18,False,32.0,25.0,4.0,3.0,7.0,10.0,18.0,22.0,,4.0,,,90.0,49.0,6.5,11.0,1,,4.0,7.0,1.0,,2.0,2.0,2.0,4.0,2.0,1.0,1.0,,3.0,,,,1.0,166.0,,1.0,,1.0,,,,,,,,
11048674,home,Beaman United FC,Kwadwo Poku,,,kwadwo-poku,K. Poku,M,,12,,790152,EUR,698457600.0,M,8,8,False,33.0,24.0,4.0,2.0,4.0,6.0,20.0,27.0,2.0,4.0,,,90.0,47.0,6.5,13.0,1,,4.0,5.0,1.0,5.0,,,1.0,1.0,,1.0,1.0,,,,,3.0,,185.0,,,,,1.0,,,,,,,
11048674,home,Beaman United FC,Michael Jones,,,michael-jones,M. Jones,D,19,0,M,935921,EUR,895363200.0,M,19,19,False,21.0,12.0,2.0,1.0,2.0,3.0,12.0,23.0,1.0,7.0,,,90.0,53.0,7.2,21.0,1,5.0,5.0,8.0,,2.0,5.0,3.0,4.0,3.0,2.0,,,,1.0,1.0,1.0,,,,2.0,1.0,,,,1.0,,,,,,
11048674,home,Beaman United FC,Seth Poku,Seth Poku,,seth-poku,S. Poku,M,10,5,M,1479743,EUR,860716800.0,F,10,10,False,17.0,14.0,2.0,2.0,9.0,9.0,5.0,9.0,1.0,6.0,,,90.0,30.0,6.4,6.0,4,1.0,3.0,5.0,2.0,1.0,2.0,2.0,,2.0,1.0,,,1.0,,1.0,,1.0,,,,2.0,1.0,,1.0,,True,2.0,,,,
11048674,home,Beaman United FC,Alphanso Gooden,Alphanso Gooden,,alphanso-gooden,A. Gooden,F,25,0,M,1479691,EUR,874540800.0,F,25,25,False,18.0,16.0,2.0,1.0,6.0,6.0,10.0,13.0,1.0,1.0,,,83.0,36.0,6.5,10.0,1,1.0,6.0,3.0,,2.0,,,5.0,3.0,1.0,,,,,,3.0,,,,,1.0,,,,,,,,,,
