match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_keyPass,stat_totalCross,stat_aerialWon,stat_duelWon,stat_blockedScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,captain,stat_dispossessed,stat_shotOffTarget,stat_hitWoodwork,stat_fouls,stat_wasFouled,stat_accurateCross,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalOffside,player_sofascoreId,stat_goalAssist,stat_goals
11877066,home,Gillingham,Jake Turner,,,jake-turner,J. Turner,G,25,180,28,M,848764,EUR,919900800,G,25,25,False,26.0,16.0,22.0,12.0,6.0,8.0,10.0,18.0,9.0,1.0,1.0,3.0,5.0,90.0,40.0,6.6,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11877066,home,Gillingham,Cheye Alexander,,,cheye-alexander,C. Alexander,D,,180,4,M,775097,EUR,789350400,D,2,2,False,11.0,10.0,2.0,1.0,5.0,5.0,5.0,6.0,1.0,,2.0,,,60.0,22.0,6.4,4.0,0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11877066,home,Gillingham,Conor Masterson,,,conor-masterson,C. Masterson,D,4,185,78,M,828581,EUR,905212800,D,4,4,False,28.0,25.0,4.0,4.0,17.0,17.0,8.0,12.0,6.0,,2.0,,,90.0,45.0,6.6,7.0,1,,,,7.0,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
11877066,home,Gillingham,Max Ehmer,,,max-ehmer,M. Ehmer,D,5,188,8,M,144209,EUR,697075200,D,5,5,False,31.0,24.0,7.0,2.0,21.0,22.0,3.0,9.0,,,,,,90.0,44.0,6.5,9.0,1,1.0,5.0,2.0,2.0,1.0,,,2.0,3.0,,3.0,1.0,1.0,True,1.0,1.0,1.0,1.0,,,,,,,,,,,
11877066,home,Gillingham,Shadrach Ogie,,,shadrach-ogie,S. Ogie,D,22,185,29,M,987348,EUR,998784000,D,22,22,False,39.0,26.0,11.0,3.0,16.0,19.0,10.0,20.0,7.0,,1.0,,,90.0,65.0,6.5,19.0,0,,5.0,2.0,5.0,2.0,,,,9.0,,,7.0,4.0,,1.0,,,2.0,2.0,,,,,,,,,,
11877066,home,Gillingham,Scott Malone,,,scott-malone,S. Malone,D,2,189,28,M,49736,EUR,669859200,D,13,13,False,19.0,12.0,4.0,1.0,3.0,3.0,11.0,23.0,5.0,,2.0,,,90.0,41.0,6.4,15.0,1,,2.0,,2.0,1.0,,7.0,1.0,5.0,,,4.0,3.0,,,1.0,,1.0,,2.0,1.0,,,,,,,,
11877066,home,Gillingham,Connor Mahoney,,,connor-mahoney,C. Mahoney,F,23,175,28,M,838912,EUR,855705600,M,23,23,False,22.0,12.0,4.0,2.0,3.0,6.0,13.0,25.0,3.0,,1.0,,,86.0,47.0,6.8,20.0,2,,6.0,2.0,1.0,,3.0,9.0,,4.0,2.0,1.0,2.0,1.0,,,,,1.0,1.0,4.0,4.0,1.0,1.0,,,,,,
11877066,home,Gillingham,Ethan Coleman,,,ethan-coleman,E. Coleman,M,6,188,19,M,970418,EUR,949017600,M,18,18,False,30.0,27.0,4.0,1.0,15.0,15.0,12.0,16.0,2.0,,1.0,,,90.0,44.0,6.9,5.0,1,3.0,8.0,2.0,,1.0,,1.0,1.0,9.0,1.0,2.0,8.0,4.0,,,,,3.0,,,,,,,,,,,
11877066,home,Gillingham,Dom Jefferies,,,dom-jefferies,D. Jefferies,M,16,179,20,M,994672,EUR,1022025600,M,11,11,False,19.0,15.0,2.0,1.0,10.0,11.0,5.0,9.0,6.0,,3.0,,,86.0,36.0,6.5,9.0,0,,4.0,2.0,2.0,3.0,1.0,1.0,,2.0,,,2.0,2.0,,1.0,,,1.0,,,,,,,,,,,
11877066,home,Gillingham,Ashley Nadesan,Ashley,Nadesan,ashley-nadesan,A. Nadesan,F,10,188,10,M,840597,EUR,788918400,F,10,10,False,8.0,6.0,,,3.0,4.0,3.0,4.0,1.0,,3.0,,,60.0,18.0,6.7,5.0,1,,1.0,1.0,1.0,,,,,3.0,1.0,,,,,,,,,3.0,,,,,,,,,,
