match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,player_sofascoreId,stat_aerialLost,stat_aerialWon,stat_outfielderBlock,stat_interceptionWon,stat_totalOffside,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,captain,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_shotOffTarget,stat_hitWoodwork,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_lastManTackle
14773672,away,Al-Fayha,Chris Smalling,,,chris-smalling,C. Smalling,D,5,192.0,1654,M,47741,EUR,627696000.0,D,5,5,False,53.0,47.0,7.0,2.0,0.0,33.0,35.0,14.0,18.0,2.0,2.0,,,90.0,59.0,6.6,6.0,0.00399833,158.97827295663,17.0,79.59,29.19,,0,,0.08,0.1,0.22,,,2.0,2.0,1.0,,1.0,,,,,1.0,,1.0,,1.0,,,31.247771184518,1.0,,1.0,1.0,,,,,,,,,,,,,,1.0
14773672,away,Al-Fayha,Mikel Villanueva,,,mikel-villanueva,M. Villanueva,D,17,192.0,345,M,836279,EUR,734745600.0,D,17,17,False,63.0,59.0,6.0,5.0,0.0,38.0,39.0,21.0,24.0,4.0,4.0,,,90.0,78.0,6.7,6.0,0.0135072,189.67426847142,24.0,36.435,16.17,,1,,0.16,0.05,-0.25,,,4.0,6.0,,,1.0,1.0,2.0,,1.0,,,3.0,2.0,,2.0,,,,,3.0,3.0,,,0.0764,,-0.32,,,,,1.0,,,,
14773672,away,Al-Fayha,Ahmed Bamasud,,,ahmed-bamasud,A. Bamasud,D,18,175.0,114,M,893197,EUR,816998400.0,D,18,18,False,38.0,31.0,5.0,3.0,0.0,13.0,16.0,18.0,22.0,,3.0,,,80.0,62.0,6.7,13.0,0.0153172,223.56332120647,22.0,100.695,48.825,,1,,-0.08,0.11,-0.35,,5.0,1.0,8.0,,1.0,1.0,1.0,1.0,3.0,,,,,,,2.0,,94.931054665549,3.0,,4.0,4.0,,,0.0324,,-0.01,1.0,,,,1.0,,,,
14773672,away,Al-Fayha,Alfa Semedo,,,alfa-semedo,A. Semedo,M,30,190.0,367,M,887343,EUR,872899200.0,M,30,30,False,61.0,55.0,5.0,3.0,0.0,27.0,30.0,28.0,31.0,,6.0,,,90.0,72.0,6.5,11.0,0.0256156,219.14370860725,26.0,50.925,23.625,,1,,0.06,0.13,-0.12,,,5.0,3.0,1.0,3.0,,,,1.0,,1.0,,,1.0,1.0,,,23.707159446041,1.0,,2.0,1.0,,,0.0864,,-0.2,,,,1.0,1.0,,1.0,,
14773672,away,Al-Fayha,Rayan Enad,Rayan Enad,,rayan-enad,R. Enad,M,77,170.0,21,M,1549104,EUR,977702400.0,M,77,77,False,24.0,20.0,,,0.0,5.0,6.0,15.0,18.0,2.0,2.0,,,65.0,34.0,6.2,9.0,0.10093,103.36080736501,17.0,73.92,11.025,,0,,0.14,0.14,-0.22,,4.0,5.0,2.0,2.0,,1.0,,2.0,,2.0,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,
14773672,away,Al-Fayha,Mansour Al Bishi,,,mansour-al-bishi,M. A. Bishi,M,14,168.0,20,M,982351,EUR,956534400.0,M,14,14,False,17.0,14.0,,,0.0,6.0,7.0,8.0,10.0,1.0,4.0,,,65.0,27.0,6.4,4.0,0.00394716,51.225878419673,5.0,-12.18,11.025,,0,,-0.12,-0.08,-0.1,,,2.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14773672,away,Al-Fayha,Yassine Benzia,,,yassine-benzia,Y. Benzia,M,8,181.0,9531,M,155718,EUR,778982400.0,M,8,8,False,95.0,83.0,9.0,8.0,0.0,34.0,36.0,49.0,59.0,,7.0,,,90.0,106.0,7.1,15.0,0.0501428,321.11690551604,39.0,146.16,22.575,,1,,-0.13,0.31,-0.13,,1.0,3.0,5.0,1.0,,1.0,1.0,1.0,2.0,1.0,,benzia9,,2.0,,,,38.479801896383,2.0,,1.0,,,,0.0119,,-0.02,,,1.0,,,,,,
14773672,away,Al-Fayha,Nawwaf Al Harthi,,,nawwaf-al-harthi,N. A. Harthi,M,7,169.0,18,M,948046,EUR,908150400.0,M,7,7,False,19.0,16.0,,,0.0,8.0,9.0,8.0,10.0,1.0,2.0,,,80.0,31.0,6.1,9.0,0.0248763,101.4604217415,10.0,48.3,17.955,,1,,-0.14,0.1,-0.16,,1.0,6.0,2.0,2.0,1.0,1.0,1.0,4.0,,2.0,,,1.0,,,1.0,,37.485316064356,2.0,,1.0,1.0,,,0.0967,,-0.28,,,,,1.0,1.0,,,
14773672,away,Al-Fayha,Jason,,,jason,Jason,M,23,179.0,257,M,330677,EUR,773452800.0,F,23,23,False,32.0,23.0,3.0,1.0,0.0,6.0,7.0,17.0,25.0,,,,,89.0,46.0,6.6,15.0,0.117775,74.443138859024,14.0,16.17,9.03,,2,,-0.28,0.1,-0.11,,2.0,3.0,5.0,2.0,1.0,,,4.0,3.0,,1.0,,,1.0,,,,,,,1.0,1.0,1.0,,0.1439,0.2925,0.02,1.0,1.0,1.0,,,,,,
14773672,away,Al-Fayha,Stylianos Vrontis,Stylianos Vrontis,,stylianos-vrontis,S. Vrontis,M,19,180.0,86,M,1147366,EUR,1099612800.0,M,19,19,True,6.0,5.0,,,0.0,5.0,5.0,,1.0,,1.0,,,25.0,12.0,6.4,4.0,0.00018904,6.3939971848602,1.0,-3.36,-3.36,,0,,-0.1,-0.02,-0.01,,,3.0,1.0,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14773672,away,Al-Fayha,Sabri Abdu Dahal,Sabri Abdu Dahal,,sabri-abdu-dahal,S. A. Dahal,F,72,172.0,88,M,1935210,EUR,1204243200.0,F,72,72,True,4.0,4.0,2.0,2.0,0.0,1.0,1.0,3.0,3.0,,2.0,,,25.0,10.0,6.7,2.0,0.0410147,28.790918813026,3.0,28.035,13.86,,0,,0.09,-0.14,0.15,,2.0,2.0,2.0,,,2.0,1.0,,,,1.0,,1.0,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,
14773672,away,Al-Fayha,Khalid Al Rammah,Khalid Al Rammah,,khalid-al-rammah,K. A. Rammah,D,75,,16,M,1542651,EUR,1114819200.0,D,75,75,True,5.0,4.0,,,0.0,,,4.0,5.0,1.0,,,,10.0,9.0,6.5,2.0,0.00113824,10.133531237718,2.0,10.08,6.51,,0,,-0.05,-0.02,0.0,,,2.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
14773672,away,Al-Fayha,Malek Al Abdulmonam,,,malek-al-abdulmonam,M. A. Abdulmonam,F,9,174.0,23,M,1017888,EUR,889315200.0,F,9,9,True,1.0,1.0,,,0.0,1.0,1.0,,,,1.0,,,10.0,3.0,6.4,1.0,1.95e-06,52.286813825285,1.0,26.25,26.25,,0,,0.0,0.02,0.13,,,2.0,,,1.0,,,,,,,,1.0,,,,1.0,52.286813825285,1.0,,,,,,,,,,,,,,,,,
14773672,away,Al-Fayha,Saikou Adam Secka,Saikou Secka,,saikou-secka,S. Secka,F,59,,11,M,2424210,EUR,,F,59,59,True,,,,,0.0,,,,,,,,,1.0,2.0,,1.0,,3.3982997219198,1.0,1.155,1.155,,1,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.0418,,,,,,,1.0,,,,
14773672,away,Al-Fayha,Abdulraoof Al-Deqeel,,,abdulraoof-al-deqeel,A. Al-Deqeel,G,1,180.0,5,M,868411,EUR,807494400.0,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14773672,away,Al-Fayha,Mokher Al-Rashidi,,,mokher-al-rashidi,M. Al-Rashidi,D,2,170.0,16,M,921767,EUR,927158400.0,D,2,2,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14773672,away,Al-Fayha,Ziyad Al-Sahafi,,,ziyad-al-sahafi,Z. Al-Sahafi,D,21,182.0,36,M,831259,EUR,782352000.0,D,21,21,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14773672,away,Al-Fayha,Rakan Kaabi,Rakan Kaabi,,rakan-kaabi,R. Kaabi,M,6,170.0,25,M,1171233,EUR,1038787200.0,M,6,6,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
