match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_totalContest,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_goodHighClaim,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_sofascoreId,stat_totalCross,stat_duelWon,stat_challengeLost,stat_wonContest,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_outfielderBlock,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_aerialWon,stat_dispossessed,stat_blockedScoringAttempt,stat_interceptionWon,stat_expectedGoals,stat_shotValueNormalized,captain,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_expectedGoalsOnTarget,stat_accurateCross,stat_bigChanceMissed,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_goals
14607840,home,KRC Genk,Tobias Okiki Lawal,,,tobias-okiki-lawal,T. O. Lawal,G,26,195,270,M,990025,EUR,960336000,G,26,26,False,31.0,30.0,5.0,5.0,0.0,28.0,29.0,2.0,2.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,90.0,39.0,7.2,2.0,0.0038521,0.1559,0,-0.1293,0.07,-0.39,-0.15,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14607840,home,KRC Genk,Zakaria El Ouahdi,,,zakaria-el-ouahdi,Z. E. Ouahdi,D,77,172,3909,M,1134470,EUR,1009756800,D,77,77,False,45.0,42.0,4.0,4.0,0.0,12.0,12.0,30.0,33.0,4.0,2.0,3.0,7.0,,,,,,,90.0,67.0,6.8,9.0,0.176291,,0,,0.33,0.16,-0.17,,z.elouahdi,2.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,
14607840,home,KRC Genk,Mujaid Sadick,,,mujaid-sadick,M. Sadick,D,3,185,237,M,935309,EUR,952992000,D,3,3,False,80.0,79.0,3.0,3.0,0.0,42.0,42.0,37.0,38.0,2.0,,4.0,6.0,,,,,,,90.0,91.0,7.4,2.0,0.0183403,,0,,0.27,0.3,0.87,,,,2.0,,,1.0,,1.0,,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,
14607840,home,KRC Genk,Matte Smets,,,smets-matte,M. Smets,D,6,184,963,M,1392905,EUR,1073174400,D,6,6,False,93.0,85.0,15.0,10.0,0.0,35.0,37.0,50.0,56.0,3.0,,6.0,8.0,,,,,,,90.0,104.0,7.5,9.0,0.089307,,0,,0.44,0.21,0.14,,,,4.0,,,1.0,,,,3.0,1.0,,,,4.0,,,,,,,,,,,,,,,
14607840,home,KRC Genk,Joris Kayembe,,,joris-kayembe-ditu,J. Kayembe,D,18,180,4977,M,354046,EUR,776304000,D,18,18,False,64.0,49.0,3.0,2.0,0.0,19.0,23.0,30.0,41.0,2.0,1.0,1.0,4.0,,,,,,,77.0,94.0,6.2,23.0,0.0225851,,1,,-0.25,0.01,-0.21,,joriskayembe23,5.0,2.0,,1.0,1.0,1.0,,,1.0,,,,,,1.0,1.0,1.0,0.0387,-0.08,,,,,,,,,,
14607840,home,KRC Genk,Ibrahima Sory Bangoura,,,ibrahima-sory-bangoura,I. S. Bangoura,M,21,190,620,M,1396027,EUR,1073260800,M,21,21,False,29.0,28.0,2.0,1.0,0.0,15.0,15.0,13.0,14.0,5.0,,2.0,5.0,,,,,,,62.0,36.0,6.5,3.0,0.0129676,,0,,0.08,0.0,0.17,,,,2.0,,,1.0,,2.0,1.0,2.0,1.0,,,,2.0,1.0,,,,,,,,,,,,,,
14607840,home,KRC Genk,Bryan Heynen,,,heynen-bryan,B. Heynen,M,8,181,436,M,801025,EUR,855187200,M,8,8,False,90.0,76.0,12.0,8.0,0.0,32.0,32.0,44.0,58.0,12.0,2.0,1.0,5.0,,,,,,,90.0,117.0,7.1,21.0,0.103284,,3,,0.4,0.25,-0.1,,,2.0,11.0,2.0,2.0,2.0,1.0,3.0,2.0,4.0,,,4.0,3.0,4.0,3.0,,,0.2126,-0.53,True,2.0,1.0,1.0,0.1754,,,,,
14607840,home,KRC Genk,Junya Ito,,,junya-ito,J. Ito,M,10,176,4884,M,783278,EUR,731635200,M,10,10,False,23.0,19.0,2.0,1.0,0.0,5.0,5.0,14.0,18.0,7.0,1.0,,3.0,,,,,,,62.0,38.0,7.0,10.0,0.113319,,2,,0.22,0.2,-0.14,,ItouJky,2.0,3.0,2.0,,2.0,,2.0,1.0,,,,2.0,1.0,1.0,2.0,1.0,1.0,0.0679,-0.09,,1.0,,,,1.0,,,,
14607840,home,KRC Genk,Jarne Steuckers,,,steuckers-jarne,J. Steuckers,M,7,179,987,M,1099462,EUR,1012780800,M,7,7,False,49.0,42.0,7.0,4.0,0.0,12.0,12.0,30.0,37.0,2.0,2.0,,1.0,,,,,,,90.0,78.0,7.8,25.0,0.405266,,0,,0.82,0.09,-0.08,,,19.0,2.0,,2.0,2.0,,,4.0,,,,,,,2.0,,,,,,,,,,5.0,,,,
14607840,home,KRC Genk,Noah Adedeji-Sternberg,Noah Adedeji-Sternberg,,noah-adedeji-sternberg,N. Adedeji-Sternberg,M,32,182,619,M,1512197,EUR,1119139200,M,32,32,False,45.0,33.0,,,0.0,7.0,7.0,26.0,38.0,7.0,7.0,,5.0,,,,,,,89.0,81.0,7.8,27.0,0.185953,,2,,0.03,0.39,-0.03,,,6.0,18.0,,3.0,3.0,7.0,1.0,,1.0,,,4.0,2.0,4.0,1.0,1.0,,0.0928,-0.25,,,1.0,,0.3125,,,,,
14607840,home,KRC Genk,Hyun-gyu Oh,,,hyun-gyu-oh,H. Oh,F,9,185,4405,M,1010634,EUR,987033600,F,9,9,False,2.0,2.0,,,0.0,,,2.0,2.0,3.0,,,,,,,,,,62.0,9.0,6.3,3.0,0.0101211,,2,,0.06,0.06,0.0,,,,,,,2.0,,,,2.0,,,,,,1.0,1.0,,0.3312,0.12,,,1.0,,0.2567,,1.0,1.0,,
14607840,home,KRC Genk,Patrik Hrošovský,,,patrik-hrosovsky,P. Hrošovský,M,17,172,366,M,198282,EUR,703900800,M,17,17,True,18.0,17.0,1.0,1.0,0.0,3.0,3.0,14.0,15.0,,,,,,,,,,,28.0,28.0,6.8,4.0,0.0431696,,5,,0.21,0.22,0.0,,,3.0,,,,,,,,,,,,,,,4.0,,0.1884,-0.24,,1.0,,,,,,,,
14607840,home,KRC Genk,Robin Mirisola,,,robin-mirisola,R. Mirisola,F,29,182,303,M,1405446,EUR,1165536000,F,29,29,True,5.0,2.0,1.0,,0.0,1.0,1.0,1.0,4.0,1.0,,,,,,,,,,28.0,6.0,6.3,4.0,0.00457945,,0,,-0.22,0.01,-0.01,,,,1.0,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
