match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_aerialLost,stat_aerialWon,captain,stat_totalContest,stat_onTargetScoringAttempt,stat_goals,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_totalCross,stat_dispossessed,stat_shotOffTarget,stat_accurateCross,stat_bigChanceCreated,stat_hitWoodwork,stat_keyPass,stat_wonContest,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_totalOffside
11406722,home,Juventus,Mattia Perin,mattia-perin,M. Perin,G,1,188,3256,M,79645,EUR,721353600,G,36,36,False,13.0,10.0,3.0,0.0,10.0,11.0,2.0,3.0,1.0,1.0,45.0,14.0,6.7,3.0,3.755e-05,0,0.0563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406722,home,Juventus,Danilo,danilo,Danilo,D,13,184,15175,M,124992,EUR,679536000,D,6,6,False,54.0,47.0,9.0,0.0,37.0,41.0,13.0,7.0,,,90.0,74.0,7.6,9.0,0.0163465,0,,Danilo,8.0,10.0,2.0,4.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11406722,home,Juventus,Daniele Rugani,daniele-rugani,D. Rugani,D,24,188,2117,M,139273,EUR,775440000,D,24,24,False,36.0,34.0,,0.0,31.0,32.0,4.0,2.0,,,90.0,45.0,6.9,2.0,0.00098394,0,,,,3.0,8.0,2.0,,3.0,,1.0,1.0,1.0,,3.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,
11406722,home,Juventus,Alex Sandro,alex-sandro,A. Sandro,D,26,181,13242,M,84854,EUR,664848000,D,12,12,False,46.0,43.0,4.0,0.0,26.0,27.0,19.0,1.0,,,74.0,62.0,7.8,5.0,0.00688215,1,,alxsndro12,3.0,17.0,3.0,5.0,,4.0,,3.0,2.0,1.0,1.0,2.0,,2.0,True,1.0,1.0,1.0,1.0,0.1538,0.5219,,,,,,,,,,,,,
11406722,home,Juventus,Timothy Weah,weah-timothy,T. Weah,M,22,185,11671,M,855810,EUR,951177600,M,22,22,False,33.0,24.0,3.0,0.0,16.0,20.0,14.0,3.0,,,90.0,43.0,6.4,12.0,0.00666098,0,,timothyweah,1.0,8.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,
11406722,home,Juventus,Carlos Alcaraz,carlos-alcaraz,C. Alcaraz,M,24,183,6146,M,1017392,EUR,1038614400,M,26,26,False,41.0,39.0,3.0,0.0,20.0,21.0,20.0,4.0,,,90.0,58.0,7.3,4.0,0.0149612,2,,_alcaraz22,3.0,19.0,4.0,3.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,0.0385,,,,,1.0,2.0,,,,,,,,
11406722,home,Juventus,Nicolò Fagioli,nicolo-fagioli,N. Fagioli,M,44,178,4280,M,901850,EUR,981936000,M,21,21,False,31.0,28.0,3.0,1.0,20.0,20.0,12.0,5.0,,,79.0,39.0,7.7,5.0,0.534837,1,,nicolofagioli,2.0,9.0,2.0,,1.0,1.0,,1.0,,,,1.0,,,,,,,2.0,0.099,,,,1.0,,1.0,1.0,2.0,1.0,2.0,,,,
11406722,home,Juventus,Samuel Iling Junior,samuel-iling-junior,S. I. Junior,F,19,182,2419,M,996919,EUR,1065225600,M,17,17,False,31.0,26.0,3.0,0.0,15.0,16.0,17.0,3.0,,,90.0,50.0,7.2,9.0,0.0340076,0,,,1.0,12.0,4.0,3.0,1.0,2.0,3.0,1.0,,,,1.0,,1.0,,2.0,,,1.0,,,,,2.0,2.0,,1.0,,,2.0,2.0,,,
11406722,home,Juventus,Federico Chiesa,federico-chiesa,F. Chiesa,F,14,175,40294,M,845386,EUR,877737600,F,7,7,False,16.0,13.0,2.0,0.0,4.0,4.0,12.0,2.0,,,90.0,38.0,7.4,12.0,0.0321068,4,,FedeChiesa,2.0,9.0,9.0,6.0,1.0,,,,3.0,2.0,2.0,1.0,,,,4.0,2.0,1.0,1.0,0.3898,0.4742,,,,4.0,1.0,,1.0,1.0,3.0,1.0,1.0,1.0,
11406722,home,Juventus,Arkadiusz Milik,arkadiusz-milik,A. Milik,F,14,186,14230,M,161325,EUR,762393600,F,14,14,False,15.0,11.0,,0.0,5.0,7.0,8.0,,,,73.0,28.0,6.7,9.0,0.0130909,2,,arekmilik,,6.0,5.0,5.0,,,,,1.0,1.0,3.0,1.0,1.0,1.0,,1.0,,,2.0,0.0695,,,,,2.0,,,,,2.0,,,2.0,
