match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keyPass,stat_totalShots,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_challengeLost,stat_shotOffTarget,stat_accurateCross,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_aerialLost,stat_totalOffside,stat_blockedScoringAttempt,stat_outfielderBlock,captain,stat_onTargetScoringAttempt,stat_bigChanceMissed,stat_bigChanceCreated,stat_punches,player_sofascoreId,stat_goalAssist,stat_goals
10913360,home,Abha,Devis Epassy,,,devis-epassy,D. Epassy,G,1,187,1481,M,362758,EUR,728611200,G,16,16,False,37.0,29.0,19.0,11.0,23.0,25.0,6.0,12.0,1.0,6.0,1.0,1.0,4.0,1.0,1.0,90.0,47.0,6.2,8.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913360,home,Abha,Fahad Bin Jumayah,,,fahad-bin-jumayah,F. B. Jumayah,D,14,170,22,M,893514,EUR,800064000,D,14,14,False,29.0,25.0,4.0,3.0,11.0,12.0,14.0,18.0,,5.0,,,,,,81.0,46.0,6.7,8.0,,0,1.0,1.0,2.0,7.0,1.0,3.0,2.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,
10913360,home,Abha,Zakaria Al-Sudani,,,zakaria-al-sudani,Z. Al-Sudani,M,,183,5,M,328851,EUR,712195200,D,21,21,False,56.0,53.0,5.0,4.0,38.0,39.0,15.0,17.0,4.0,5.0,,,,,,90.0,61.0,6.3,3.0,,1,,1.0,2.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10913360,home,Abha,Amine Attouchi,,,amine-attouchi,A. Atouchi,D,,186,95,M,866170,EUR,709948800,D,19,19,False,48.0,43.0,4.0,1.0,23.0,25.0,21.0,24.0,3.0,5.0,,,,,,90.0,58.0,6.2,6.0,1.0,0,1.0,,2.0,1.0,,2.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
10913360,home,Abha,Mohammed Al-Konaideri,,,mohammed-al-konaideri,M. Al-Konaideri,D,12,175,21,M,1019340,EUR,971222400,D,13,13,False,29.0,27.0,2.0,2.0,10.0,11.0,17.0,19.0,1.0,3.0,,,,,,90.0,40.0,6.2,5.0,,0,1.0,,4.0,2.0,,,1.0,1.0,1.0,,2.0,,,1.0,,,1.0,,,,,,,,,,,
10913360,home,Abha,Saad Al-Salouli,,,saad-alselouli,S. Al-Salouli,M,24,168,15,M,917266,EUR,896054400,M,88,88,False,21.0,15.0,2.0,1.0,3.0,4.0,12.0,17.0,2.0,4.0,,,,,,63.0,40.0,6.5,12.0,1.0,0,,,4.0,7.0,2.0,,,,6.0,,1.0,,,2.0,1.0,3.0,,1.0,,,,,,,,,,
10913360,home,Abha,Dries Saddiki,,,dries-saddiki,D. Saddiki,M,17,179,158,M,795133,EUR,839548800,M,34,34,False,42.0,39.0,1.0,,15.0,16.0,24.0,26.0,,4.0,,,,,,90.0,50.0,6.5,5.0,,1,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,1.0,,,1.0,2.0,,,,,,,,
10913360,home,Abha,Saad Bguir,Saad,Bguir,bguir-saad,S. Bguir,M,18,178,637,M,563030,EUR,764294400,M,10,10,False,50.0,39.0,6.0,3.0,11.0,12.0,30.0,47.0,,6.0,,,,,,90.0,72.0,7.1,23.0,2.0,3,9.0,,2.0,4.0,,,,,4.0,1.0,,1.0,2.0,,,3.0,1.0,,1.0,,True,1.0,,,,,,
10913360,home,Abha,Uroš Matić,,,uros-matic,U. Matić,M,,185,66,M,63273,EUR,643420800,M,8,8,False,30.0,26.0,,,13.0,14.0,13.0,16.0,1.0,6.0,,,,,,90.0,34.0,6.4,6.0,,0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
10913360,home,Abha,Saleh Al-Amri,,,saleh-al-amri,S. Al-Amri,M,93,176,147,M,791578,EUR,750556800,M,7,7,False,37.0,30.0,5.0,3.0,8.0,8.0,23.0,35.0,,2.0,,,,,,90.0,55.0,7.1,16.0,3.0,1,6.0,,2.0,3.0,,,,,1.0,1.0,1.0,,1.0,2.0,2.0,4.0,,1.0,,,,1.0,,,,,,
