match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_penaltyWon,stat_aerialLost,stat_challengeLost,stat_keyPass,stat_interceptionWon,stat_totalCross,stat_shotOffTarget,stat_clearanceOffLine,stat_unsuccessfulTouch,captain,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_accurateCross,stat_totalOffside,player_firstName,player_lastName,stat_hitWoodwork,stat_bigChanceMissed,stat_penaltyMiss,stat_goals,player_sofascoreId,stat_penaltyConceded,stat_penaltySave,stat_penaltyFaced,stat_goalAssist
10434005,home,Adana Demirspor,Ertaç Özbir,ertac-ozbir,E. Özbir,G,186,92,M,126077,EUR,625276800,G,25,25,False,37.0,18.0,19.0,3.0,16.0,24.0,2.0,13.0,1.0,1.0,1.0,14.0,1.0,2.0,3.0,2.0,2.0,90.0,49.0,6.8,19.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10434005,home,Adana Demirspor,Jonas Svensson,jonas-svensson,J. Svensson,D,170,1475,M,98199,EUR,731376000,D,22,22,False,31.0,21.0,1.0,,10.0,17.0,11.0,14.0,1.0,6.0,6.0,5.0,,,,,,90.0,63.0,7.3,16.0,1,71,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10434005,home,Adana Demirspor,Mert Çetin,mert-cetin,M. Çetin,D,189,161,M,858148,EUR,852076800,D,45,45,False,24.0,18.0,4.0,1.0,15.0,17.0,3.0,7.0,2.0,5.0,6.0,7.0,,,,,,90.0,33.0,6.6,6.0,0,4,5.0,,1.0,1.0,,,2.0,1.0,,2.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
10434005,home,Adana Demirspor,Semih Güler,semih-guler,S. Güler,D,184,112,M,325155,EUR,786153600,D,4,4,False,39.0,27.0,13.0,5.0,19.0,20.0,8.0,19.0,4.0,5.0,4.0,4.0,,,,,,90.0,49.0,6.8,12.0,0,6,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
10434005,home,Adana Demirspor,Kévin Rodrigues,kevin-rodrigues,K. Rodrigues,D,169,248,M,234232,EUR,762825600,D,77,77,False,32.0,17.0,3.0,2.0,11.0,15.0,6.0,21.0,2.0,9.0,10.0,10.0,,,,,,90.0,70.0,7.9,24.0,2,77,5.0,,2.0,,1.0,1.0,6.0,6.0,1.0,,,,3.0,1.0,3.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10434005,home,Adana Demirspor,Benjamin Stambouli,benjamin-stambouli,B. Stambouli,M,180,161,M,105951,EUR,650505600,M,90,90,False,39.0,27.0,2.0,,17.0,20.0,10.0,20.0,1.0,4.0,1.0,6.0,,,,,,90.0,54.0,6.7,18.0,0,21,9.0,2.0,1.0,,,2.0,3.0,,,2.0,,3.0,1.0,,1.0,1.0,,,1.0,True,,,,,,,,,,,,,,,
10434005,home,Adana Demirspor,Badou Ndiaye,badou-ndiaye,B. Ndiaye,M,180,427,M,228342,EUR,656985600,M,17,17,False,22.0,18.0,3.0,1.0,8.0,8.0,10.0,14.0,2.0,10.0,1.0,7.0,,,,,,90.0,40.0,7.9,6.0,4,,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,5.0,,,1.0,,3.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,
10434005,home,Adana Demirspor,Babajide David Akintola,babajide-david-akintola,D. Babajide,M,178,297,M,798676,EUR,821491200,M,11,11,False,20.0,17.0,2.0,1.0,6.0,6.0,13.0,16.0,,11.0,3.0,5.0,,,,,,90.0,51.0,8.0,8.0,4,11,8.0,1.0,8.0,6.0,1.0,3.0,3.0,2.0,2.0,3.0,,2.0,,1.0,,2.0,,,2.0,,,3.0,2.0,1.0,,,,,,,,,,,
10434005,home,Adana Demirspor,Emre Akbaba,emre-akbaba,E. Akbaba,M,180,414,M,343527,EUR,718156800,M,20,20,False,25.0,16.0,4.0,2.0,5.0,7.0,13.0,23.0,,1.0,,2.0,,,,,,78.0,39.0,7.4,16.0,2,8,8.0,1.0,1.0,,,,1.0,,,2.0,,2.0,3.0,5.0,,5.0,2.0,,2.0,,1.0,,2.0,1.0,,,1.0,,,,,,,,
10434005,home,Adana Demirspor,Younès Belhanda,younes-belhanda,Y. Belhanda,M,177,1189,M,72999,EUR,635904000,M,10,10,False,31.0,26.0,2.0,1.0,14.0,14.0,12.0,17.0,1.0,6.0,2.0,9.0,,,,,,78.0,50.0,6.7,9.0,2,10,4.0,3.0,,,,2.0,2.0,2.0,3.0,,,1.0,,2.0,,,,,1.0,,,2.0,,,Younès,Belhanda,1.0,1.0,1.0,,,,,,
