match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelWon,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_totalTackle,stat_wonTackle,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,player_firstName,player_lastName,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_unsuccessfulTouch,stat_shotOffTarget,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork,player_sofascoreId,captain,stat_savedShotsFromInsideTheBox,stat_totalOffside
11352313,home,Brentford,Mark Flekken,mark-flekken,M. Flekken,G,1,194.0,2856,M,171919,EUR,739929600,G,1,1,False,48.0,38.0,20.0,11.0,31.0,33.0,7.0,15.0,1.0,6.0,1.0,1.0,1.0,90.0,54.0,6.5,11.0,0.0033287,0,-1.0957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352313,home,Brentford,Nathan Collins,nathan-collins,N. Collins,D,22,193.0,1556,M,958916,EUR,988588800,D,22,22,False,49.0,39.0,5.0,1.0,30.0,34.0,9.0,15.0,4.0,4.0,,,,90.0,67.0,6.6,10.0,0.0101918,0,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352313,home,Brentford,Ethan Pinnock,ethan-pinnock,E. Pinnock,D,5,194.0,1052,M,855864,EUR,738633600,D,5,5,False,50.0,39.0,3.0,2.0,34.0,43.0,5.0,7.0,6.0,3.0,,,,90.0,61.0,6.8,11.0,0.0612405,0,,4.0,6.0,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352313,home,Brentford,Ben Mee,ben-mee,B. Mee,D,15,180.0,577,M,137774,EUR,622339200,D,16,16,False,49.0,38.0,10.0,6.0,21.0,22.0,17.0,27.0,5.0,7.0,,,,90.0,74.0,8.0,12.0,0.00836256,2,,5.0,9.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.1277,0.1975,1.0,,,,,,,,,,,,,,,
11352313,home,Brentford,Mads Roerslev,mads-roerslev,M. Roerslev,D,2,184.0,428,M,826057,EUR,930182400,M,30,30,False,32.0,18.0,3.0,1.0,7.0,12.0,12.0,25.0,4.0,2.0,,,,89.0,55.0,6.9,22.0,0.0278338,0,,1.0,5.0,,1.0,,2.0,1.0,1.0,5.0,1.0,2.0,2.0,,,,2.0,,,1.0,Mads,Roerslev,1.0,5.0,1.0,1.0,2.0,,,,,,,,
11352313,home,Brentford,Mikkel Damsgaard,damsgaard-mikkel,M. Damsgaard,M,24,180.0,3593,M,907072,EUR,962582400,M,24,24,False,32.0,19.0,2.0,,6.0,9.0,13.0,24.0,,5.0,,,,74.0,41.0,6.4,14.0,0.00924887,0,,2.0,4.0,,2.0,2.0,,,1.0,6.0,4.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,
11352313,home,Brentford,Vitaly Janelt,vitaly-janelt,V. Janelt,M,27,184.0,1191,M,814873,EUR,894758400,M,27,27,False,61.0,51.0,8.0,4.0,33.0,37.0,18.0,24.0,2.0,6.0,,,,90.0,72.0,7.2,10.0,0.0114845,1,,1.0,3.0,,3.0,,1.0,1.0,1.0,4.0,2.0,1.0,1.0,,,,1.0,0.052,,1.0,,,,,,,,1.0,,,,,,,
11352313,home,Brentford,Mathias Jensen,mathias-jensen,M. Jensen,M,8,180.0,1047,M,799251,EUR,820454400,M,8,8,False,44.0,43.0,5.0,4.0,25.0,25.0,22.0,26.0,,4.0,,,,89.0,67.0,7.3,9.0,0.390795,1,,,1.0,1.0,,,1.0,,1.0,9.0,4.0,1.0,,1.0,,,1.0,0.0306,0.0326,2.0,,,1.0,7.0,4.0,2.0,,,1.0,,,,,,
11352313,home,Brentford,Keane Lewis-Potter,keane-lewis-potter,K. Lewis-Potter,D,23,170.0,1089,M,972421,EUR,982800000,M,23,23,False,15.0,10.0,2.0,,3.0,4.0,7.0,11.0,1.0,1.0,,,,89.0,27.0,6.4,7.0,0.00686738,3,,,3.0,,1.0,1.0,2.0,2.0,2.0,3.0,,,,1.0,,,,0.5919,0.234,,,,,,,1.0,1.0,2.0,,2.0,1.0,,,,
11352313,home,Brentford,Neal Maupay,neal-maupay,N. Maupay,F,17,171.0,2370,M,268903,EUR,839980800,F,7,7,False,15.0,11.0,,,7.0,9.0,4.0,6.0,,2.0,,,,74.0,27.0,7.2,8.0,0.0223951,2,,1.0,5.0,,,2.0,2.0,1.0,2.0,6.0,1.0,2.0,,1.0,1.0,1.0,,0.2679,0.4567,,,,,,,1.0,1.0,,,,,,,,
