match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_interceptionWon,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_shotOffTarget,player_sofascoreId,captain,stat_unsuccessfulTouch,stat_blockedScoringAttempt,player_lastName,stat_dispossessed,stat_aerialLost,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_goodHighClaim,stat_outfielderBlock
12544942,home,Al-Qadsiah,Koen Casteels,koen-casteels,K. Casteels,G,1,197.0,1420,M,70987,EUR,709430400,G,1,1,False,16.0,13.0,6.0,3.0,0.0,13.0,13.0,3.0,2.0,7.0,1.0,3.0,1.0,90.0,25.0,7.3,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12544942,home,Al-Qadsiah,Mohammed Abu Al-Shamat,mohammed-waheeb-abu-al-shamat,M. A. Al-Shamat,M,2,170.0,199,M,1804369,EUR,1029024000,D,2,2,False,39.0,30.0,3.0,1.0,1.0,14.0,17.0,27.0,2.0,3.0,,,,90.0,65.0,8.3,13.0,0,Mohammed Waheeb Abu Al-Shamat,17.0,5.0,1.0,2.0,3.0,10.0,2.0,3.0,3.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,
12544942,home,Al-Qadsiah,Jehad Thakri,thakri-jehad,J. Thakri,D,4,184.0,259,M,1845169,EUR,995673600,D,4,4,False,26.0,24.0,4.0,3.0,0.0,17.0,17.0,9.0,3.0,1.0,,,,90.0,37.0,7.4,2.0,1,,7.0,,,,,3.0,,,,,2.0,,3.0,2.0,,,,1.0,,,,,,,,,,,,,
12544942,home,Al-Qadsiah,Nacho Fernández,nacho-fernandez,N. Fernández,D,6,180.0,14931,M,69404,EUR,632620800,D,6,6,False,33.0,31.0,,,0.0,22.0,23.0,10.0,5.0,4.0,,,,90.0,42.0,7.0,4.0,0,,9.0,,,2.0,1.0,2.0,,,,,1.0,,,,,1.0,,,nachofdez90,True,2.0,,,,,,,,,,
12544942,home,Al-Qadsiah,Gastón Álvarez,gaston-alvarez,G. Álvarez,D,17,184.0,492,M,980578,EUR,953856000,D,17,17,False,23.0,20.0,1.0,1.0,0.0,9.0,9.0,15.0,1.0,4.0,,,,67.0,36.0,6.9,6.0,0,,11.0,1.0,,1.0,5.0,5.0,,2.0,1.0,,,,2.0,2.0,1.0,4.0,,,,,1.0,,,,,,,,,,
12544942,home,Al-Qadsiah,Nahitan Nández,nahitan-nandez,N. Nandez,M,8,175.0,1910,M,589620,EUR,820108800,M,8,8,False,63.0,54.0,11.0,5.0,0.0,16.0,19.0,54.0,,7.0,,,,90.0,82.0,7.6,16.0,1,,43.0,10.0,5.0,,5.0,4.0,2.0,1.0,,1.0,,,2.0,2.0,2.0,3.0,3.0,,,,1.0,1.0,,,,,,,,,
12544942,home,Al-Qadsiah,Ezequiel Fernández,ezequiel-fernandez,E. Fernández,M,6,178.0,5873,M,1003012,EUR,1027555200,M,5,5,False,56.0,52.0,4.0,3.0,0.0,24.0,25.0,31.0,,4.0,,,,90.0,69.0,6.6,11.0,1,,28.0,,,,8.0,4.0,1.0,2.0,,,,,3.0,2.0,1.0,2.0,1.0,1.0,equifernandez,,2.0,,,3.0,,,,,,,
12544942,home,Al-Qadsiah,Turki Al-Ammar,turki-al-ammar,T. Al-Ammar,M,7,170.0,151,M,965177,EUR,938044800,M,7,7,False,12.0,9.0,,,1.0,4.0,5.0,11.0,,2.0,,,,66.0,26.0,7.3,9.0,3,,6.0,4.0,1.0,,1.0,3.0,,3.0,3.0,,,,,,,,1.0,2.0,,,2.0,1.0,,1.0,,,,,,,
12544942,home,Al-Qadsiah,Husain Al-Qahtani,husain-al-monassar,H. Al-Qahtani,M,52,177.0,32,M,893218,EUR,787881600,M,15,15,False,29.0,27.0,3.0,3.0,0.0,6.0,6.0,23.0,,4.0,,,,67.0,41.0,7.4,4.0,0,,21.0,,,,2.0,6.0,1.0,1.0,1.0,,1.0,,5.0,3.0,,1.0,1.0,,,,2.0,,,,,,,,,,
12544942,home,Al-Qadsiah,Julián Quiñones,julian-quinones,J. Quiñones,F,33,180.0,6539,M,843114,EUR,859161600,M,33,33,False,35.0,31.0,2.0,2.0,0.0,11.0,13.0,22.0,,,,,,89.0,49.0,8.8,9.0,4,,20.0,,,2.0,5.0,5.0,,,,1.0,,,,,3.0,1.0,2.0,,julianquinones33,,1.0,1.0,,2.0,3.0,1.0,3.0,2.0,,,
