match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_aerialWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_outfielderBlock,stat_fouls,player_firstName,player_lastName,stat_dispossessed,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_ownGoals,player_sofascoreId,stat_goalAssist,stat_goals,stat_totalOffside
10411470,home,Hellas Verona,Lorenzo Montipò,lorenzo-montipo,L. Montipò,G,1,191,564,M,253391,EUR,820454400,G,1,1,False,30.0,17.0,29.0,16.0,5.0,6.0,12.0,24.0,1.0,7.0,1.0,4.0,5.0,1.0,90.0,39.0,5.8,13.0,0.0,0.0,0.00456802,0,-2.0351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411470,home,Hellas Verona,Davide Faraoni,davide-faraoni,D. Faraoni,D,19,180,300,M,32040,EUR,688348800,D,5,5,False,15.0,9.0,4.0,2.0,5.0,8.0,5.0,8.0,2.0,3.0,,,,,90.0,29.0,6.0,7.0,0.0244,0.0,0.0641038,1,,True,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10411470,home,Hellas Verona,Giangiacomo Magnani,giangiacomo-magnani,G. Magnani,D,96,190,252,M,812829,EUR,812764800,D,23,23,False,21.0,16.0,5.0,2.0,14.0,15.0,2.0,6.0,4.0,6.0,,,,,90.0,31.0,5.8,6.0,0.0,0.0,0.00333564,0,,,,,,1.0,4.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10411470,home,Hellas Verona,Isak Hien,hien-isak,I. Hien,D,4,191,2306,M,1157713,EUR,916185600,D,6,6,False,16.0,13.0,5.0,4.0,9.0,10.0,4.0,6.0,2.0,3.0,,,,,62.0,23.0,5.9,4.0,0.1164,0.0,0.00360869,1,,,,,,,1.0,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,
10411470,home,Hellas Verona,Federico Ceccherini,federico-ceccherini,F. Ceccherini,D,23,187,130,M,139410,EUR,705542400,D,17,17,False,27.0,18.0,3.0,,15.0,21.0,3.0,6.0,2.0,5.0,,,,,82.0,36.0,5.9,10.0,0.0,0.0,0.00120582,0,,,,,,2.0,4.0,,,1.0,,1.0,2.0,,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,
10411470,home,Hellas Verona,Fabio Depaoli,fabio-depaoli,F. Depaoli,M,23,178,224,M,830288,EUR,861840000,M,29,29,False,9.0,3.0,2.0,1.0,,1.0,3.0,11.0,2.0,1.0,,,,,90.0,32.0,6.2,14.0,0.0338,0.0,0.0370494,1,,,3.0,,,3.0,5.0,1.0,,1.0,,3.0,2.0,1.0,2.0,,1.0,,,,,2.0,,,,,,,,,,
10411470,home,Hellas Verona,Adrien Tameze,adrien-tameze,A. Tameze,M,61,182,371,M,139235,EUR,760320000,M,61,61,False,15.0,13.0,,,4.0,5.0,9.0,10.0,1.0,4.0,,,,,90.0,31.0,5.9,8.0,0.0,0.0,0.0191776,0,,,,,1.0,7.0,5.0,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,,,,,,,3.0,,,,,,,
10411470,home,Hellas Verona,Oliver Abildgaard,oliver-abildgaard,O. Abildgaard,M,28,190,213,M,798664,EUR,834364800,M,28,28,False,23.0,13.0,3.0,1.0,4.0,6.0,10.0,19.0,2.0,7.0,,,,,90.0,36.0,6.2,13.0,0.0,0.0,0.020488,0,,,2.0,1.0,5.0,7.0,7.0,,,1.0,1.0,1.0,1.0,,5.0,,,,,,,1.0,,,1.0,,,,,,,
10411470,home,Hellas Verona,Darko Lazović,darko-lazovic,D. Lazović,M,88,181,680,M,41157,EUR,653356800,M,8,8,False,5.0,4.0,,,,1.0,4.0,4.0,,1.0,,,,,45.0,9.0,6.3,2.0,0.0,0.0,0.0173817,0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
10411470,home,Hellas Verona,Simone Verdi,simone-verdi,S. Verdi,M,99,174,614,M,98058,EUR,710899200,F,7,7,False,9.0,7.0,1.0,,5.0,5.0,3.0,7.0,,2.0,,,,,45.0,19.0,6.8,6.0,0.0597,0.0414,0.0863301,1,,,3.0,1.0,,5.0,4.0,,,,,,2.0,1.0,,3.0,3.0,2.0,,,,,,,1.0,1.0,1.0,,,,,
