match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalContest,stat_wonContest,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_bigChanceCreated,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_keyPass,stat_outfielderBlock,stat_challengeLost,player_firstName,player_lastName,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_wasFouled,stat_expectedGoalsOnTarget,captain,player_sofascoreId,stat_goalAssist,stat_dispossessed,stat_goals,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_clearanceOffLine
11352660,home,Brentford,Mark Flekken,mark-flekken,M. Flekken,G,1,194,2856,M,171919,EUR,739929600,G,1,1,False,37.0,28.0,16.0,7.0,27.0,29.0,1.0,8.0,1.0,1.0,1.0,5.0,1.0,90.0,41.0,7.0,9.0,0.0016564,0,0.3528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352660,home,Brentford,Kristoffer Ajer,kristoffer-ajer,K. Ajer,D,20,196,1144,M,576384,EUR,892771200,D,20,20,False,39.0,27.0,5.0,1.0,14.0,17.0,14.0,24.0,7.0,1.0,1.0,2.0,,76.0,55.0,7.3,14.0,0.107563,1,,2.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.1814,1.0,,,,,,,,,,,,,,,,,,,,
11352660,home,Brentford,Nathan Collins,nathan-collins,N. Collins,D,22,193,1556,M,958916,EUR,988588800,D,22,22,False,62.0,49.0,8.0,4.0,32.0,37.0,17.0,25.0,5.0,,,7.0,,90.0,69.0,7.3,13.0,0.00463201,0,,,,3.0,4.0,3.0,,,3.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
11352660,home,Brentford,Ethan Pinnock,ethan-pinnock,E. Pinnock,D,5,194,1052,M,855864,EUR,738633600,D,5,5,False,49.0,43.0,3.0,2.0,25.0,28.0,18.0,22.0,5.0,1.0,1.0,4.0,,90.0,55.0,7.3,7.0,0.00783847,0,,1.0,,2.0,3.0,2.0,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11352660,home,Brentford,Vitaly Janelt,vitaly-janelt,V. Janelt,M,27,184,1191,M,814873,EUR,894758400,D,27,27,False,44.0,31.0,7.0,2.0,14.0,17.0,18.0,30.0,2.0,,,6.0,,90.0,53.0,6.9,15.0,0.196774,0,,3.0,1.0,,2.0,5.0,,,,,,,,2.0,,,2.0,,3.0,,,,,,,,,,,,,,,,,,
11352660,home,Brentford,Frank Onyeka,frank-onyeka,F. Onyeka,M,16,183,4631,M,885864,EUR,883612800,M,15,15,False,27.0,19.0,4.0,,8.0,11.0,11.0,16.0,7.0,1.0,1.0,8.0,,84.0,44.0,6.9,10.0,0.0185183,2,,,,3.0,1.0,5.0,,,1.0,2.0,3.0,2.0,2.0,2.0,,0.144,,,,,,1.0,1.0,1.0,2.0,0.374,,,,,,,,,,,
11352660,home,Brentford,Christian Nørgaard,christian-norgaard,C. Nørgaard,M,16,185,9605,M,135256,EUR,763257600,M,6,6,False,54.0,46.0,6.0,4.0,20.0,22.0,26.0,33.0,10.0,1.0,1.0,9.0,,90.0,73.0,8.1,9.0,0.108706,3,,1.0,,,1.0,5.0,1.0,2.0,4.0,1.0,4.0,2.0,,2.0,,0.2473,2.0,,3.0,,,,,1.0,4.0,,True,,,,,,,,,,
11352660,home,Brentford,Mathias Jensen,mathias-jensen,M. Jensen,M,8,180,1047,M,799251,EUR,820454400,M,8,8,False,32.0,28.0,2.0,1.0,14.0,14.0,16.0,22.0,5.0,2.0,2.0,2.0,,76.0,54.0,7.3,10.0,0.30108,1,,4.0,2.0,,,4.0,,1.0,1.0,,2.0,1.0,,2.0,,0.0915,2.0,,2.0,,,,,,1.0,,,,,,,,,,,,
11352660,home,Brentford,Bryan Mbeumo,bryan-mbeumo,B. Mbeumo,M,19,173,110440,M,927083,EUR,933984000,F,19,19,False,34.0,28.0,4.0,2.0,5.0,5.0,24.0,34.0,6.0,4.0,2.0,2.0,,90.0,67.0,9.3,20.0,1.15443,6,,5.0,1.0,2.0,1.0,6.0,1.0,,,,1.0,1.0,4.0,,1.0,0.4139,3.0,,,,,,4.0,2.0,2.0,1.0284,,bryan_m19,1.0,2.0,1.0,,,,,,
11352660,home,Brentford,Neal Maupay,neal-maupay,N. Maupay,F,17,171,2370,M,268903,EUR,839980800,F,7,7,False,15.0,10.0,1.0,,3.0,4.0,7.0,11.0,1.0,1.0,,3.0,,88.0,28.0,7.1,8.0,0.210769,4,,,,1.0,,4.0,,1.0,,,,,1.0,1.0,,0.7635,2.0,,,,,1.0,2.0,1.0,1.0,0.1511,,,1.0,1.0,,,,,,,
