match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalClearance,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,player_firstName,player_lastName,stat_challengeLost,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_totalOffside,stat_goals,captain,stat_bigChanceMissed,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_punches,stat_outfielderBlock
14573026,home,Rayo Vallecano,Augusto Batalla,augusto-batalla,A. Batalla,G,13,186.0,1497,M,358910,EUR,830822400,G,13,13,False,19.0,15.0,5.0,1.0,0.0,14.0,16.0,1.0,3.0,6.0,1.0,90.0,25.0,6.7,5.0,0.00075806,-0.001,0,0.0583,0.04,0.01,0.19,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14573026,home,Rayo Vallecano,Iván Balliu,ivan-balliu,I. Balliu,D,20,175.0,692,M,152446,EUR,694224000,D,20,20,False,72.0,66.0,4.0,3.0,0.0,30.0,30.0,37.0,45.0,2.0,,90.0,99.0,7.2,12.0,0.102317,,0,,0.35,0.1,-0.01,,3.0,1.0,1.0,9.0,4.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,
14573026,home,Rayo Vallecano,Florian Lejeune,florian-lejeune,F. Lejeune,D,24,190.0,1049,M,88528,EUR,674697600,D,24,24,False,89.0,86.0,8.0,5.0,0.0,57.0,57.0,29.0,33.0,7.0,,90.0,102.0,7.7,5.0,0.124079,,4,,0.37,0.24,0.18,,1.0,,,1.0,4.0,,,,1.0,3.0,2.0,,1.0,1.0,1.0,2.0,1.0,1.0,3.0,0.065,0.0316,0.01,,,,,,,,,,,,,
14573026,home,Rayo Vallecano,Jozhua Vertrouwd,jozhua-vertrouwd,J. Vertrouwd,D,33,188.0,214,M,1120947,EUR,1093046400,D,33,33,False,83.0,80.0,4.0,2.0,0.0,59.0,61.0,21.0,22.0,5.0,,90.0,88.0,7.2,3.0,0.0125441,,0,,0.26,0.08,0.27,,,,1.0,4.0,3.0,,1.0,1.0,,2.0,2.0,,2.0,2.0,,,,,1.0,,,,Jozhua Vertrouwd,,1.0,,,,,,,,,,
14573026,home,Rayo Vallecano,Alfonso Espino,alfonso-espino,A. Espino,D,22,172.0,656,M,542634,EUR,694569600,D,22,22,False,43.0,38.0,1.0,1.0,1.0,15.0,15.0,23.0,32.0,7.0,,90.0,78.0,7.7,11.0,0.115424,,2,,0.36,0.06,-0.01,,4.0,,2.0,4.0,7.0,,2.0,1.0,2.0,1.0,1.0,2.0,,2.0,3.0,,2.0,,1.0,0.1377,0.2131,-0.39,,,1.0,1.0,1.0,1.0,,,,,,,
14573026,home,Rayo Vallecano,Unai López,unai-lopez,U. López,M,17,169.0,510,M,588566,EUR,815011200,M,17,17,False,71.0,59.0,5.0,3.0,0.0,27.0,29.0,32.0,47.0,6.0,,59.0,84.0,8.2,19.0,0.0490335,,2,,0.19,0.48,-0.14,,5.0,,,4.0,4.0,,2.0,1.0,,2.0,2.0,1.0,,,,,2.0,,,0.2253,0.526,0.5,,,3.0,,1.0,,1.0,,,,,,
14573026,home,Rayo Vallecano,Gerard Gumbau,gerard-gumbau,G. Gumbau,M,15,187.0,386,M,326471,EUR,787708800,M,15,15,False,68.0,60.0,5.0,3.0,0.0,30.0,33.0,33.0,38.0,6.0,,77.0,87.0,8.2,8.0,0.325877,,0,,0.66,0.08,0.15,,3.0,3.0,1.0,4.0,11.0,,,,3.0,6.0,6.0,1.0,3.0,3.0,4.0,,,,,,,,,,1.0,1.0,,,,,,,,,
14573026,home,Rayo Vallecano,Fran Pérez,fran-perez,F. Pérez,M,21,176.0,485,M,966637,EUR,1031529600,M,21,21,False,25.0,23.0,,,0.0,7.0,7.0,17.0,22.0,3.0,,77.0,39.0,7.6,8.0,0.0709541,,2,,0.07,0.16,-0.04,,4.0,1.0,1.0,6.0,1.0,3.0,1.0,1.0,,,,,1.0,1.0,,,2.0,,,0.5978,0.7436,0.52,,,1.0,,,,1.0,,,,,,
14573026,home,Rayo Vallecano,Óscar Trejo,oscar-trejo,Ó. Trejo,M,8,177.0,549,M,21949,EUR,578016000,M,8,8,False,46.0,40.0,1.0,1.0,0.0,12.0,14.0,28.0,32.0,1.0,,70.0,67.0,6.3,19.0,0.0620251,,1,,0.26,-0.55,0.0,,,,,11.0,2.0,6.0,4.0,,,2.0,1.0,,,1.0,,,1.0,,,0.0287,0.0184,-0.16,,,1.0,,3.0,1.0,,,,,,,
14573026,home,Rayo Vallecano,Álvaro García,alvaro-garcia,Á. García,M,18,168.0,1143,M,345111,EUR,720144000,M,18,18,False,17.0,14.0,2.0,1.0,1.0,2.0,3.0,12.0,19.0,2.0,,60.0,31.0,7.1,14.0,0.362254,,1,,0.39,0.32,-0.01,,5.0,,,1.0,1.0,,2.0,1.0,1.0,,,,,1.0,,,1.0,,,0.0452,0.1596,-0.12,,,,1.0,4.0,,,True,,,,,
