match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceCreated,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialWon,stat_dispossessed,stat_blockedScoringAttempt,stat_outfielderBlock,stat_expectedGoals,stat_shotOffTarget,stat_wonTackle,stat_totalContest,stat_wonContest,stat_totalOffside,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,player_sofascoreId
11388465,home,RKC Waalwijk,Etienne Vaessen,etienne-vaessen,E. Vaessen,G,1,187,465,M,809408,EUR,806716800,G,1,1,False,True,42.0,28.0,25.0,11.0,22.0,23.0,6.0,19.0,11.0,1.0,4.0,4.0,90.0,49.0,7.3,14.0,0.00518391,0,0.9022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11388465,home,RKC Waalwijk,Julian Lelieveld,julian-lelieveld,J. Lelieveld,D,2,184,104,M,798179,EUR,880329600,D,2,2,False,,29.0,20.0,6.0,4.0,8.0,13.0,14.0,21.0,7.0,,,,83.0,55.0,7.4,13.0,0.270601,0,,,,1.0,5.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
11388465,home,RKC Waalwijk,Shawn Adewoye,shawn-adewoye,S. Adewoye,D,4,183,156,M,989586,EUR,962236800,D,4,4,False,,36.0,28.0,3.0,2.0,24.0,27.0,4.0,9.0,3.0,,,,90.0,58.0,7.3,9.0,0.00127945,1,,,,,,,3.0,4.0,6.0,,,12.0,2.0,2.0,,,,,4.0,1.0,1.0,2.0,0.0387,,,,,,,,,,
11388465,home,RKC Waalwijk,Dario Van Den Buijs,dario-van-den-buijs,D. V. D. Buijs,D,33,188,65,M,783468,EUR,810864000,D,3,3,False,,67.0,52.0,15.0,7.0,31.0,37.0,21.0,30.0,8.0,,,,90.0,82.0,7.4,16.0,0.137348,1,,,,1.0,,,3.0,4.0,6.0,,1.0,5.0,1.0,4.0,,,1.0,1.0,2.0,1.0,,,0.0311,1.0,2.0,,,,,,,,
11388465,home,RKC Waalwijk,Aaron Meijers,aaron-meijers,A. Meijers,D,14,176,30,M,32386,EUR,562377600,D,28,28,False,,30.0,22.0,5.0,2.0,12.0,14.0,11.0,22.0,4.0,,,,90.0,60.0,7.6,16.0,0.0845433,0,,Aaron,Meijers,,6.0,1.0,2.0,6.0,11.0,2.0,,3.0,2.0,5.0,1.0,3.0,1.0,1.0,1.0,,,1.0,,,2.0,3.0,2.0,,,,,,
11388465,home,RKC Waalwijk,Godfried Roemeratoe,godfried-roemeratoe,G. Roemeratoe,M,6,178,106,M,825849,EUR,935020800,M,24,24,False,,13.0,10.0,2.0,1.0,6.0,7.0,4.0,6.0,1.0,,,,45.0,23.0,6.7,3.0,0.00394292,0,,,,,,,3.0,5.0,5.0,2.0,,1.0,1.0,3.0,,,,,2.0,,,,,,2.0,,,,,,,,
11388465,home,RKC Waalwijk,Yassin Oukili,oukili-yassin,Y. Oukili,M,5,195,495,M,1010846,EUR,978480000,M,6,6,False,,28.0,21.0,3.0,,6.0,8.0,15.0,20.0,4.0,,,,90.0,43.0,6.8,10.0,0.0707003,1,,,,,,,1.0,8.0,4.0,4.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,3.0,0.0204,1.0,,,,1.0,,,,,
11388465,home,RKC Waalwijk,Denilho Cleonise,denilho-cleonise,D. Cleonise,F,7,179,62,M,971006,EUR,1007769600,M,7,7,False,,7.0,6.0,,,2.0,2.0,4.0,7.0,3.0,,,,45.0,16.0,6.4,7.0,0.0177431,1,,,,,2.0,,1.0,3.0,,,,,1.0,,2.0,,,,,2.0,1.0,,0.0847,,,,,,,,,,
11388465,home,RKC Waalwijk,Reuven Niemeijer,reuven-niemeijer,R. Niemeijer,M,10,178,46,M,846202,EUR,796262400,M,27,27,False,,29.0,24.0,6.0,4.0,11.0,12.0,13.0,19.0,2.0,,,,82.0,50.0,7.6,11.0,0.0301448,3,,,,,2.0,,,4.0,6.0,2.0,,2.0,,4.0,2.0,2.0,1.0,2.0,,,2.0,,0.6302,,2.0,1.0,,,1.0,1.0,0.1718,,
11388465,home,RKC Waalwijk,Chris Lokesa,lokesa-chris,C. Lokesa,M,5,175,140,M,1126518,EUR,1099785600,M,14,14,False,,20.0,11.0,2.0,,2.0,4.0,9.0,16.0,6.0,,,,86.0,41.0,6.9,16.0,0.0707363,6,,,,,,,1.0,7.0,6.0,1.0,,,,3.0,3.0,1.0,2.0,1.0,,,4.0,1.0,0.6347,1.0,,5.0,2.0,,1.0,,0.0618,1.0,
