match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keyPass,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_outfielderBlock,stat_wonTackle,stat_wasFouled,stat_dispossessed,stat_errorLeadToAShot,stat_bigChanceCreated,stat_bigChanceMissed,captain,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,player_height,stat_blockedScoringAttempt
11689333,home,RKVV DEM,Raymond de Waard,Raymond,de Waard,raymond-de-waard,R. d. Waard,F,11,1,M,995532,EUR,827539200.0,F,11,11,False,15.0,7.0,3.0,3.0,1.0,3.0,4.0,4.0,12.0,3.0,,,,,,81.0,35.0,6.9,16.0,1.0,4,1.0,3.0,2.0,6.0,5.0,1.0,2.0,1.0,2.0,,,,4.0,,,,2.0,1.0,,,1.0,,,2.0,,1.0,,
11689333,home,RKVV DEM,Kick de Goede,Kick de Goede,,kick-de-goede,K. d. Goede,F,7,0,M,1423719,EUR,917136000.0,F,21,21,True,4.0,2.0,1.0,1.0,,,1.0,2.0,4.0,7.0,,,,,,44.0,19.0,7.0,10.0,1.0,2,1.0,,,6.0,5.0,2.0,4.0,1.0,,,,3.0,2.0,,,3.0,1.0,1.0,,,,,,2.0,,,,
11689333,home,RKVV DEM,Timo Wolters,Timo Wolters,,timo-wolters,T. Wolters,M,9,0,M,1423700,EUR,781747200.0,F,9,9,True,3.0,2.0,,,,,,2.0,3.0,,,,,,,9.0,3.0,6.6,1.0,1.0,0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
11689333,home,RKVV DEM,Bilal Zejli,Bilal Zejli,,bilal-zejli,B. Zejli,F,7,1,M,1423748,EUR,932169600.0,F,7,7,True,,,,,,,,,,1.0,,,,,,1.0,1.0,,1.0,,0,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,
11689333,home,RKVV DEM,Lucas van Hensbergen,Lucas,van Hensbergen,lucas-van-hensbergen,L. v. Hensbergen,G,,0,M,1594358,EUR,984960000.0,G,22,22,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11689333,home,RKVV DEM,Julen Calle Solbes,Julen,Calle Solbes,julen-calle-solbes,J. C. Solbes,D,39,1,M,1594357,EUR,1008806400.0,D,14,14,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11689333,home,RKVV DEM,Sam Willemse,Sam Willemse,,sam-willemse,S. Willemse,D,5,0,M,1046961,EUR,950572800.0,F,5,5,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,187.0,
11689333,home,RKVV DEM,Daan Koster,Daan Koster,,daan-koster,D. Koster,M,17,0,M,1423739,EUR,981417600.0,M,17,17,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11689333,home,RKVV DEM,Nigel Daniels,Nigel Daniels,,nigel-daniels,N. Daniels,F,,0,M,1423712,EUR,900201600.0,F,18,18,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11689333,home,RKVV DEM,Ogur Kaya,,,ogur-kaya,O. Kaya,F,,0,M,866489,EUR,710467200.0,M,8,8,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
