match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keeperSaveValue,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,player_height,stat_outfielderBlock,stat_wasFouled,stat_fouls,stat_accurateCross,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_keyPass,stat_shotValueNormalized,stat_shotOffTarget,player_lastName,stat_dispossessed,stat_onTargetScoringAttempt,captain,stat_totalOffside,stat_bigChanceMissed,stat_bigChanceCreated,stat_goals
14015660,home,FC 08 Homburg,Michael Gelt,michael-gelt,M. Gelt,G,1,1,M,1429885,EUR,1012867200,G,1,1,False,34.0,20.0,16.0,3.0,0.0,19.0,25.0,1.0,9.0,1.0,1.0,1.0,7.0,1.0,4.0,8.0,1.0,1.0,1.0,90.0,48.0,8.6,16.0,1.6176,0,0.01,0.01,-0.16,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015660,home,FC 08 Homburg,Tim Littmann,tim-littmann,T. Littmann,D,31,6,M,1870614,EUR,1009929600,D,31,31,False,23.0,13.0,10.0,2.0,0.0,6.0,6.0,7.0,17.0,,3.0,2.0,4.0,,,,,,,83.0,37.0,6.3,12.0,,0,-0.02,0.11,-0.25,,Tim Littmann,2.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,
14015660,home,FC 08 Homburg,Nils Röseler,nils-roseler,N. Röseler,D,13,11,M,147233,EUR,697680000,D,13,13,False,33.0,29.0,4.0,2.0,0.0,25.0,27.0,4.0,6.0,1.0,3.0,9.0,4.0,,,,,,,90.0,50.0,6.5,4.0,,0,-0.03,0.09,-0.05,,,,3.0,5.0,1.0,,,1.0,1.0,1.0,192.0,1.0,1.0,2.0,,,,,,,,,,,,,,
14015660,home,FC 08 Homburg,Manuel Kober,manuel-kober,M. Kober,D,4,1,M,876711,EUR,918691200,D,4,4,False,45.0,32.0,10.0,1.0,0.0,22.0,26.0,10.0,19.0,2.0,8.0,2.0,3.0,,,,,,,90.0,58.0,6.8,13.0,,0,-0.06,0.09,0.32,,,,3.0,4.0,,,,,5.0,3.0,185.0,3.0,1.0,1.0,,,,,,,,,,,,,,
14015660,home,FC 08 Homburg,Frederik Schumann,frederik-schumann,F. Schumann,D,3,11,M,1899417,EUR,1037318400,D,3,3,False,34.0,24.0,9.0,5.0,0.0,7.0,12.0,17.0,22.0,1.0,4.0,4.0,2.0,,,,,,,90.0,70.0,6.8,18.0,,1,0.34,0.03,-0.35,,Frederik Schumann,6.0,1.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,182.0,,,,1.0,1.0,1.0,2.0,0.02,,,,,,,,,
14015660,home,FC 08 Homburg,Frederic Baum,frederic-baum,F. Baum,M,6,5,M,1064853,EUR,965088000,M,6,6,False,25.0,16.0,4.0,2.0,0.0,7.0,11.0,9.0,14.0,2.0,4.0,5.0,2.0,,,,,,,90.0,46.0,6.7,10.0,,3,0.29,0.08,0.15,,,,4.0,5.0,1.0,1.0,1.0,4.0,,,185.0,1.0,1.0,,,,1.0,,-0.53,3.0,,,,,,,,
14015660,home,FC 08 Homburg,Miguel Fernandes Goncalves,miguel-fernandes-goncalves,M. F. Goncalves,M,18,17,M,1158812,EUR,1092787200,M,18,18,False,14.0,9.0,,,0.0,4.0,5.0,5.0,9.0,,7.0,2.0,2.0,,,,,,,83.0,34.0,6.7,8.0,,1,0.1,0.24,-0.17,,Miguel Fernandes Goncalves,2.0,2.0,7.0,1.0,1.0,,1.0,4.0,2.0,175.0,,3.0,2.0,2.0,,1.0,3.0,0.0,,,1.0,1.0,,,,,
14015660,home,FC 08 Homburg,Mart Ristl,mart-ristl,M. Ristl,M,29,5,M,787721,EUR,836697600,M,29,29,False,20.0,19.0,1.0,1.0,0.0,9.0,10.0,10.0,10.0,1.0,5.0,1.0,2.0,,,,,,,90.0,44.0,7.0,4.0,,3,0.2,0.01,0.36,,,,,6.0,,,,1.0,4.0,2.0,180.0,3.0,,3.0,,1.0,,1.0,-0.16,1.0,,3.0,1.0,True,,,,
14015660,home,FC 08 Homburg,Markus Mendler,markus-mendler,M. Mendler,M,11,13,M,130284,EUR,726364800,F,11,11,False,22.0,14.0,3.0,1.0,0.0,3.0,4.0,11.0,18.0,,2.0,1.0,5.0,,,,,,,90.0,39.0,6.5,14.0,,3,0.22,0.27,-0.04,,,5.0,,5.0,2.0,1.0,1.0,1.0,,,173.0,,1.0,1.0,1.0,,,,-0.63,2.0,,2.0,1.0,,1.0,,,
14015660,home,FC 08 Homburg,Oliver Kovačić,oliver-kovacic,O. Kovačić,F,9,3,M,1612828,EUR,1006646400,F,9,9,False,6.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,5.0,2.0,3.0,2.0,,,,,,,,72.0,12.0,6.6,2.0,,0,-0.12,-0.21,0.21,,,,2.0,4.0,,,,,,,193.0,,1.0,1.0,,,,,,,,1.0,,,2.0,,,
14015660,home,FC 08 Homburg,Minos Gouras,minos-gouras,M. Gouras,M,28,30,M,910084,EUR,897177600,F,28,28,False,9.0,5.0,,,0.0,2.0,3.0,3.0,6.0,,7.0,,1.0,,,,,,,72.0,23.0,6.7,9.0,,0,-0.17,0.14,-0.08,,,,,7.0,2.0,3.0,1.0,,1.0,,176.0,,5.0,2.0,,,1.0,,,,,1.0,,,,,,
14015660,home,FC 08 Homburg,Nicolas Jorg,jorg-nicolas,N. Jorg,M,21,1,M,1518760,EUR,1091145600,M,21,21,True,6.0,5.0,,,0.0,1.0,1.0,4.0,5.0,,2.0,,,,,,,,,18.0,16.0,7.0,6.0,,0,0.39,0.1,-0.06,,Nicolas Jorg,4.0,,2.0,,3.0,2.0,,,,175.0,,,1.0,2.0,,2.0,2.0,,,,,,,,,,
14015660,home,FC 08 Homburg,Amar Suljić,amar-suljic,A. Suljić,F,14,14,M,886278,EUR,903052800,F,14,14,True,4.0,3.0,,,0.0,,,3.0,4.0,1.0,4.0,,,,,,,,,18.0,10.0,6.8,1.0,,2,0.02,0.22,0.13,,,,1.0,1.0,,1.0,1.0,,,,186.0,,2.0,,,1.0,,1.0,-0.5,1.0,,,,,,,,
14015660,home,FC 08 Homburg,Tim Steinmetz,tim-steinmetz,T. Steinmetz,D,26,4,M,959454,EUR,937353600,D,26,26,True,9.0,8.0,,,0.0,2.0,2.0,6.0,7.0,,,,1.0,,,,,,,8.0,11.0,6.2,2.0,,0,0.04,0.02,-0.18,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,
