match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_totalContest,stat_bigChanceCreated,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,player_sofascoreId,stat_aerialLost,stat_shotOffTarget,stat_interceptionWon,stat_unsuccessfulTouch,stat_expectedGoals,stat_blockedScoringAttempt,stat_challengeLost,stat_dispossessed,captain,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_wasFouled,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_errorLeadToAShot,stat_ownGoals,stat_totalOffside
12499325,home,Cagliari,Simone Scuffet,simone-scuffet,S. Scuffet,G,22,193,684,M,284349,EUR,833500800,G,22,22,False,22.0,18.0,11.0,7.0,0.0,15.0,17.0,3.0,5.0,1.0,1.0,1.0,8.0,1.0,3.0,1.0,90.0,29.0,6.7,4.0,0.00145131,0,-0.3262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499325,home,Cagliari,Gabriele Zappa,gabriele-zappa,G. Zappa,D,28,183,617,M,927304,EUR,945820800,D,28,28,False,46.0,35.0,9.0,2.0,0.0,19.0,21.0,17.0,26.0,1.0,4.0,6.0,4.0,,,,90.0,60.0,7.0,12.0,0.154607,0,,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12499325,home,Cagliari,Yerry Mina,yerry-mina,Y. Mina,D,26,195,5988,M,360396,EUR,780278400,D,26,26,False,31.0,31.0,2.0,2.0,0.0,27.0,27.0,5.0,5.0,3.0,5.0,6.0,3.0,,,,63.0,46.0,6.6,4.0,0.0231023,1,,1.0,1.0,3.0,,,,2.0,,1.0,,yerrymina,2.0,1.0,1.0,4.0,0.1119,,,,,,,,,,,,,,,
12499325,home,Cagliari,Sebastiano Luperto,sebastiano-luperto,S. Luperto,D,6,191,784,M,352736,EUR,841968000,D,6,6,False,38.0,32.0,5.0,2.0,1.0,27.0,29.0,5.0,9.0,2.0,3.0,7.0,6.0,,,,90.0,54.0,7.2,6.0,0.00189966,3,,,,3.0,,1.0,,1.0,,,1.0,,3.0,2.0,2.0,,0.2063,1.0,,,,,,,,,,,,,,
12499325,home,Cagliari,Nadir Zortea,zortea-nadir,N. Zortea,M,20,187,1108,M,928104,EUR,929750400,M,19,19,False,20.0,16.0,6.0,5.0,0.0,5.0,8.0,11.0,15.0,2.0,2.0,4.0,1.0,,,,90.0,34.0,6.6,10.0,0.0489874,1,,3.0,,4.0,1.0,,,,,1.0,1.0,,,,1.0,2.0,0.0856,1.0,2.0,,,,,,,,,,,,,
12499325,home,Cagliari,Michel Adopo,michel-ndary-adopo,M. N. Adopo,M,8,187,534,M,928777,EUR,963964800,M,8,8,False,27.0,25.0,1.0,1.0,0.0,11.0,12.0,14.0,15.0,,2.0,1.0,1.0,,,,63.0,33.0,6.7,3.0,0.0125042,1,,,,2.0,,,,2.0,1.0,2.0,1.0,,,1.0,,1.0,0.0611,,,,,,,,,,,,,,,
12499325,home,Cagliari,Antoine Makoumbou,antoine-makoumbou,A. Makoumbou,M,29,186,535,M,920391,EUR,900720000,M,29,29,False,40.0,35.0,4.0,,0.0,29.0,30.0,6.0,11.0,,,,4.0,,,,80.0,43.0,6.3,6.0,0.0253807,1,,1.0,,1.0,,,,,,,,,,,,,0.0297,1.0,1.0,,,,,,,,,,,,,
12499325,home,Cagliari,Tommaso Augello,tommaso-augello,T. Augello,M,3,181,354,M,596736,EUR,778204800,M,3,3,False,31.0,25.0,7.0,4.0,0.0,19.0,22.0,7.0,12.0,1.0,2.0,2.0,6.0,,,,90.0,51.0,6.7,10.0,0.0220959,0,,3.0,1.0,4.0,,,,1.0,1.0,1.0,1.0,,1.0,,2.0,,,,,2.0,,,,,,,,,,,,
12499325,home,Cagliari,Nicolas Viola,nicolas-viola,N. Viola,F,10,180,280,M,21608,EUR,624153600,F,10,10,False,21.0,19.0,1.0,,0.0,10.0,10.0,13.0,18.0,,5.0,,5.0,,,,63.0,51.0,7.6,12.0,0.0831378,4,,7.0,4.0,6.0,3.0,,,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,4.0,0.2801,,1.0,1.0,True,1.0,1.0,3.0,1.0,2.0,0.2712,,,,,
12499325,home,Cagliari,Zito Luvumbo,zito-luvumbo,Z. Luvumbo,F,15,171,5304,M,1000150,EUR,1015632000,F,77,77,False,3.0,3.0,,,0.0,1.0,1.0,3.0,4.0,1.0,5.0,,1.0,,,,45.0,14.0,6.8,3.0,0.0944762,1,,2.0,1.0,,,,,,,,1.0,LuvumboZito,,,,2.0,0.0475,1.0,,,,,,,,4.0,,,,,,
