match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,player_firstName,player_lastName,stat_aerialLost,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_penaltyConceded,captain,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_keyPass,player_sofascoreId,stat_shotOffTarget,stat_totalOffside,stat_bigChanceMissed,stat_goals,stat_punches,stat_errorLeadToAShot,stat_goalAssist,stat_penaltyWon
10408553,home,Espanyol,Fernando Pacheco,fernando-pacheco,F. Pacheco,G,1,186,220,M,144501,EUR,706147200,G,13,13,False,27.0,21.0,17.0,11.0,15.0,16.0,6.0,11.0,4.0,1.0,1.0,1.0,90.0,29.0,5.8,6.0,0.0,0.0,0.00154617,0,-0.3107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408553,home,Espanyol,Óscar Gil,oscar-gil,Ó. Gil,D,27,175,90,M,959820,EUR,893548800,D,2,2,False,53.0,41.0,9.0,3.0,23.0,27.0,18.0,27.0,7.0,,,,90.0,80.0,5.9,19.0,0.0,0.0,0.0106178,0,,1.0,1.0,5.0,4.0,2.0,1.0,2.0,1.0,4.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10408553,home,Espanyol,César Montes,cesar-montes,C. Montes,D,23,195,1738,M,818406,EUR,856742400,D,23,23,False,74.0,64.0,7.0,4.0,48.0,51.0,16.0,23.0,7.0,,,,90.0,77.0,6.4,11.0,0.0,0.0,0.0472761,0,,,2.0,1.0,2.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
10408553,home,Espanyol,Sergi Gómez,sergi-gomez,S. Gómez,D,5,185,195,M,125625,EUR,701740800,D,24,24,False,54.0,51.0,7.0,7.0,42.0,44.0,9.0,10.0,2.0,,,,72.0,60.0,6.8,3.0,0.0173,0.2419,0.00665783,1,,,3.0,,3.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
10408553,home,Espanyol,Leandro Cabrera,leandro-cabrera,L. Cabrera,D,6,190,819,M,81992,EUR,677116800,D,4,4,False,21.0,12.0,3.0,,8.0,12.0,4.0,9.0,2.0,,,,45.0,33.0,6.1,12.0,0.0,0.0,0.00223692,0,,,,3.0,6.0,1.0,,3.0,3.0,,,,1.0,,,1.0,,,,3.0,1.0,1.0,,,,,,,,,,,,,,
10408553,home,Espanyol,Vinícius Souza,vinicius-souza,Vinicius,M,5,187,1714,M,979290,EUR,929577600,M,12,12,False,26.0,21.0,2.0,1.0,7.0,9.0,14.0,18.0,2.0,,,,54.0,37.0,6.9,7.0,0.0,0.0,0.0230582,0,,1.0,4.0,4.0,7.0,,,,,2.0,1.0,,1.0,,,3.0,,,1.0,3.0,2.0,,,,,,,,,,,,,,,
10408553,home,Espanyol,Sergi Darder,sergi-darder,S. Darder,M,10,180,979,M,110783,EUR,756518400,M,10,10,False,43.0,33.0,9.0,5.0,13.0,16.0,22.0,34.0,8.0,,,,90.0,66.0,6.9,21.0,0.0,0.0,0.0688275,0,,7.0,,5.0,8.0,2.0,1.0,5.0,5.0,1.0,2.0,2.0,1.0,,,1.0,,,,1.0,1.0,,True,2.0,,,,,,,,,,,,
10408553,home,Espanyol,Rubén Sánchez,sanchez-saez-ruben,R. Sánchez,D,2,184,124,M,1021165,EUR,981244800,M,27,27,False,19.0,15.0,3.0,1.0,6.0,8.0,10.0,16.0,4.0,,,,72.0,44.0,7.0,15.0,0.1098,0.0,0.175774,1,,5.0,1.0,4.0,6.0,,1.0,2.0,1.0,2.0,4.0,1.0,2.0,,,,1.0,,,3.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,
10408553,home,Espanyol,Denis Suárez,denis-suarez,D. Suárez,M,4,176,1456,M,138383,EUR,757814400,M,6,6,False,23.0,16.0,1.0,,8.0,8.0,9.0,19.0,6.0,,,,64.0,39.0,6.9,13.0,0.0852,0.0853,0.113551,1,,4.0,1.0,5.0,8.0,3.0,2.0,5.0,5.0,,1.0,1.0,,,,,,1.0,,1.0,1.0,,,1.0,,,2.0,,,,,,,,,
10408553,home,Espanyol,Martin Braithwaite,martin-braithwaite,M. Braithwaite,F,22,180,6808,M,66471,EUR,676080000,M,17,17,False,12.0,10.0,,,2.0,3.0,8.0,9.0,3.0,,,,90.0,23.0,6.1,7.0,0.1418,0.0,0.039682,3,,,1.0,6.0,2.0,,,2.0,,,2.0,,1.0,,,3.0,,,,1.0,1.0,,,,,2.0,1.0,braithwaite,1.0,2.0,,,,,,
