match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_unsuccessfulTouch,stat_aerialLost,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,captain,stat_fouls,stat_wonContest,stat_onTargetScoringAttempt,stat_keyPass,stat_accurateCross,stat_penaltyConceded,stat_goalAssist,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_goals,stat_totalOffside,stat_bigChanceMissed,stat_penaltyMiss
11481885,home,Empoli,Elia Caprile,,,elia-caprile,E. Caprile,G,1,191,1710,M,947954,EUR,998697600,G,25,25,False,54.0,47.0,16.0,9.0,45.0,46.0,2.0,8.0,7.0,1.0,1.0,1.0,1.0,2.0,90.0,63.0,6.9,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11481885,home,Empoli,Tyronne Ebuehi,,,tyronne-ebuehi,T. Ebuehi,D,24,187,664,M,580512,EUR,819072000,D,24,24,False,24.0,19.0,2.0,,14.0,17.0,5.0,8.0,1.0,,,,,,58.0,42.0,6.5,13.0,1,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11481885,home,Empoli,Ardian Ismajli,,,ardian-ismajli,A. Ismajli,D,44,188,1150,M,840414,EUR,844041600,D,34,34,False,70.0,61.0,6.0,2.0,55.0,61.0,6.0,9.0,4.0,,,,,,90.0,87.0,7.4,9.0,1,,4.0,3.0,9.0,,,1.0,7.0,2.0,,1.0,2.0,2.0,4.0,3.0,1.0,,,,,,,,,,,,,,
11481885,home,Empoli,Sebastiano Luperto,,,sebastiano-luperto,S. Luperto,D,5,191,785,M,352736,EUR,841968000,D,33,33,False,73.0,63.0,9.0,3.0,59.0,64.0,4.0,9.0,2.0,,,,,,90.0,82.0,6.6,10.0,0,,2.0,5.0,3.0,,,,4.0,3.0,,3.0,1.0,,,,1.0,True,1.0,,,,,,,,,,,,
11481885,home,Empoli,Liberato Cacace,,,liberato-cacace,L. Cacace,D,13,184,526,M,905264,EUR,970012800,D,13,13,False,41.0,32.0,8.0,3.0,23.0,30.0,9.0,11.0,6.0,,,,,,68.0,63.0,6.9,13.0,1,,,3.0,3.0,1.0,3.0,,,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,
11481885,home,Empoli,Liam Henderson,,,liam-henderson,L. Henderson,M,16,183,303,M,287573,EUR,830390400,M,10,10,False,18.0,16.0,,,5.0,5.0,11.0,16.0,2.0,,,,,,68.0,25.0,6.6,6.0,1,3.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
11481885,home,Empoli,Răzvan Marin,,,razvan-marin,R. Marin,M,18,178,3926,M,279563,EUR,832809600,M,18,18,False,33.0,30.0,4.0,3.0,18.0,19.0,13.0,15.0,5.0,,,,,,58.0,40.0,7.1,6.0,0,1.0,1.0,2.0,2.0,1.0,1.0,,,,1.0,,,2.0,1.0,1.0,,,,,,3.0,1.0,,,,,,,,
11481885,home,Empoli,Emmanuel Gyasi,,,emmanuel-gyasi,E. Gyasi,M,11,182,713,M,541578,EUR,758246400,M,11,11,False,17.0,13.0,2.0,,6.0,8.0,8.0,11.0,5.0,,,,,,82.0,25.0,6.1,8.0,0,2.0,,8.0,3.0,2.0,1.0,,,,,,,,,,3.0,,5.0,,,1.0,1.0,,,,,,,,
11481885,home,Empoli,Alberto Grassi,,,alberto-grassi,A. Grassi,M,33,183,262,M,186845,EUR,794534400,M,5,5,False,44.0,40.0,8.0,6.0,25.0,25.0,15.0,19.0,5.0,,,,,,90.0,58.0,6.9,6.0,0,,,1.0,3.0,,1.0,,4.0,2.0,1.0,1.0,,2.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,,
11481885,home,Empoli,Roberto Piccoli,,,roberto-piccoli,R. Piccoli,F,91,190,1583,M,958982,EUR,980553600,M,91,91,False,21.0,14.0,2.0,1.0,4.0,6.0,10.0,16.0,3.0,,,,,,90.0,38.0,7.0,14.0,2,1.0,4.0,10.0,5.0,1.0,4.0,,1.0,,1.0,3.0,,2.0,,,1.0,,2.0,,2.0,1.0,,,1.0,1.0,,,,,
